version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
24;2024-05-24 06:21:33.250150;0,5322327017784119;;leaky_relu;0,14050730661695268;0,4687985131409722;16;0,11821971130157508;0,9995568728339567;0,03943369047056379;0,0019029120130932098;2195;17369;5099;dropout;;10;19,0;29,0;6,0;10,0;0,033597299185004;;5;adam;minmax
25;2024-05-24 06:31:31.338873;0,5347450375556946;;relu;0,10682402642776073;0,2866390417540742;256;;0,7639439611724411;0,061108836937995875;0,0010135084031175946;2195;17369;5099;vanilla;;19;26,0;16,0;19,0;;;;4;adam;minmax
26;2024-05-24 06:33:46.753581;0,46011513471603394;;relu;;;256;0,1823805871820387;0,7713428258875837;0,06232075509233683;0,0011919298061141641;2195;17369;5099;dropout;0,001170998930324293;19;29,0;16,0;14,0;;;False;4;sgd;minmax
27;2024-05-24 06:36:24.050714;0,5296052694320679;;relu;0,09379690232762743;0,17366154128500172;256;0,2901446278680858;0,6054180518341097;0,06439238281345455;0,0055893047361493114;2195;17369;5099;dropout;;16;27,0;15,0;18,0;;;;4;adam;minmax
28;2024-05-24 06:38:35.319115;0,515625;;relu;0,20482129896126247;0,3190728214639629;256;;0,7199173154069896;0,050308475791917516;0,0010287449617302664;2195;17369;5099;batchnorm;;25;22,0;21,0;13,0;;;;4;adam;normalizer
29;2024-05-24 06:41:08.127737;0,5294471383094788;;relu;0,09404971470848247;0,12373210040974897;128;;0,8642225565776862;0,05897645553364277;0,0031819659519061604;2195;17369;5099;vanilla;;28;14,0;9,0;7,0;;;;4;adam;maxabs
30;2024-05-24 06:44:22.251569;0,5306603908538818;;relu;0,09513667678460849;0,01890468012307811;32;;0,818856543778778;0,05033569120115084;0,012423150333004894;2195;17369;5099;vanilla;;21;18,0;12,0;;;;;3;adam;minmax
31;2024-05-24 06:50:54.084490;0,53282231092453;;leaky_relu;0,2042202009680017;0,31767459832427164;16;;0,9218229447279098;0,039916213744290274;0,0023058459268562436;2195;17369;5099;vanilla;;15;25,0;5,0;26,0;23,0;0,058171635013655736;;5;adam;minmax
32;2024-05-24 06:56:09.324462;0,5301649570465088;;leaky_relu;0,07912188013783315;0,2612657447807546;512;;0,9351403059102658;0,04602517829956039;0,0015217480254145234;2195;17369;5099;vanilla;;17;25,0;5,0;23,0;10,0;0,07705552475276274;;5;adam;minmax
33;2024-05-24 06:58:19.876709;0,5314465165138245;;relu;0,017942439240017594;0,43808877281969066;16;;0,8720518763850799;0,035748334491723335;0,002871381171838446;2195;17369;5099;vanilla;;23;30,0;7,0;26,0;21,0;;;5;adam;minmax
