version;datetime;validation;test;activation;b1;b2;batch_size;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
26;2024-05-10 11:41:58.688498;0,5248047113418579;;leaky_relu;0,9430343451415526;0,9814980418659528;256;;87,0;True;normalizer;0,28506739001606907;2631;17786;5269;vanilla;;28;12,0;22,0;4,0;;0,0378642095187338;;4;adam;minmax
27;2024-05-10 11:43:05.507837;0,4597264528274536;;leaky_relu;;;8;;65,0;True;normalizer;0,10505498920476097;2631;17786;5269;vanilla;0,10397247190158866;24;8,0;18,0;20,0;26,0;0,012134034983032269;False;5;sgd;normalizer
28;2024-05-10 11:49:06.712863;0,5243902206420898;;relu;;;128;;88,0;True;normalizer;0,6459947873213961;2631;17786;5269;batchnorm;0,03168187711040625;18;5,0;26,0;25,0;;;False;4;sgd;maxabs
29;2024-05-10 11:50:08.943461;0,251953125;;leaky_relu;;;512;0,10217494729338839;3,0;True;maxabs;0,3322178349574998;2631;17786;5269;dropout;0,07784223766168452;22;11,0;29,0;20,0;;0,002801756412935237;True;4;sgd;minmax
30;2024-05-10 11:50:34.315650;0,2520896792411804;;leaky_relu;;;16;;10,0;True;minmax;0,6006721779531611;2631;17786;5269;vanilla;0,19122566294936894;27;15,0;25,0;27,0;18,0;0,0166640190960674;False;5;sgd;minmax
31;2024-05-10 11:53:35.181569;0,5347656011581421;;leaky_relu;;;256;;81,0;True;normalizer;0,46297057215355747;2631;17786;5269;vanilla;0,3380783340934131;28;6,0;27,0;22,0;;0,03745900365216428;False;4;sgd;minmax
32;2024-05-10 11:54:14.869379;0,5283203125;;leaky_relu;;;256;;69,0;True;normalizer;0,33901001485179394;2631;17786;5269;vanilla;0,6202323585371552;29;7,0;28,0;22,0;;0,03710963054677954;False;4;sgd;minmax
33;2024-05-10 11:54:49.567286;0,523242175579071;;leaky_relu;;;256;;57,0;True;normalizer;0,6470378624778537;2631;17786;5269;vanilla;0,2571160716903896;25;4,0;22,0;23,0;26,0;0,04829289069886358;False;5;sgd;minmax
34;2024-05-10 11:55:30.492092;0,5285823345184326;;leaky_relu;;;32;;;False;;0,9942836922751335;2631;17786;5269;vanilla;0,5273800376203703;30;20,0;18,0;;;0,02722654488578838;False;3;sgd;minmax
35;2024-05-10 11:58:50.124166;0,4596036672592163;;selu;0,695609972555111;0,9525569256610606;64;0,6996062340331042;77,0;True;normalizer;0,18748750920248147;2631;17786;5269;dropout;;25;8,0;25,0;18,0;8,0;;;5;adam;maxabs
36;2024-05-10 12:00:33.701017;0,5286853909492493;;leaky_relu;;;8;;89,0;True;normalizer;0,4296068404873164;2631;17786;5269;vanilla;0,2567969007112167;27;;;;;0,012342704165056024;False;1;sgd;minmax
37;2024-05-10 12:06:32.663450;0,4619140625;;selu;0,5651761134920656;0,2740630056213984;256;;;False;;0,2127148949604262;2631;17786;5269;vanilla;;17;10,0;30,0;14,0;;;;4;adam;minmax
38;2024-05-10 12:07:10.219478;0,5218465328216553;;leaky_relu;;;16;;74,0;True;normalizer;0,6878970541371703;2631;17786;5269;batchnorm;0,1158374187842716;15;5,0;20,0;;;0,031191615428832274;False;3;sgd;minmax
39;2024-05-10 12:13:07.494220;0,49523627758026123;;leaky_relu;;;32;0,44042533098591224;;False;;0,034417277394033025;2631;17786;5269;dropout;0,4862324818221788;23;7,0;;;;0,04857915408379949;False;2;sgd;normalizer
40;2024-05-10 12:20:15.235722;0,4619140625;;selu;0,9608111772383061;0,7631473417218488;256;;1,0;True;minmax;0,14127918918109098;2631;17786;5269;vanilla;;28;18,0;13,0;19,0;26,0;;;5;adam;maxabs
41;2024-05-10 12:20:52.325539;0,5337890386581421;;leaky_relu;;;256;;82,0;True;normalizer;0,42785911234762847;2631;17786;5269;vanilla;0,34788570975557565;28;6,0;26,0;23,0;;0,039954711213679835;False;4;sgd;minmax
42;2024-05-10 12:21:45.740699;0,531054675579071;;leaky_relu;;;256;;82,0;True;normalizer;0,2549608979732596;2631;17786;5269;vanilla;0,2988336809079388;26;9,0;27,0;24,0;;0,04366073032206981;False;4;sgd;minmax
43;2024-05-10 12:22:29.769758;0,5259765386581421;;leaky_relu;;;256;;92,0;True;normalizer;0,38088765088365806;2631;17786;5269;vanilla;0,20450468576580183;29;4,0;23,0;28,0;;0,054894096472457056;True;4;sgd;minmax
44;2024-05-10 12:23:08.261814;0,5323932766914368;;leaky_relu;;;128;;80,0;True;normalizer;0,6192399338141069;2631;17786;5269;vanilla;0,5655060253292196;24;6,0;25,0;;;0,060435364373592884;False;3;sgd;minmax
45;2024-05-10 12:23:56.713150;0,5228658318519592;;leaky_relu;;;128;;82,0;True;normalizer;0,5143375970146175;2631;17786;5269;batchnorm;0,6497338736831305;21;6,0;28,0;;;0,029683384705549737;False;3;sgd;minmax
46;2024-05-10 12:24:58.286893;0,527057945728302;;relu;;;128;;;False;;0,23298205631634825;2631;17786;5269;vanilla;0,9084659970243716;24;3,0;25,0;;;;True;3;sgd;minmax
47;2024-05-10 12:26:37.783632;0,5314405560493469;;leaky_relu;;;128;;62,0;True;normalizer;0,7183475885238533;2631;17786;5269;vanilla;0,43263419451840696;12;5,0;28,0;;;0,05707122975405774;False;3;sgd;maxabs
48;2024-05-10 12:27:41.342016;0,28810974955558777;;selu;0,05977819477365115;0,03359232533377843;128;;10,0;True;maxabs;0,3259614246741648;2631;17786;5269;vanilla;;25;7,0;26,0;;;;;3;adam;minmax
49;2024-05-10 12:28:33.676018;0,525585949420929;;leaky_relu;;;512;;93,0;True;normalizer;0,1534391066148095;2631;17786;5269;vanilla;0,43583533811576985;20;11,0;;;;0,019870904078819626;False;2;sgd;minmax
50;2024-05-10 12:29:03.108417;0,4919969439506531;;leaky_relu;;;64;;68,0;True;normalizer;0,06086184198874181;2631;17786;5269;batchnorm;0,30234987814298614;22;4,0;21,0;30,0;;0,03231633144381796;False;4;sgd;normalizer
51;2024-05-10 12:30:49.975760;0,527148425579071;;leaky_relu;;;256;;78,0;True;normalizer;0,8556013189795382;2631;17786;5269;vanilla;0,20915394721365327;8;8,0;24,0;27,0;;0,06205798568779358;False;4;sgd;minmax
52;2024-05-10 12:31:32.831781;0,53125;;leaky_relu;;;256;;84,0;True;normalizer;0,7265375136953961;2631;17786;5269;vanilla;0,3224490278051555;30;10,0;27,0;21,0;17,0;0,043371698980253844;False;5;sgd;minmax
53;2024-05-10 12:32:10.851632;0,2520896792411804;;leaky_relu;;;8;;73,0;True;normalizer;0,9709995642136433;2631;17786;5269;vanilla;0,630760856250183;28;6,0;23,0;24,0;;0,08411565070062654;False;4;sgd;minmax
54;2024-05-10 12:38:18.419925;0,5306640863418579;;leaky_relu;;;256;;94,0;True;normalizer;0,4573430024549137;2631;17786;5269;vanilla;0,1451913013776211;27;8,0;25,0;26,0;12,0;0,023545072480969417;False;5;sgd;minmax
55;2024-05-10 12:38:58.030207;0,2522865831851959;;leaky_relu;;;32;;76,0;True;normalizer;0,556954803267177;2631;17786;5269;vanilla;0,975196601827181;26;9,0;26,0;18,0;;0,06177842781862597;False;4;sgd;minmax
56;2024-05-10 12:41:33.191528;0,528124988079071;;relu;;;256;0,28270948208726493;;False;;0,3811818613194976;2631;17786;5269;dropout;0,3600879357664265;29;4,0;30,0;;;;True;3;sgd;minmax
57;2024-05-10 12:42:13.389572;0,529296875;;leaky_relu;;;256;;85,0;True;normalizer;0,7867271205462066;2631;17786;5269;vanilla;0,4774832685020115;29;6,0;22,0;23,0;24,0;0,034103756215172504;False;5;sgd;minmax
58;2024-05-10 12:42:49.764747;0,5307750701904297;;leaky_relu;;;16;;70,0;True;normalizer;0,28217554312936816;2631;17786;5269;vanilla;0,09930253687768124;23;13,0;;;;0,04251030863060382;False;2;sgd;minmax
59;2024-05-10 12:45:44.076030;0,40510669350624084;;leaky_relu;;;128;;9,0;True;minmax;0,5162291626153316;2631;17786;5269;vanilla;0,16083674953438135;28;27,0;29,0;18,0;;0,026984396523960178;False;4;sgd;minmax
60;2024-05-10 12:47:20.540282;0,4619140625;;leaky_relu;0,37131809487556955;0,40368753883820774;256;;7,0;True;maxabs;0,3630316222238682;2631;17786;5269;vanilla;;26;24,0;24,0;;;0,06709479602075262;;3;adam;normalizer
61;2024-05-10 12:47:57.213656;0,534375011920929;;leaky_relu;;;256;;81,0;True;normalizer;0,4733435912528175;2631;17786;5269;vanilla;0,3402032666543614;28;6,0;26,0;22,0;;0,038392866767670605;False;4;sgd;minmax
62;2024-05-10 12:48:31.972936;0,532031238079071;;leaky_relu;;;256;;80,0;True;normalizer;0,6430742508016648;2631;17786;5269;vanilla;0,24827351953787605;30;7,0;27,0;21,0;;0,03873561304981146;False;4;sgd;minmax
63;2024-05-10 12:49:11.356777;0,5302734375;;leaky_relu;;;256;;25,0;True;normalizer;0,44816565150226934;2631;17786;5269;vanilla;0,3815705907313258;27;5,0;28,0;16,0;;0,03437776297410134;False;4;sgd;minmax
64;2024-05-10 12:49:59.079318;0,533007800579071;;leaky_relu;;;256;;79,0;True;normalizer;0,2562295031124748;2631;17786;5269;vanilla;0,7229549157474668;24;3,0;26,0;24,0;19,0;0,05186226182306665;False;5;sgd;minmax
65;2024-05-10 12:50:40.066503;0,529492199420929;;leaky_relu;;;256;;89,0;True;normalizer;0,26812917053059354;2631;17786;5269;vanilla;0,7794552678231204;19;3,0;26,0;24,0;;0,05176725271406942;False;4;sgd;minmax
66;2024-05-10 12:51:47.173202;0,527148425579071;;relu;;;512;;96,0;True;normalizer;0,5703545238040139;2631;17786;5269;vanilla;0,551808220835247;25;4,0;13,0;26,0;20,0;;False;5;sgd;minmax
67;2024-05-10 12:52:15.760172;0,521679699420929;;leaky_relu;;;256;;80,0;True;normalizer;0,34554685283382597;2631;17786;5269;vanilla;0,662501828154202;21;6,0;24,0;23,0;16,0;0,04563541418649218;False;5;sgd;maxabs
68;2024-05-10 12:52:56.016675;0,53125;;leaky_relu;;;256;0,5813684169902695;85,0;True;normalizer;0,21642968194055598;2631;17786;5269;dropout;0,3748472459170452;23;3,0;29,0;21,0;;0,0511705571256642;True;4;sgd;minmax
69;2024-05-10 12:54:06.369026;0,5253430008888245;;selu;;;64;;64,0;True;normalizer;0,39608156217495855;2631;17786;5269;vanilla;0,760711280331249;26;5,0;27,0;;;;False;3;sgd;minmax
70;2024-05-10 12:55:31.493377;0,4597264528274536;;leaky_relu;;;8;;;False;;0,303408546024473;2631;17786;5269;batchnorm;0,4873709721983114;24;8,0;25,0;29,0;9,0;0,03902551295575475;False;5;sgd;minmax
