B365H,B365D,B365A,res
0.4166666666666667,0.2857142857142857,0.3448275862068966,1
0.25,0.2631578947368421,0.5405405405405405,1
0.3225806451612903,0.2777777777777778,0.4444444444444444,-1
0.6535947712418301,0.2222222222222222,0.17391304347826086,-1
0.6535947712418301,0.23094688221709006,0.16666666666666666,-1
0.6666666666666666,0.21052631578947367,0.17391304347826086,-1
0.5464480874316939,0.2631578947368421,0.23809523809523808,-1
0.6211180124223602,0.25,0.18181818181818182,-1
0.38167938931297707,0.2857142857142857,0.38167938931297707,1
0.9090909090909091,0.09090909090909091,0.047619047619047616,-1
0.42194092827004215,0.3333333333333333,0.2949852507374631,0
0.19047619047619047,0.23809523809523808,0.6211180124223602,1
0.5263157894736842,0.2777777777777778,0.25,0
0.6666666666666666,0.23094688221709006,0.15384615384615385,1
0.3225806451612903,0.3333333333333333,0.39370078740157477,1
0.25,0.2857142857142857,0.5128205128205129,0
0.4366812227074236,0.303951367781155,0.3125,-1
0.15384615384615385,0.23094688221709006,0.6666666666666666,1
0.8620689655172414,0.125,0.06666666666666667,1
0.38167938931297707,0.2857142857142857,0.38167938931297707,-1
0.1111111111111111,0.2222222222222222,0.7194244604316548,1
0.4366812227074236,0.3076923076923077,0.3076923076923077,-1
0.49019607843137253,0.2777777777777778,0.2857142857142857,0
0.6666666666666666,0.23094688221709006,0.15384615384615385,-1
0.4366812227074236,0.3125,0.3076923076923077,-1
0.25,0.2949852507374631,0.5,1
0.819672131147541,0.15384615384615385,0.07692307692307693,0
0.16666666666666666,0.25,0.6451612903225806,1
0.8771929824561404,0.11764705882352941,0.05263157894736842,-1
0.8620689655172414,0.13333333333333333,0.058823529411764705,-1
0.19047619047619047,0.25,0.6097560975609756,1
0.15384615384615385,0.23094688221709006,0.6666666666666666,-1
0.5405405405405405,0.2777777777777778,0.23809523809523808,-1
0.7518796992481203,0.2,0.1,-1
0.2,0.26666666666666666,0.5813953488372093,1
0.303951367781155,0.3125,0.4366812227074236,1
0.2777777777777778,0.2857142857142857,0.49019607843137253,0
0.45454545454545453,0.3076923076923077,0.2857142857142857,-1
0.3076923076923077,0.3076923076923077,0.4366812227074236,1
0.7352941176470588,0.21052631578947367,0.1,-1
0.6944444444444444,0.23809523809523808,0.11764705882352941,-1
0.47619047619047616,0.3076923076923077,0.26666666666666666,1
0.5263157894736842,0.2949852507374631,0.23094688221709006,1
0.13333333333333333,0.2638522427440633,0.6535947712418301,1
0.7692307692307692,0.16666666666666666,0.1111111111111111,-1
0.6369426751592356,0.25,0.16666666666666666,-1
0.5,0.2949852507374631,0.2570694087403599,0
0.8403361344537815,0.15384615384615385,0.06666666666666667,1
0.3076923076923077,0.303951367781155,0.4366812227074236,-1
0.21052631578947367,0.2857142857142857,0.5555555555555556,1
0.5405405405405405,0.2777777777777778,0.23094688221709006,-1
0.45454545454545453,0.3225806451612903,0.27027027027027023,0
0.6944444444444444,0.2222222222222222,0.13333333333333333,-1
0.1,0.2,0.7518796992481203,0
0.35842293906810035,0.2857142857142857,0.4,1
0.3225806451612903,0.303951367781155,0.42194092827004215,0
0.23094688221709006,0.2949852507374631,0.5263157894736842,1
0.8474576271186441,0.14285714285714285,0.058823529411764705,-1
0.17391304347826086,0.25,0.6211180124223602,1
0.8403361344537815,0.14285714285714285,0.06666666666666667,-1
0.35842293906810035,0.2949852507374631,0.4,0
0.8403361344537815,0.15384615384615385,0.06666666666666667,-1
0.6024096385542169,0.2638522427440633,0.19047619047619047,0
0.6211180124223602,0.26666666666666666,0.16666666666666666,-1
0.2222222222222222,0.2857142857142857,0.5405405405405405,0
0.6666666666666666,0.25,0.13333333333333333,0
0.37037037037037035,0.303951367781155,0.38167938931297707,0
0.5405405405405405,0.2949852507374631,0.21052631578947367,-1
0.303951367781155,0.303951367781155,0.4444444444444444,0
0.41841004184100417,0.3125,0.3225806451612903,-1
0.6944444444444444,0.2222222222222222,0.15384615384615385,0
0.23809523809523808,0.26666666666666666,0.5464480874316939,1
0.42194092827004215,0.3225806451612903,0.3076923076923077,-1
0.2949852507374631,0.303951367781155,0.45454545454545453,-1
0.8620689655172414,0.13333333333333333,0.058823529411764705,-1
