B365H,B365A,res,tendencia_H,tendencia_A
2.4,2.9,1,1.6666666666666667,1.0
4.0,1.85,1,2.0,2.3333333333333335
3.1,2.25,-1,1.0,1.6666666666666667
1.53,5.75,-1,2.0,1.3333333333333333
1.53,6.0,-1,1.3333333333333333,0.0
1.5,5.75,-1,1.3333333333333333,1.3333333333333333
1.83,4.2,-1,2.3333333333333335,2.0
1.61,5.5,-1,2.0,1.0
2.62,2.62,1,0.0,1.3333333333333333
1.1,21.0,-1,2.3333333333333335,0.0
2.37,3.39,0,3.0,2.0
5.25,1.61,1,1.0,1.3333333333333333
1.9,4.0,0,2.3333333333333335,2.0
1.5,6.5,1,2.0,0.3333333333333333
3.1,2.54,1,0.3333333333333333,1.0
4.0,1.95,0,2.0,2.3333333333333335
2.29,3.2,-1,0.3333333333333333,2.0
6.5,1.5,1,0.0,0.3333333333333333
1.16,15.0,1,2.0,2.0
2.62,2.62,-1,1.3333333333333333,1.0
9.0,1.39,1,0.3333333333333333,3.0
2.29,3.25,-1,2.0,2.0
2.04,3.5,0,3.0,3.0
1.5,6.5,-1,1.3333333333333333,1.3333333333333333
2.29,3.25,-1,0.3333333333333333,2.3333333333333335
4.0,2.0,1,1.0,1.0
1.22,13.0,0,2.0,0.3333333333333333
6.0,1.55,1,0.3333333333333333,2.0
1.14,19.0,-1,1.3333333333333333,0.3333333333333333
1.16,17.0,-1,1.3333333333333333,0.0
5.25,1.64,1,0.6666666666666666,2.3333333333333335
6.5,1.5,-1,0.3333333333333333,2.3333333333333335
1.85,4.2,-1,1.0,1.3333333333333333
1.33,10.0,-1,2.3333333333333335,2.0
5.0,1.72,1,1.3333333333333333,0.6666666666666666
3.29,2.29,1,0.0,0.6666666666666666
3.6,2.04,0,1.3333333333333333,0.0
2.2,3.5,-1,1.3333333333333333,2.3333333333333335
3.25,2.29,1,2.3333333333333335,1.3333333333333333
1.36,10.0,-1,2.3333333333333335,0.6666666666666666
1.44,8.5,-1,1.3333333333333333,1.0
2.1,3.75,1,2.3333333333333335,2.3333333333333335
1.9,4.33,1,0.0,1.3333333333333333
7.5,1.53,1,0.6666666666666666,1.3333333333333333
1.3,9.0,-1,2.3333333333333335,1.3333333333333333
1.57,6.0,-1,1.6666666666666667,1.6666666666666667
2.0,3.89,0,1.0,1.0
1.19,15.0,1,1.0,0.3333333333333333
3.25,2.29,-1,1.6666666666666667,1.3333333333333333
4.75,1.8,1,1.0,1.3333333333333333
1.85,4.33,-1,1.3333333333333333,1.3333333333333333
2.2,3.7,0,1.0,0.6666666666666666
1.44,7.5,-1,0.6666666666666666,2.3333333333333335
10.0,1.33,0,1.0,3.0
2.79,2.5,1,2.3333333333333335,2.3333333333333335
3.1,2.37,0,2.3333333333333335,1.0
4.33,1.9,1,1.0,1.0
1.18,17.0,-1,1.6666666666666667,0.0
5.75,1.61,1,1.3333333333333333,0.6666666666666666
1.19,15.0,-1,0.6666666666666666,1.0
2.79,2.5,0,2.3333333333333335,1.3333333333333333
1.19,15.0,-1,2.3333333333333335,1.3333333333333333
1.66,5.25,0,1.0,1.0
1.61,6.0,-1,0.6666666666666666,1.0
4.5,1.85,0,0.6666666666666666,2.3333333333333335
1.5,7.5,0,3.0,1.0
2.7,2.62,0,1.3333333333333333,1.3333333333333333
1.85,4.75,-1,1.6666666666666667,1.0
3.29,2.25,0,1.3333333333333333,3.0
2.39,3.1,-1,0.0,0.0
1.44,6.5,0,1.3333333333333333,1.6666666666666667
4.2,1.83,1,0.0,1.6666666666666667
2.37,3.25,-1,0.0,0.6666666666666666
3.39,2.2,-1,0.0,1.0
1.16,17.0,-1,1.6666666666666667,1.3333333333333333
3.6,2.1,-1,2.0,2.3333333333333335
2.7,2.7,0,1.0,1.3333333333333333
4.5,1.85,0,1.0,2.0
1.75,4.5,1,2.3333333333333335,3.0
17.0,1.22,1,1.0,2.3333333333333335
1.53,7.0,-1,1.0,1.0
2.75,2.7,0,2.0,2.3333333333333335
2.7,2.87,0,1.0,1.6666666666666667
1.8,4.33,-1,0.0,1.0
1.8,5.0,-1,0.3333333333333333,1.3333333333333333
3.39,2.2,1,0.0,3.0
1.44,7.5,1,2.0,0.0
1.66,5.5,-1,2.3333333333333335,3.0
