HS,AS,HST,AST,HC,AC,HF,AF,B365H,B365D,B365A,tend_ptsH,tend_ptsA,tend_goalsH,tend_goalsA,tend_HS,tend_AS,tend_HST,tend_AST,tend_HC,tend_AC,tend_HF,tend_AF,res,dif_puntos,dif_goles,dif_shots,dif_targets,dif_corners
14,12,4,2,8,3,20,12,1.08,11.0,29.0,3.0,6.0,1.0,3.0,34.0,39.0,13.0,24.0,16.0,7.0,47.0,42.0,-1,3.0,2.0,5.0,11.0,-9.0
12,13,4,2,3,8,13,13,1.22,7.0,11.0,0.0,2.0,3.0,4.0,41.0,51.0,12.0,16.0,18.0,27.0,48.0,33.0,-1,2.0,1.0,10.0,4.0,9.0
8,14,4,3,2,2,14,14,1.61,3.8,6.0,3.0,4.0,5.0,3.0,41.0,45.0,19.0,12.0,12.0,16.0,33.0,27.0,0,1.0,-2.0,4.0,-7.0,4.0
12,11,3,4,7,7,4,11,2.04,3.5,3.6,6.0,4.0,7.0,6.0,50.0,43.0,19.0,17.0,13.0,16.0,36.0,35.0,1,-2.0,-1.0,-7.0,-2.0,3.0
22,12,5,7,8,4,8,11,1.4,4.75,8.0,5.0,5.0,6.0,4.0,47.0,28.0,18.0,8.0,29.0,12.0,42.0,41.0,-1,0.0,-2.0,-19.0,-10.0,-17.0
14,15,5,7,4,5,13,10,3.1,4.1,2.1,0.0,9.0,2.0,10.0,35.0,36.0,9.0,15.0,15.0,12.0,39.0,34.0,0,9.0,8.0,1.0,6.0,-3.0
20,10,8,4,8,3,15,12,1.4,4.75,8.0,3.0,4.0,2.0,5.0,35.0,25.0,8.0,9.0,15.0,10.0,39.0,54.0,-1,1.0,3.0,-10.0,1.0,-5.0
6,11,2,3,2,9,19,12,3.3,3.3,2.25,9.0,4.0,6.0,3.0,30.0,59.0,7.0,15.0,14.0,23.0,33.0,27.0,1,-5.0,-3.0,29.0,8.0,9.0
13,12,7,6,4,3,7,19,3.1,3.5,2.25,3.0,9.0,2.0,8.0,34.0,45.0,11.0,20.0,11.0,10.0,30.0,35.0,1,6.0,6.0,11.0,9.0,-1.0
8,16,3,8,6,4,9,9,2.7,3.6,2.5,0.0,2.0,5.0,6.0,28.0,48.0,10.0,13.0,14.0,16.0,48.0,38.0,-1,2.0,1.0,20.0,3.0,2.0
20,7,9,3,5,3,9,15,1.8,4.0,4.1,4.0,7.0,4.0,3.0,27.0,51.0,9.0,10.0,13.0,20.0,26.0,39.0,-1,3.0,-1.0,24.0,1.0,7.0
