B365H,B365A,res,tendencia_H,tendencia_A
1.61,5.0,0,3.0,2.6
1.53,7.5,-1,1.6,1.0
1.91,4.2,-1,0.4,0.0
2.2,3.4,-1,2.6,1.2
1.75,5.25,-1,1.4,0.2
2.25,3.3,1,1.2,0.2
3.75,2.0,0,0.8,1.6
2.8,2.6,-1,1.6,1.8
2.25,3.3,0,0.6,1.6
1.67,5.5,-1,1.4,1.2
3.2,2.25,1,2.4,3.0
1.53,5.75,1,2.6,2.4
4.75,1.7,0,1.6,3.0
2.55,2.63,1,1.8,2.4
11.0,1.29,1,0.0,2.6
2.8,2.5,-1,1.0,1.4
1.4,8.0,-1,2.4,0.6
1.91,4.0,0,0.6,0.8
1.33,9.0,0,2.0,0.4
1.13,21.0,-1,3.0,1.2
2.25,3.3,1,0.2,1.4
2.7,2.6,-1,0.6,2.2
2.2,3.2,0,1.2,1.4
2.1,3.75,1,0.8,1.0
2.25,3.3,1,1.2,1.0
1.91,4.33,-1,0.2,0.0
5.5,1.62,1,0.4,2.0
1.3,10.0,-1,2.6,0.4
3.5,2.0,-1,,2.4
1.4,8.5,-1,3.0,2.2
15.0,1.22,1,0.8,3.0
1.25,12.0,-1,,0.6
1.33,10.0,-1,,
2.2,3.3,1,,
2.2,3.5,0,,
3.6,2.05,0,,
1.33,9.0,-1,,
3.4,2.1,1,,
1.25,11.0,-1,,
2.88,2.4,1,,
8.0,1.36,1,,
5.75,1.6,0,,
3.8,2.0,1,,
3.0,2.5,0,,
1.4,8.5,-1,,
1.11,19.0,-1,,
2.38,3.1,1,,
1.67,5.0,0,,
7.5,1.45,1,,
1.17,17.0,-1,,
1.55,6.0,-1,,
10.0,1.33,1,,
10.0,1.33,1,,
4.33,1.83,1,,
2.45,2.9,-1,,
1.55,6.5,-1,,
1.67,5.5,-1,,
3.4,2.2,1,,
2.38,3.2,-1,,
1.25,13.0,-1,,
1.17,17.0,-1,,
3.5,2.2,1,,
2.5,2.88,0,,
1.8,4.5,1,,
1.22,13.0,-1,,
1.4,8.0,-1,,
2.5,2.9,-1,,
1.75,5.0,-1,,
2.3,3.0,1,,
2.7,2.75,1,,
9.0,1.4,1,,
3.1,2.38,0,,
6.0,1.57,1,,
1.57,6.0,-1,,
1.29,11.0,0,,
1.67,5.5,-1,,
2.2,3.5,0,,
2.1,3.8,1,,
3.2,2.3,1,,
8.0,1.4,1,,
1.14,19.0,-1,,
2.14,3.6,1,1.0,0.8
1.8,4.75,-1,2.2,2.2
6.0,1.6,1,1.2,1.2
1.19,15.0,-1,1.2,1.0
1.39,8.5,-1,1.4,0.8
6.5,1.6,-1,0.6,2.6
9.0,1.39,1,1.6,2.6
1.9,4.2,1,0.2,0.6
1.33,9.0,-1,1.4,0.8
2.45,3.0,-1,1.0,1.8
4.75,1.8,0,1.0,1.8
1.12,27.0,-1,2.0,1.2
1.18,17.0,-1,1.4,1.2
3.75,2.0,-1,0.2,1.8
1.16,19.0,0,2.6,1.0
3.1,2.54,1,0.4,1.0
1.57,6.5,-1,1.8,1.6
2.25,3.29,-1,2.0,1.8
1.08,34.0,0,2.4,0.8
2.89,2.62,0,1.6,0.8
2.1,3.7,-1,0.4,0.4
2.25,3.39,1,0.8,1.0
2.37,3.2,-1,0.4,1.8
8.0,1.44,-1,1.6,2.0
2.7,2.79,1,0.6,1.6
4.75,1.85,-1,0.6,2.4
1.16,21.0,-1,2.0,0.4
1.44,8.0,-1,2.4,2.4
10.0,1.33,1,1.0,2.4
7.0,1.53,1,0.6,2.0
2.25,3.7,0,2.0,0.4
2.04,3.79,-1,1.6,1.4
2.62,3.1,1,1.0,1.6
1.85,4.75,1,2.4,1.0
1.72,5.0,-1,0.2,1.0
1.33,10.0,0,2.2,0.4
2.29,3.39,-1,1.6,2.4
1.14,23.0,-1,2.4,1.2
1.55,6.0,-1,1.8,1.0
2.29,3.5,0,0.2,2.4
2.89,2.54,0,0.2,1.4
7.5,1.5,0,0.8,2.0
4.0,1.9,1,3.0,1.4
2.25,3.2,0,1.4,0.2
5.0,1.75,1,1.0,2.4
6.5,1.55,0,0.8,2.4
2.0,4.0,0,0.8,0.2
1.18,19.0,1,3.0,0.2
3.29,2.25,-1,2.0,1.8
2.62,2.7,1,3.0,2.4
1.25,12.0,-1,2.0,1.2
2.62,3.0,-1,2.6,1.6
1.9,4.75,-1,0.8,1.4
2.62,3.0,-1,0.4,0.8
2.54,3.1,0,1.0,1.4
4.5,1.85,1,0.4,0.8
1.28,12.0,0,1.2,1.2
1.57,6.0,-1,1.2,0.4
1.89,4.2,1,3.0,2.4
2.5,3.0,0,1.2,0.6
1.85,5.0,0,1.4,0.8
1.95,4.2,1,1.6,2.0
11.0,1.33,1,0.4,3.0
2.39,3.39,1,1.4,2.0
2.37,3.39,0,0.0,1.4
4.2,1.9,0,1.2,2.4
2.29,3.1,1,1.2,2.6
1.28,10.0,-1,1.2,0.6
9.0,1.33,1,1.8,2.6
2.7,2.6,-1,0.6,1.0
2.7,2.62,1,2.0,1.2
1.25,10.0,-1,2.4,1.6
1.75,5.0,-1,1.6,1.4
2.29,3.1,0,1.2,1.0
2.5,3.1,1,0.0,1.6
7.0,1.44,1,0.6,2.4
1.19,15.0,-1,2.0,1.8
1.83,5.0,-1,1.0,0.0
3.0,2.7,1,1.4,0.2
2.5,3.1,1,0.6,1.2
15.0,1.25,1,0.8,2.6
6.5,1.55,1,1.6,2.6
1.44,7.5,-1,0.6,2.0
1.3,12.0,-1,0.6,0.4
2.2,3.89,-1,1.2,2.2
2.54,3.2,0,1.2,2.0
2.79,2.79,-1,1.2,1.2
3.0,2.6,1,0.0,0.6
2.29,3.6,1,0.8,1.2
2.75,2.75,-1,1.8,2.6
7.0,1.57,1,0.4,1.8
1.61,6.0,-1,2.6,1.2
4.2,1.9,-1,1.6,1.2
1.22,15.0,-1,2.0,1.2
1.85,4.5,0,1.0,1.6
1.75,5.25,0,1.2,1.2
2.6,3.0,-1,2.0,1.0
1.19,17.0,-1,2.2,1.2
2.14,3.89,-1,1.4,0.2
2.5,3.29,-1,0.6,1.4
4.5,1.72,1,1.2,2.0
2.29,3.5,-1,1.8,1.4
7.5,1.5,1,1.0,2.2
2.25,3.5,-1,1.0,1.4
2.1,3.79,0,2.0,1.2
2.14,4.0,-1,1.0,2.2
2.89,2.79,0,0.4,1.2
1.22,13.0,-1,2.0,1.6
1.95,4.75,1,0.8,0.6
1.72,5.25,0,1.0,1.0
1.36,8.0,-1,1.0,0.8
4.2,1.8,1,1.2,2.0
5.5,1.61,-1,1.2,2.4
3.25,2.25,-1,0.0,2.2
1.19,13.0,-1,2.0,1.6
2.25,3.2,-1,0.8,1.6
2.2,3.39,0,0.8,1.0
2.37,3.25,-1,1.6,0.4
2.5,2.79,-1,1.2,1.0
2.0,3.5,-1,1.8,1.4
6.25,1.61,-1,0.4,1.6
2.1,3.6,0,2.4,2.2
2.04,4.2,0,1.6,1.2
1.3,12.0,-1,1.0,0.8
1.9,4.33,-1,2.2,0.8
2.35,3.7,-1,0.6,1.8
1.8,5.25,0,1.4,2.0
1.16,19.0,-1,2.0,0.2
2.54,3.1,1,1.0,0.8
13.0,1.28,0,0.4,2.0
1.14,21.0,-1,2.0,1.2
2.25,3.39,0,0.8,0.8
2.35,3.39,-1,2.2,2.2
1.28,11.0,1,2.2,1.8
3.0,2.62,-1,0.4,1.4
2.2,3.89,0,1.0,0.4
1.75,6.0,0,0.6,0.4
12.0,1.3,1,0.4,2.4
7.0,1.5,-1,1.4,1.6
3.1,2.54,0,1.8,1.4
12.0,1.3,-1,1.0,2.6
5.75,1.64,0,0.6,2.6
1.12,26.0,-1,2.0,1.6
1.5,7.0,-1,1.2,1.6
7.5,1.57,1,0.4,1.8
2.14,4.0,0,0.4,1.0
1.85,4.33,-1,1.0,0.8
2.04,4.09,-1,0.8,0.6
2.0,4.0,0,1.6,1.6
6.5,1.61,1,1.0,1.8
1.22,15.0,-1,1.8,0.8
3.1,2.29,-1,2.6,2.6
4.75,1.75,-1,1.0,1.8
1.28,13.0,-1,2.0,1.0
1.3,12.0,0,2.2,0.8
2.0,4.5,-1,1.6,0.6
2.62,3.1,1,1.2,1.6
1.95,4.5,0,1.4,0.8
2.5,3.0,0,0.6,0.4
2.14,4.33,-1,0.4,1.2
1.25,10.0,0,2.4,1.6
2.6,2.6,0,1.8,2.6
12.0,1.3,1,0.8,2.4
1.9,4.09,-1,1.6,0.6
1.12,19.0,-1,2.6,0.6
1.9,4.0,1,0.4,1.6
5.5,1.8,1,1.6,1.8
7.5,1.5,1,1.2,2.2
1.66,6.0,-1,0.8,1.2
2.29,3.5,1,0.8,0.8
2.37,3.39,0,1.0,0.8
5.0,1.72,0,0.4,1.8
11.0,1.28,0,1.6,3.0
1.36,9.0,0,1.6,0.4
2.37,3.29,-1,0.4,1.8
1.16,19.0,-1,2.0,0.8
2.37,3.5,0,1.6,1.6
1.3,11.0,-1,1.8,1.4
2.14,4.0,0,0.6,0.8
1.66,6.0,1,0.6,0.8
4.5,1.8,1,1.8,1.2
13.0,1.25,1,0.6,3.0
1.16,19.0,-1,1.8,0.8
2.79,2.75,0,0.4,1.4
1.19,17.0,-1,2.0,0.8
2.5,3.2,0,1.4,1.2
1.25,15.0,0,2.0,1.4
2.54,2.87,-1,0.2,2.0
2.54,3.1,0,0.4,2.2
1.36,10.0,-1,2.0,0.6
4.5,1.9,0,2.4,2.4
7.0,1.55,1,2.0,1.4
2.62,3.0,-1,0.4,0.2
1.12,23.0,-1,3.0,0.4
1.61,6.5,0,0.4,1.2
2.29,3.5,-1,0.6,0.6
3.29,2.45,0,0.6,1.8
2.1,3.89,1,1.4,0.2
6.0,1.66,0,2.6,2.4
2.54,2.79,0,1.6,2.2
1.72,5.5,-1,2.0,0.8
6.5,1.53,1,0.6,1.8
6.5,1.6,1,0.8,2.4
1.55,6.0,-1,3.0,1.6
2.29,3.5,1,0.6,1.0
1.25,14.0,-1,1.6,0.2
2.62,3.2,0,0.2,1.8
1.39,9.0,-1,2.0,1.0
1.8,5.0,1,0.8,0.6
1.89,4.5,1,2.6,1.8
5.25,1.66,0,0.8,2.0
1.28,12.0,-1,2.4,1.2
1.22,15.0,0,2.2,0.6
1.25,15.0,-1,1.0,0.4
15.0,1.25,1,0.8,3.0
2.39,3.25,1,0.2,1.6
2.1,3.89,1,1.0,2.0
9.0,1.44,1,0.6,2.0
2.29,3.25,-1,1.4,1.4
2.29,3.6,-1,1.8,0.8
3.39,2.25,1,2.4,3.0
1.3,11.0,0,2.6,2.0
4.0,1.95,0,0.8,1.8
2.62,2.89,1,0.2,1.6
2.6,3.0,-1,1.8,1.4
2.04,4.0,0,1.2,1.6
2.7,3.0,-1,0.6,1.0
2.7,3.0,-1,0.2,0.6
1.28,11.0,-1,1.0,1.0
7.5,1.5,-1,0.2,2.6
1.08,21.0,-1,3.0,0.4
2.89,2.39,0,1.4,0.8
2.5,3.0,1,2.4,2.4
7.5,1.5,1,1.2,2.6
1.72,5.5,-1,1.4,0.6
1.83,5.0,-1,1.6,2.4
1.95,4.5,-1,1.0,0.2
5.0,1.72,0,1.2,0.8
2.5,3.2,0,0.4,1.2
1.25,15.0,-1,2.6,0.2
2.37,3.29,-1,0.8,0.4
1.19,15.0,-1,3.0,1.4
6.5,1.55,1,1.0,2.0
2.0,4.33,1,2.0,1.8
1.19,17.0,-1,2.4,1.2
1.18,17.0,-1,2.6,0.2
5.25,1.72,1,1.2,1.8
2.37,3.5,0,0.2,0.6
2.7,3.0,0,1.6,1.0
5.0,1.75,-1,1.6,1.4
17.0,1.18,1,1.2,3.0
6.5,1.53,1,2.0,1.8
1.9,4.75,-1,1.0,1.0
2.14,3.5,0,2.0,2.4
2.04,4.0,-1,1.0,1.0
1.19,19.0,-1,1.4,1.8
2.2,3.5,1,0.8,1.2
2.79,2.79,0,0.6,1.8
1.25,16.0,0,1.8,0.2
2.7,2.75,0,0.4,1.6
2.39,3.39,0,1.6,1.4
2.1,3.75,-1,0.8,1.0
1.28,13.0,-1,1.4,1.0
1.83,5.25,-1,1.4,1.2
2.14,4.0,-1,2.0,0.6
2.39,3.29,0,0.8,0.8
9.5,1.33,1,1.8,3.0
1.39,9.0,-1,1.6,1.0
6.5,1.61,1,0.4,1.8
2.5,2.89,-1,1.8,2.4
2.5,3.2,-1,1.8,2.0
2.2,3.6,-1,0.8,1.4
1.39,7.5,-1,3.0,2.4
1.28,12.0,-1,2.4,0.8
5.25,1.66,1,1.0,1.6
2.79,3.0,-1,0.8,0.4
2.0,4.2,1,1.0,0.8
1.66,6.5,1,1.0,1.6
2.39,3.39,1,0.6,1.6
2.7,2.87,0,1.2,1.6
2.89,2.7,-1,1.2,1.6
2.14,3.75,-1,1.2,0.8
3.29,2.45,0,1.4,1.4
6.0,1.61,1,1.4,1.4
1.25,12.0,-1,2.0,0.8
2.39,3.29,0,0.6,1.0
1.25,13.0,-1,1.2,1.0
2.04,3.79,1,1.4,0.6
11.0,1.28,1,0.6,3.0
2.14,3.79,-1,2.0,2.6
2.25,3.39,-1,2.6,1.2
3.79,2.04,1,0.8,2.0
1.85,5.25,-1,0.8,0.6
11.0,1.36,-1,0.4,2.2
1.11,26.0,-1,3.0,1.8
2.0,4.2,-1,1.6,0.6
2.14,3.6,1,0.8,0.8
2.79,2.75,1,0.8,0.6
1.36,10.0,-1,1.4,2.0
1.83,5.25,1,1.6,1.4
2.05,4.2,0,0.4,0.6
1.91,4.5,0,0.8,2.0
3.25,2.4,0,1.4,0.6
5.25,1.65,-1,1.6,2.0
2.75,2.8,0,1.8,1.4
9.0,1.4,-1,0.0,2.0
1.14,21.0,-1,3.0,1.0
2.2,3.75,-1,0.8,0.6
1.2,15.0,-1,2.2,0.8
2.8,2.8,0,1.6,2.6
5.0,1.67,0,1.8,2.0
1.67,5.75,1,0.8,1.2
1.2,13.0,-1,1.4,1.4
2.75,2.5,1,2.6,2.6
2.8,2.5,0,0.6,0.8
1.17,15.0,-1,2.6,0.0
2.88,2.45,-1,1.0,1.4
2.15,3.5,0,1.0,2.0
1.8,4.5,-1,0.8,0.8
8.5,1.36,1,1.2,1.6
1.33,11.0,-1,1.4,1.6
2.8,2.9,-1,0.8,1.8
4.1,1.91,1,0.8,1.6
2.15,3.9,0,1.6,1.6
1.65,5.75,-1,0.8,0.6
1.14,21.0,-1,2.6,0.0
5.5,1.73,1,1.6,2.6
6.0,1.62,1,1.0,2.0
2.4,3.25,1,1.0,1.6
6.0,1.6,1,0.8,1.6
1.36,10.0,-1,,
1.8,4.5,0,,
1.22,15.0,0,,
3.5,2.25,0,,
1.29,13.0,0,,
2.38,3.4,-1,,
9.0,1.33,1,,
2.38,3.4,0,,
3.0,2.6,1,,
2.15,3.8,-1,,
1.95,4.5,-1,,
2.4,3.3,1,,
2.3,3.5,-1,,
7.5,1.5,0,,
1.36,9.0,-1,,
2.7,3.0,-1,,
3.8,2.1,1,,
4.75,1.8,1,,
1.65,6.0,1,,
1.85,4.2,-1,,
2.15,3.5,-1,,
1.25,15.0,0,,
1.45,8.5,-1,,
2.4,3.5,0,,
1.33,11.0,-1,,
1.95,4.33,1,,
3.9,2.1,0,,
2.3,3.4,-1,,
1.91,4.0,0,,
11.0,1.3,1,,
1.33,10.0,0,,
2.1,3.75,1,,
2.5,3.2,-1,,
4.5,1.85,-1,,
2.0,4.0,1,,
2.63,3.0,1,,
1.73,5.5,-1,,
1.36,9.5,-1,,
1.75,5.25,-1,,
11.0,1.36,1,,
1.3,12.0,-1,,
5.5,1.7,1,,
11.0,1.33,1,,
1.25,15.0,1,,
1.83,5.0,1,,
1.7,5.75,-1,,
1.62,6.5,0,,
2.4,3.3,-1,,
6.0,1.62,0,,
1.53,6.5,-1,,
1.16,15.0,1,3.0,2.0
2.2,3.0,-1,2.0,1.4
4.2,1.85,1,1.4,0.8
1.95,4.0,-1,0.6,1.0
2.29,3.0,-1,1.6,0.8
1.19,13.0,-1,1.4,1.4
2.29,3.0,-1,1.8,2.0
2.29,3.0,1,2.0,0.6
1.64,5.25,-1,0.8,0.4
1.3,10.0,1,1.4,1.6
1.61,5.5,-1,0.8,1.0
11.0,1.25,1,0.4,3.0
3.79,1.85,0,1.0,1.4
1.8,4.75,-1,1.6,0.6
1.95,4.0,-1,0.2,2.0
3.6,2.1,1,1.2,1.6
2.7,2.62,-1,0.8,1.6
3.1,2.14,-1,1.6,2.6
3.79,1.9,0,1.4,1.8
3.75,2.04,-1,1.0,1.4
1.39,8.0,1,1.4,1.6
1.6,5.25,-1,2.4,0.8
2.04,3.79,0,2.0,1.0
2.1,3.6,-1,0.0,1.0
1.85,4.2,0,2.0,1.6
2.2,3.29,1,1.0,1.4
1.28,9.5,-1,2.2,0.8
