ptsH,ptsA,goalsH,goalsA,HS,AS,HST,AST,HC,AC,HF,AF,res
19.0,2.0,10.0,5.0,118.0,78.0,39.0,24.0,49.0,42.0,137.0,151.0,0
18.0,25.0,17.0,20.0,159.0,154.0,58.0,50.0,43.0,60.0,128.0,120.0,-1
9.0,22.0,12.0,22.0,125.0,146.0,42.0,51.0,44.0,33.0,146.0,129.0,0
13.0,6.0,18.0,9.0,133.0,126.0,40.0,49.0,41.0,35.0,119.0,139.0,0
11.0,18.0,16.0,17.0,119.0,111.0,46.0,51.0,44.0,49.0,122.0,158.0,0
15.0,9.0,14.0,12.0,148.0,133.0,51.0,45.0,60.0,48.0,110.0,175.0,-1
18.0,7.0,16.0,12.0,122.0,102.0,44.0,43.0,58.0,39.0,166.0,162.0,0
12.0,9.0,13.0,9.0,140.0,106.0,49.0,41.0,69.0,52.0,115.0,172.0,-1
10.0,14.0,9.0,12.0,154.0,86.0,52.0,38.0,78.0,29.0,138.0,135.0,0
18.0,8.0,10.0,10.0,139.0,107.0,41.0,37.0,47.0,49.0,135.0,140.0,1
16.0,8.0,12.0,10.0,156.0,94.0,52.0,24.0,57.0,45.0,140.0,141.0,-1
13.0,17.0,21.0,13.0,138.0,92.0,45.0,36.0,43.0,35.0,104.0,176.0,-1
19.0,11.0,10.0,11.0,121.0,122.0,39.0,44.0,51.0,47.0,128.0,132.0,-1
15.0,12.0,14.0,12.0,142.0,126.0,55.0,52.0,74.0,41.0,133.0,118.0,-1
26.0,2.0,27.0,5.0,204.0,89.0,75.0,26.0,75.0,44.0,94.0,160.0,0
16.0,9.0,18.0,9.0,141.0,79.0,53.0,30.0,33.0,32.0,133.0,123.0,0
12.0,8.0,14.0,13.0,95.0,96.0,39.0,43.0,40.0,32.0,135.0,118.0,1
15.0,10.0,17.0,12.0,155.0,125.0,47.0,41.0,57.0,39.0,139.0,141.0,1
14.0,15.0,13.0,16.0,140.0,122.0,44.0,52.0,36.0,48.0,134.0,156.0,-1
19.0,25.0,11.0,19.0,157.0,149.0,45.0,54.0,48.0,61.0,144.0,123.0,0
9.0,5.0,11.0,7.0,129.0,109.0,44.0,37.0,50.0,47.0,142.0,135.0,0
20.0,18.0,18.0,18.0,165.0,134.0,60.0,55.0,43.0,44.0,122.0,125.0,-1
16.0,14.0,15.0,12.0,125.0,79.0,54.0,36.0,42.0,24.0,160.0,141.0,-1
18.0,7.0,17.0,10.0,119.0,133.0,43.0,50.0,56.0,37.0,155.0,142.0,1
15.0,6.0,14.0,12.0,143.0,131.0,51.0,45.0,64.0,50.0,119.0,174.0,1
9.0,7.0,9.0,13.0,142.0,107.0,48.0,44.0,71.0,44.0,138.0,161.0,-1
12.0,19.0,16.0,21.0,125.0,141.0,48.0,52.0,44.0,37.0,104.0,145.0,0
17.0,9.0,14.0,8.0,147.0,100.0,49.0,39.0,59.0,50.0,106.0,170.0,-1
15.0,12.0,25.0,13.0,151.0,123.0,51.0,38.0,48.0,40.0,107.0,139.0,-1
21.0,5.0,19.0,8.0,160.0,93.0,60.0,22.0,43.0,47.0,123.0,144.0,-1
18.0,15.0,18.0,16.0,155.0,123.0,59.0,50.0,72.0,50.0,122.0,155.0,-1
13.0,2.0,12.0,5.0,158.0,95.0,51.0,28.0,52.0,49.0,139.0,161.0,0
28.0,14.0,31.0,13.0,213.0,83.0,83.0,37.0,76.0,24.0,92.0,149.0,1
18.0,7.0,19.0,12.0,135.0,93.0,52.0,41.0,31.0,34.0,136.0,112.0,-1
18.0,10.0,19.0,13.0,152.0,121.0,46.0,51.0,51.0,37.0,142.0,119.0,0
19.0,20.0,10.0,14.0,116.0,97.0,38.0,42.0,49.0,37.0,126.0,178.0,0
16.0,8.0,15.0,8.0,141.0,79.0,45.0,29.0,35.0,32.0,138.0,129.0,-1
15.0,14.0,16.0,12.0,130.0,131.0,48.0,46.0,53.0,56.0,150.0,130.0,1
17.0,16.0,14.0,17.0,134.0,153.0,41.0,56.0,66.0,46.0,108.0,120.0,1
18.0,2.0,17.0,7.0,145.0,104.0,53.0,33.0,66.0,41.0,118.0,138.0,-1
16.0,9.0,16.0,14.0,128.0,137.0,52.0,47.0,40.0,58.0,157.0,169.0,1
8.0,7.0,10.0,10.0,141.0,125.0,51.0,45.0,49.0,34.0,147.0,144.0,1
