,CuotaLocal,CuotaVisitante,Resultado
1650,-1.4821950256564402,1.4586360199378992,0
1583,2.2980089208635306,-1.527400679109723,1
2573,-0.14425767379824833,-0.13240110918411535,0
885,-0.3300823060007748,0.12677913878020522,0
3035,1.6469699284162713,-1.2688068117969056,0
2702,2.126553427979417,-1.4283023490057183,0
2257,-0.9312796454795377,0.9043198826731669,1
2581,2.3429335572201855,-1.5547317382566062,1
940,-0.19381090905225548,-0.08666341836688217,1
2674,-1.996786314832668,2.8481717424055715,1
1060,-1.6733289330647536,2.20022112249477,0
146,1.4584797789485444,-1.114557838312067,1
1799,1.0326316634844206,-0.9617779026699411,1
3514,0.3065955322013244,-0.4304883227781838,0
2920,-1.1477106876918923,1.1036893041841833,0
1419,0.27761446417505514,-0.4779747731365428,0
1075,-0.48731853324906693,0.2917120238484094,0
3305,0.07873188484478376,-0.17559781717816864,0
372,-1.8835762312138977,2.4048371077297594,0
2120,0.42914404842669107,-0.5989255555198922,0
3711,2.2539319191551144,-1.4998003484441513,1
711,0.351274678741823,-0.5416330796540952,0
3307,0.07873188484478376,-0.2551707003251093,0
2308,0.018905417891775394,-0.17559781717816864,1
1170,0.5634337398592788,-0.7409112565786071,0
3208,0.07873188484478376,-0.23607320836984352,1
2680,1.7139886482270188,-1.32463024981999,0
919,0.07873188484478376,-0.3267862951573557,1
2557,-1.0114392907433727,0.9675345772986114,0
2898,-0.2412096558169576,-0.012779456277505676,1
1331,-1.7200505548756744,1.7792595732533574,0
3528,-0.7388964968463337,0.5803445727177664,1
2983,0.07873188484478376,-0.23607320836984352,0
3419,-0.03807216968251885,-0.17559781717816864,0
956,-0.19381090905225548,-0.17559781717816864,0
3274,0.1943128602670883,-0.3267862951573557,0
686,-0.7916467150199541,0.44694297450083686,1
2611,-1.2411809068459576,1.422680378601808,0
2753,0.1943128602670883,-0.3267862951573557,1
1750,-1.7200505548756744,1.9410408745304493,1
1618,0.896360266535901,-0.9617779026699411,0
3648,0.896360266535901,-0.9099418530770771,0
49,0.6919531711131218,-0.6507616051127565,0
6,-0.03807216968251885,-0.13240110918411535,1
2083,1.0326316634844206,-0.9617779026699411,0
1355,0.42914404842669107,-0.6507616051127565,0
339,0.750541192094173,-0.7409112565786071,1
1918,-0.19381090905225548,0.013387780295815058,0
466,-0.41184514416988655,0.12677913878020522,1
11,0.27761446417505514,-0.4304883227781838,1
3233,-0.03807216968251885,-0.13240110918411535,0
1407,-1.0659478495227805,1.0339100066553273,0
1316,-0.30420799012447397,-0.13240110918411535,0
3327,-0.6707607983720739,0.5803445727177664,1
