val_loss,val_accuracy,rps,epoch,step,train_loss_epoch,train_accuracy_epoch
0.6971458792686462,0.46875,0.5200999975204468,0,1,,
,,,0,1,0.9174301624298096,0.1875
0.6925133466720581,0.46875,0.45410001277923584,1,3,,
,,,1,3,0.8813616633415222,0.1875
0.6905568242073059,0.234375,0.4038500189781189,2,5,,
,,,2,5,0.851343035697937,0.234375
0.6907446980476379,0.234375,0.36465001106262207,3,7,,
,,,3,7,0.8263611197471619,0.46875
0.6924619674682617,0.234375,0.3342999815940857,4,9,,
,,,4,9,0.8058460354804993,0.46875
0.6954138278961182,0.234375,0.3120499849319458,5,11,,
,,,5,11,0.789156436920166,0.46875
0.6992964744567871,0.234375,0.2965500056743622,6,13,,
,,,6,13,0.7756196856498718,0.46875
0.703874945640564,0.234375,0.28610000014305115,7,15,,
,,,7,15,0.7646152973175049,0.46875
0.7083843946456909,0.234375,0.2778500020503998,8,17,,
,,,8,17,0.7557052373886108,0.46875
0.7130192518234253,0.234375,0.27184998989105225,9,19,,
,,,9,19,0.7492045164108276,0.46875
