date,home_team,away_team,game_id,url,stage,league,season
2002-04-28 14:00:00,Inter,Piacenza,33427,https://www.whoscored.com/Matches/33427/Live/Italy-Serie-A-2001-2002-Inter-Piacenza,,ITA-Serie A,0102
2002-04-28 14:00:00,Atalanta,Perugia,33428,https://www.whoscored.com/Matches/33428/Live/Italy-Serie-A-2001-2002-Atalanta-Perugia,,ITA-Serie A,0102
2002-04-28 14:00:00,Lecce,Udinese,33429,https://www.whoscored.com/Matches/33429/Live/Italy-Serie-A-2001-2002-Lecce-Udinese,,ITA-Serie A,0102
2002-04-28 14:00:00,Fiorentina,Parma Calcio 1913,33430,https://www.whoscored.com/Matches/33430/Live/Italy-Serie-A-2001-2002-Fiorentina-Parma-Calcio-1913,,ITA-Serie A,0102
2002-04-28 14:00:00,Bologna,Lazio,33431,https://www.whoscored.com/Matches/33431/Live/Italy-Serie-A-2001-2002-Bologna-Lazio,,ITA-Serie A,0102
2002-04-28 14:00:00,Juventus,Brescia,33432,https://www.whoscored.com/Matches/33432/Live/Italy-Serie-A-2001-2002-Juventus-Brescia,,ITA-Serie A,0102
2002-04-28 14:00:00,Roma,Chievo,33433,https://www.whoscored.com/Matches/33433/Live/Italy-Serie-A-2001-2002-Roma-Chievo,,ITA-Serie A,0102
2002-04-28 14:00:00,Venezia,Torino,33434,https://www.whoscored.com/Matches/33434/Live/Italy-Serie-A-2001-2002-Venezia-Torino,,ITA-Serie A,0102
2002-04-28 14:00:00,Verona,AC Milan,33435,https://www.whoscored.com/Matches/33435/Live/Italy-Serie-A-2001-2002-Verona-AC-Milan,,ITA-Serie A,0102
2002-03-03 14:00:00,Lazio,Venezia,29679,https://www.whoscored.com/Matches/29679/Live/Italy-Serie-A-2001-2002-Lazio-Venezia,,ITA-Serie A,0102
2002-03-03 14:00:00,Udinese,Atalanta,29680,https://www.whoscored.com/Matches/29680/Live/Italy-Serie-A-2001-2002-Udinese-Atalanta,,ITA-Serie A,0102
2002-03-03 14:00:00,Verona,Fiorentina,29681,https://www.whoscored.com/Matches/29681/Live/Italy-Serie-A-2001-2002-Verona-Fiorentina,,ITA-Serie A,0102
2002-03-03 14:00:00,Lecce,Roma,29682,https://www.whoscored.com/Matches/29682/Live/Italy-Serie-A-2001-2002-Lecce-Roma,,ITA-Serie A,0102
2002-03-03 14:00:00,Perugia,Torino,29683,https://www.whoscored.com/Matches/29683/Live/Italy-Serie-A-2001-2002-Perugia-Torino,,ITA-Serie A,0102
2002-03-03 14:00:00,Juventus,Bologna,29684,https://www.whoscored.com/Matches/29684/Live/Italy-Serie-A-2001-2002-Juventus-Bologna,,ITA-Serie A,0102
2002-03-03 14:00:00,Brescia,Piacenza,29685,https://www.whoscored.com/Matches/29685/Live/Italy-Serie-A-2001-2002-Brescia-Piacenza,,ITA-Serie A,0102
2002-03-03 19:30:00,AC Milan,Inter,29751,https://www.whoscored.com/Matches/29751/Live/Italy-Serie-A-2001-2002-AC-Milan-Inter,,ITA-Serie A,0102
2002-03-09 19:30:00,Inter,Juventus,30077,https://www.whoscored.com/Matches/30077/Live/Italy-Serie-A-2001-2002-Inter-Juventus,,ITA-Serie A,0102
2002-03-10 14:00:00,Venezia,Brescia,30114,https://www.whoscored.com/Matches/30114/Live/Italy-Serie-A-2001-2002-Venezia-Brescia,,ITA-Serie A,0102
2002-03-10 14:00:00,Verona,Parma Calcio 1913,30115,https://www.whoscored.com/Matches/30115/Live/Italy-Serie-A-2001-2002-Verona-Parma-Calcio-1913,,ITA-Serie A,0102
2002-03-10 14:00:00,Piacenza,Perugia,30116,https://www.whoscored.com/Matches/30116/Live/Italy-Serie-A-2001-2002-Piacenza-Perugia,,ITA-Serie A,0102
2002-03-10 14:00:00,Fiorentina,Udinese,30117,https://www.whoscored.com/Matches/30117/Live/Italy-Serie-A-2001-2002-Fiorentina-Udinese,,ITA-Serie A,0102
2002-03-10 14:00:00,Torino,Chievo,30118,https://www.whoscored.com/Matches/30118/Live/Italy-Serie-A-2001-2002-Torino-Chievo,,ITA-Serie A,0102
2002-03-10 14:00:00,Atalanta,Lecce,30119,https://www.whoscored.com/Matches/30119/Live/Italy-Serie-A-2001-2002-Atalanta-Lecce,,ITA-Serie A,0102
2002-03-10 14:15:00,Bologna,AC Milan,30169,https://www.whoscored.com/Matches/30169/Live/Italy-Serie-A-2001-2002-Bologna-AC-Milan,,ITA-Serie A,0102
2002-03-10 19:30:00,Lazio,Roma,30206,https://www.whoscored.com/Matches/30206/Live/Italy-Serie-A-2001-2002-Lazio-Roma,,ITA-Serie A,0102
2002-03-13 17:00:00,Parma Calcio 1913,Chievo,30274,https://www.whoscored.com/Matches/30274/Live/Italy-Serie-A-2001-2002-Parma-Calcio-1913-Chievo,,ITA-Serie A,0102
2002-03-16 19:30:00,Roma,Atalanta,30499,https://www.whoscored.com/Matches/30499/Live/Italy-Serie-A-2001-2002-Roma-Atalanta,,ITA-Serie A,0102
2002-03-17 14:00:00,Udinese,Piacenza,30545,https://www.whoscored.com/Matches/30545/Live/Italy-Serie-A-2001-2002-Udinese-Piacenza,,ITA-Serie A,0102
2002-03-17 14:00:00,Brescia,Lazio,30546,https://www.whoscored.com/Matches/30546/Live/Italy-Serie-A-2001-2002-Brescia-Lazio,,ITA-Serie A,0102
2002-03-17 14:00:00,Perugia,Parma Calcio 1913,30547,https://www.whoscored.com/Matches/30547/Live/Italy-Serie-A-2001-2002-Perugia-Parma-Calcio-1913,,ITA-Serie A,0102
2002-03-17 14:00:00,Chievo,Venezia,30548,https://www.whoscored.com/Matches/30548/Live/Italy-Serie-A-2001-2002-Chievo-Venezia,,ITA-Serie A,0102
2002-03-17 14:00:00,Fiorentina,Bologna,30549,https://www.whoscored.com/Matches/30549/Live/Italy-Serie-A-2001-2002-Fiorentina-Bologna,,ITA-Serie A,0102
2002-03-17 14:00:00,Juventus,Verona,30550,https://www.whoscored.com/Matches/30550/Live/Italy-Serie-A-2001-2002-Juventus-Verona,,ITA-Serie A,0102
2002-03-17 14:00:00,Lecce,Inter,30551,https://www.whoscored.com/Matches/30551/Live/Italy-Serie-A-2001-2002-Lecce-Inter,,ITA-Serie A,0102
2002-03-17 19:30:00,AC Milan,Torino,30638,https://www.whoscored.com/Matches/30638/Live/Italy-Serie-A-2001-2002-AC-Milan-Torino,,ITA-Serie A,0102
2002-03-23 19:30:00,Parma Calcio 1913,Juventus,30944,https://www.whoscored.com/Matches/30944/Live/Italy-Serie-A-2001-2002-Parma-Calcio-1913-Juventus,,ITA-Serie A,0102
