version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
26;2024-07-03 03:25:26.018690;543358,25;;relu;0,9409498733227928;0,1885656347591182;32;;0,8403317402817325;0,06515012331610298;0,2219639552983578;2195;17369;5099;batchnorm;;12;25,0;27,0;22,0;;;;4;adam;minmax
27;2024-07-03 03:28:57.897853;0,36628422141075134;;relu;;;256;;0,8768553775637314;0,07697244612376289;0,52452826947373;2195;17369;5099;batchnorm;0,0514886228778618;7;28,0;23,0;27,0;;;True;4;sgd;minmax
28;2024-07-03 03:31:03.832093;0,4839169383049011;;leaky_relu;;;16;;0,7243413128488151;0,09960592070149843;0,2918322284028645;2195;17369;5099;vanilla;0,15382454893012784;10;30,0;30,0;18,0;12,0;0,09307864106929105;True;5;sgd;maxabs
29;2024-07-03 03:34:33.216893;0,31146708130836487;;selu;0,7795976502062258;0,9972710026533433;64;;0,8934457225153034;0,0929443875382147;0,5504222747761746;2195;17369;5099;batchnorm;;5;22,0;13,0;;;;;3;adam;minmax
30;2024-07-03 03:38:57.892798;0,5770077109336853;;relu;;;128;;0,7769466464428306;0,08369984007468709;0,16463647671338075;2195;17369;5099;batchnorm;0,3640167730300812;18;28,0;10,0;14,0;30,0;;False;5;sgd;normalizer
31;2024-07-03 03:41:11.387721;0,3855615556240082;;relu;;;128;;0,9884175229612056;0,07235483212120905;0,9422280532439653;2195;17369;5099;batchnorm;0,20714968337554904;11;28,0;28,0;28,0;;;True;4;sgd;minmax
32;2024-07-03 03:43:19.923276;0,2717127799987793;;relu;;;128;;0,913004492138868;0,07998344308500399;0,9879964392982945;2195;17369;5099;batchnorm;0,24004324228147136;14;26,0;28,0;28,0;;;True;4;sgd;minmax
33;2024-07-03 03:45:52.617446;0,4328860938549042;;relu;;;64;;0,9957503225781057;0,06042822577648434;0,5770867295420531;2195;17369;5099;batchnorm;0,10274133496381552;10;29,0;24,0;30,0;;;True;4;sgd;minmax
34;2024-07-03 03:49:18.993734;0,35145124793052673;;relu;0,6678237361766466;0,3548049097351742;128;;0,8681672851327912;0,07106439540886679;0,6358580033774517;2195;17369;5099;batchnorm;;21;22,0;27,0;;;;;3;adam;normalizer
35;2024-07-03 03:51:31.046909;0,3495666980743408;;selu;;;128;0,6836487760696683;0,923703329088799;0,054105876794854124;0,6361235383142668;2195;17369;5099;dropout;0,19285413305944782;15;26,0;30,0;27,0;12,0;;True;5;sgd;minmax
36;2024-07-03 03:53:58.198290;0,31679999828338623;;relu;;;512;;0,9911381455923454;0,09328106235265643;0,3338581287544879;2195;17369;5099;batchnorm;0,3684642029298428;13;28,0;23,0;23,0;;;True;4;sgd;minmax
37;2024-07-03 03:55:39.672863;457,6089172363281;;relu;0,03001796511618976;0,5382539680572752;64;;0,7879192437987035;0,07584704758653442;0,6774154560169454;2195;17369;5099;batchnorm;;28;18,0;27,0;28,0;;;;4;adam;normalizer
38;2024-07-03 03:58:09.347252;0,36367177963256836;;selu;;;128;;0,8945728570780799;0,08748743216258237;0,23333077298915517;2195;17369;5099;batchnorm;0,11484424532694465;8;10,0;30,0;;;;True;3;sgd;minmax
