version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
24;2024-06-30 15:28:56.291524;0,2657249867916107;;selu;0,8709465638150276;0,5758848977080855;256;0,6776442404993949;0,2037078981758251;0,08064568000515612;0,003963142413659163;2255;17639;5161;dropout;;15;5,0;23,0;22,0;16,0;;;5;adam;normalizer
25;2024-06-30 15:30:53.022476;0,542467474937439;;leaky_relu;0,8865917267353699;0,9492702990007792;128;;0,19334213320905622;0,09295308774372912;0,0043771201870942;2255;17639;5161;vanilla;;15;5,0;24,0;14,0;;0,07679824735653973;;4;adam;normalizer
26;2024-06-30 15:33:03.968358;0,26745501160621643;;selu;;;256;0,691286707213523;0,11178102480057095;0,0808669199468323;0,0017795266845881614;2255;17639;5161;dropout;0,04183877472778586;9;20,0;30,0;;;;True;3;sgd;normalizer
27;2024-06-30 15:35:11.484313;0,6344417929649353;;leaky_relu;0,9863204753939878;0,660618815926441;32;;0,05306129356198244;0,09275341180039544;0,0035361535897014368;2255;17639;5161;vanilla;;13;3,0;22,0;24,0;14,0;0,05967319014024164;;5;adam;normalizer
28;2024-06-30 15:38:40.489233;0,3389299809932709;;leaky_relu;;;512;0,6953321336595075;0,21467835107265007;0,06772470904416028;0,0017605916870525506;2255;17639;5161;dropout;0,004343068273909276;17;6,0;28,0;;;0,08017509394783563;False;3;sgd;maxabs
29;2024-06-30 15:40:55.076137;0,46133628487586975;;selu;0,8505510666347162;0,3906013559210964;64;;0,6011438369634919;0,06096783045734023;0,006078890771689815;2255;17639;5161;vanilla;;17;12,0;27,0;30,0;;;;4;adam;minmax
30;2024-06-30 15:43:41.239674;0,2899724841117859;;selu;0,8791634228535824;0,8574567685388719;128;;0,1473640764333004;0,07724035873777699;0,0035006427004645444;2255;17639;5161;batchnorm;;24;9,0;10,0;19,0;;;;4;adam;maxabs
31;2024-06-30 15:45:49.141847;0,6358000040054321;;selu;;;256;0,6764490253768787;0,12556589082588604;0,0832787933348148;0,0015517857543012228;2255;17639;5161;dropout;0,04246683732581187;9;20,0;26,0;;;;True;3;sgd;normalizer
32;2024-06-30 15:47:51.584556;0,5066450238227844;;selu;;;256;0,5600264319079941;0,10021421233680734;0,08846207952109722;0,0024135246045278937;2255;17639;5161;dropout;0,022316731654248766;12;20,0;30,0;;;;True;3;sgd;normalizer
33;2024-06-30 15:49:38.617781;0,38175496459007263;;selu;;;256;0,5899248669168564;0,23242601616269612;0,07966766591441315;0,0016152276080507492;2255;17639;5161;dropout;0,104199306137677;7;24,0;;;;;True;2;sgd;normalizer
34;2024-06-30 15:51:55.033459;0,44711995124816895;;selu;;;256;0,6949334955848822;0,1121919109476191;0,09452118292550328;0,00136522784623131;2255;17639;5161;dropout;0,009991304849567208;8;21,0;15,0;;;;True;3;sgd;normalizer
