datetime;validation;test;batch_size;gamma_pi;gamma_scheduler;gamma_tabnet;lamda;lr;n_a;n_d;n_independent;n_shared;n_steps
2023-12-25 23:01:59.977459;0,5037298782881822;;8192;0,1225721382208232;0,9407231870477828;1,23559540445713;0,03137972168746607;0,028468850186344395;12;21;5;2;8
2023-12-25 23:18:32.428342;0,5007852375343541;;8192;0,29982738019357846;0,8985292797216934;1,1675102431715372;0,01722686497836458;0,004069311558681259;29;38;2;1;5
2023-12-25 23:24:27.706160;0,5031409501374166;;2048;0,10446325364430173;0,8201134999199371;1,3230202841508898;0,0526179190356827;0,00643187892293147;22;18;3;3;6
2023-12-25 23:30:40.258385;0,5028464860620337;;4096;0,17859028328967513;0,7489261325070927;1,2109576755398632;0,013632308359495054;0,01949003244037604;19;33;4;5;4
2023-12-25 23:44:06.547924;0,5039261876717707;;8192;0,19347732291780215;0,947788148354141;1,1439330290994454;0,0329565399394309;0,012870577517753654;15;28;2;5;3
2023-12-25 23:53:12.058156;0,4969572045543777;;8192;0,2644252728985452;0,9619608145324503;1,1134343150643682;0,027460730025464262;0,008895757003988885;13;24;2;5;3
2023-12-25 23:57:30.292899;0,5051040439733019;;8192;0,16243015779020292;0,8826016725010507;1,0272824103762574;0,04026537371168156;0,015371044694464929;11;44;2;4;3
2023-12-26 00:05:59.049806;0,5045151158225363;;512;0,09741467428282377;0,8925967175858003;1,0274208939281386;0,04826039364978137;0,041094777691933676;11;45;1;4;3
2023-12-26 00:12:20.697454;0,5020612485276796;;8192;0,13456316480627797;0,8519985761840667;1,0276241844646647;0,041893058181589594;0,0062723160478534035;9;51;3;4;4
2023-12-26 00:20:54.491925;0,5038280329799765;;8192;0,2667535973291023;0,8205310588855985;1,0784005832170493;0,05460975107801644;0,018359455385911456;8;42;2;4;3
2023-12-26 00:28:07.720476;0,5046132705143306;;1024;0,1585079681279695;0,6714002740044397;1,0010661414914483;0,045059482056461715;0,004960970052077673;12;59;2;4;4
