version;datetime;validation;test;activation;b1;b2;batch_size;dims;dropout;factor;factor_flag;factor_scaler;learning_rate;len_test;len_train;len_val;method;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
27;2024-01-13 18:25:13.896148;0,516907274723053;;selu;;;16;30,0;;;False;;0,12002689134023067;2631;17667;5269;anova;batchnorm;0,3937793933699538;9;25,0;25,0;;;;True;3;sgd;maxabs
28;2024-01-13 18:28:44.781961;0,5207698345184326;;selu;;;128;27,0;;;False;;0,2006131231621514;2631;17667;5269;pca;vanilla;0,21663860337482616;14;3,0;29,0;;;;False;3;sgd;normalizer
29;2024-01-13 18:29:15.636171;0,4815167784690857;;leaky_relu;;;64;24,0;;4,0;True;minmax;0,028254974547117603;2631;17667;5269;anova;batchnorm;0,7524972515004857;16;;;;;0,08683891644232189;False;1;sgd;maxabs
30;2024-01-13 18:34:28.977221;0,5292553305625916;;selu;;;16;;;;False;;0,07284514175914746;2631;17667;5269;;vanilla;0,08069666817939575;20;14,0;24,0;9,0;;;False;4;sgd;minmax
31;2024-01-13 18:38:05.416035;0,5241261124610901;;selu;;;16;17,0;;;False;;0,002647242486036415;2631;17667;5269;anova;vanilla;0,2070872937286926;17;26,0;20,0;17,0;;;False;4;sgd;maxabs
32;2024-01-13 18:41:53.909220;0,5224164128303528;;selu;;;16;14,0;;;False;;0,0469671270994905;2631;17667;5269;anova;vanilla;0,4179855756666202;26;23,0;19,0;;;;False;3;sgd;maxabs
33;2024-01-13 18:45:24.644437;0,5240091681480408;;selu;;;128;19,0;;;False;;0,08114850496749482;2631;17667;5269;anova;vanilla;0,5398162839195676;20;29,0;28,0;25,0;23,0;;False;5;sgd;maxabs
34;2024-01-13 18:45:59.912240;0,531154990196228;;selu;;;16;28,0;;46,0;True;normalizer;0,03154984913771846;2631;17667;5269;anova;vanilla;0,2694687867319493;12;19,0;23,0;12,0;;;False;4;sgd;minmax
35;2024-01-13 18:49:34.756613;0,5309650301933289;;relu;;;16;28,0;;45,0;True;normalizer;0,02981095874757142;2631;17667;5269;anova;vanilla;0,5938517640578538;12;9,0;23,0;;;;False;3;sgd;minmax
36;2024-01-13 18:53:06.064311;0,5280106663703918;;relu;;;32;25,0;;46,0;True;normalizer;0,06109248635355189;2631;17667;5269;anova;vanilla;0,2869057850688283;12;9,0;23,0;;;;True;3;sgd;minmax
37;2024-01-13 18:54:59.758741;0,5269531011581421;;relu;;;256;;;47,0;True;normalizer;0,037109503233524736;2631;17667;5269;;vanilla;0,11621759480096969;8;15,0;21,0;;;;False;3;sgd;minmax
38;2024-01-13 18:55:44.359891;0,5277355909347534;;relu;;;16;28,0;;32,0;True;normalizer;0,09775432738957766;2631;17667;5269;anova;batchnorm;0,5700612765134402;15;7,0;;;;;False;2;sgd;minmax
39;2024-01-13 18:59:01.950557;0,53125;;relu;;;32;24,0;;70,0;True;normalizer;0,052240856478424816;2631;17667;5269;anova;vanilla;0,0643807187906254;12;18,0;24,0;;;;True;3;sgd;minmax
40;2024-01-13 19:00:50.127379;0,4594131112098694;;relu;0,28828951522779805;0,07757617271979073;32;25,0;;71,0;True;normalizer;0,05531507152350611;2631;17667;5269;anova;vanilla;;7;17,0;;;;;;2;adam;minmax
41;2024-01-13 19:02:39.004309;0,5316311120986938;;relu;;;32;29,0;;66,0;True;normalizer;0,043503690634494496;2631;17667;5269;anova;vanilla;0,08810153035520368;12;19,0;6,0;;;;True;3;sgd;minmax
42;2024-01-13 19:04:33.580766;0,5306783318519592;;relu;;;32;28,0;;68,0;True;normalizer;0,08205501075464879;2631;17667;5269;anova;vanilla;0,0698918734852675;13;18,0;5,0;;;;True;3;sgd;minmax
43;2024-01-13 19:06:28.684742;0,5302972793579102;;relu;;;32;23,0;;67,0;True;normalizer;0,04603283507575066;2631;17667;5269;anova;vanilla;0,0859028543668922;16;16,0;5,0;;;;True;3;sgd;minmax
44;2024-01-13 19:08:29.933220;0,5301067233085632;;relu;;;32;;;79,0;True;normalizer;0,21256450519908632;2631;17667;5269;;vanilla;0,05252240030969533;11;19,0;;;;;True;2;sgd;minmax
