version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
26;2024-01-25 22:52:08.040934;0,6157407164573669;;selu;;;32;;0,9997230232724302;0,05077837715623244;0,10734522274266062;2607;17222;5194;batchnorm;0,027982579475614052;7;26,0;;;;;True;2;sgd;minmax
27;2024-01-25 22:56:00.307436;0,6149691343307495;;selu;;;32;;0,9034749320367901;0,05336734854938247;0,1016645425067788;2607;17222;5194;batchnorm;0,025546176457968882;6;26,0;;;;;True;2;sgd;minmax
28;2024-01-25 23:00:18.385148;0,6130401492118835;;selu;;;32;;0,8425823526041047;0,049145495288382725;0,07526674092179378;2607;17222;5194;batchnorm;0,07220127862042493;6;25,0;;;;;True;2;sgd;maxabs
29;2024-01-25 23:05:13.158723;0,6145833134651184;;leaky_relu;;;32;;0,8791601972761709;0,03585377163875096;0,15543875383327035;2607;17222;5194;vanilla;0,0491365904111562;10;27,0;;;;0,05226800087373826;True;2;sgd;minmax
30;2024-01-25 23:09:24.543089;0,5896990895271301;;selu;;;32;;0,9824468724852895;0,05529710012347569;0,11124818612094275;2607;17222;5194;batchnorm;0,02068990408991708;3;23,0;;;;;False;2;sgd;normalizer
31;2024-01-25 23:13:26.472574;0,6089891791343689;;selu;;;32;;0,9941008806529593;0,06532518038607946;0,20903553026895796;2607;17222;5194;batchnorm;0,018488090237640625;15;;;;;;True;1;sgd;minmax
32;2024-01-25 23:17:11.092514;0,6186342835426331;;selu;;;32;;0,9139034581628466;0,06686825072212317;0,4789461923205523;2607;17222;5194;batchnorm;0,05423401435559028;12;;;;;;True;1;sgd;minmax
33;2024-01-25 23:21:17.664543;0,6168981194496155;;selu;;;32;;0,8949552180995954;0,06515868131093645;0,9626559661705433;2607;17222;5194;batchnorm;0,05719184058082357;12;;;;;;True;1;sgd;minmax
34;2024-01-25 23:25:04.134612;0,6029297113418579;;selu;;;512;;0,887487098667063;0,06485508754495341;0,8665845728650251;2607;17222;5194;batchnorm;0,05917553827375379;12;;;;;;True;1;sgd;minmax
35;2024-01-25 23:26:46.275386;0,5916280746459961;;leaky_relu;;;32;;0,8211659530251286;0,07534490092429988;0,7041616730988172;2607;17222;5194;batchnorm;0,07777584719454238;10;;;;;0,056986706576149224;True;1;sgd;minmax
36;2024-01-25 23:30:37.739215;0,4593749940395355;;selu;0,3850155418923088;0,9885999741498475;256;0,11840669694601591;0,9197676434834368;0,05656240536386171;0,5387633065312624;2607;17222;5194;dropout;;13;;;;;;;1;adam;maxabs
37;2024-01-25 23:32:34.195319;0,600390613079071;;selu;;;128;;0,7390573603187847;0,06553402808551415;0,9572662014279554;2607;17222;5194;batchnorm;0,04612809442443092;16;;;;;;True;1;sgd;minmax
38;2024-01-25 23:34:35.448679;0,45949074625968933;;relu;;;32;0,695013413714769;0,8387031741657112;0,057249065192425126;0,5764289211270759;2607;17222;5194;dropout;0,1084175248883508;12;30,0;30,0;;;;False;3;sgd;normalizer
39;2024-01-25 23:38:17.016955;0,4600694477558136;;selu;0,6076422922490256;0,5941902770433505;64;;0,9345226693957063;0,04513099930967243;0,39239275378486854;2607;17222;5194;batchnorm;;17;;;;;;;1;adam;maxabs
40;2024-01-25 23:41:02.610963;0,6153549551963806;;leaky_relu;;;32;;0,8670338456397008;0,06320100067239875;0,25079184404663946;2607;17222;5194;vanilla;0,1227424357188635;15;22,0;;;;0,027486339452046482;True;2;sgd;minmax
41;2024-01-25 23:46:19.398693;0,6051311492919922;;selu;;;32;;0,9426729311955326;0,05044679110263643;0,14938346901559293;2607;17222;5194;batchnorm;0,0364872910711935;8;19,0;24,0;;;;True;3;sgd;minmax
42;2024-01-25 23:50:25.178605;0,6045524477958679;;selu;;;32;;0,8919941047421873;0,048072363952344765;0,6273795109876352;2607;17222;5194;batchnorm;0,018474409091186045;8;27,0;;;;;True;2;sgd;minmax
43;2024-01-25 23:54:34.447884;0,6153549551963806;;selu;;;32;;0,9598799295703896;0,053919953511698995;0,20367977488495254;2607;17222;5194;batchnorm;0,04227725777812546;5;;;;;;True;1;sgd;minmax
44;2024-01-25 23:58:52.046218;0,55859375;;relu;;;128;;0,8103598107370262;0,061488175807227666;0,9117940869109613;2607;17222;5194;batchnorm;0,1779613101896496;14;25,0;;;;;True;2;sgd;normalizer
45;2024-01-26 00:00:59.356720;0,4593749940395355;;selu;0,33140288022699066;0,03525278791978653;512;;0,9145355108497695;0,04205312292127875;0,35589784228618193;2607;17222;5194;batchnorm;;11;20,0;10,0;;;;;3;adam;minmax
46;2024-01-26 00:02:44.108687;0,5609567761421204;;selu;;;32;0,5230804807350042;0,857660484303948;0,06741019820548527;0,13220160551358265;2607;17222;5194;dropout;0,026872544575782753;7;;;;;;True;1;sgd;minmax
47;2024-01-26 00:06:09.005706;0,5921875238418579;;relu;;;256;;0,9595099494710945;0,058158987414774814;0,5535975252756337;2607;17222;5194;batchnorm;0,015042268655984053;9;24,0;;;;;True;2;sgd;minmax
48;2024-01-26 00:08:06.457797;0,5989583134651184;;selu;;;64;;0,7660956146245328;0,07317639582744881;0,21591403783586433;2607;17222;5194;batchnorm;0,04050401785791302;13;;;;;;True;1;sgd;maxabs
49;2024-01-26 00:10:45.173729;0,2889660596847534;;selu;0,25968437376185305;0,973489069482348;32;;0,9998287368759039;0,06690283784606675;0,07679024491497279;2607;17222;5194;batchnorm;;4;21,0;22,0;;;;;3;adam;minmax
50;2024-01-26 00:14:48.834029;0,578125;;selu;;;32;0,12547599546671573;0,8124621844036134;0,06234025645567209;0,7262814169739729;2607;17222;5194;dropout;0,024250085964937492;14;14,0;;;;;False;2;sgd;normalizer
51;2024-01-26 00:20:24.110879;0,6238425970077515;;leaky_relu;;;32;;0,8673399901422134;0,06312159715582358;0,2523534705779319;2607;17222;5194;vanilla;0,11920300198660354;15;27,0;;;;0,0308565518098651;True;2;sgd;minmax
52;2024-01-26 00:27:03.049466;0,616126537322998;;leaky_relu;;;32;;0,9052929474016618;0,050933388282622095;0,4199296713210203;2607;17222;5194;vanilla;0,06557882933080929;17;27,0;28,0;;;0,032135741449189584;True;3;sgd;minmax
53;2024-01-26 00:33:05.792687;0,6126543283462524;;leaky_relu;;;32;;0,8910613076634771;0,058713001630654904;0,45319960148475374;2607;17222;5194;vanilla;0,06555392465958239;17;28,0;28,0;22,0;;0,03745029578728959;True;4;sgd;minmax
54;2024-01-26 00:39:13.721216;0,6111111044883728;;leaky_relu;;;32;;0,7119516395592358;0,07067133386792218;0,30428743703286687;2607;17222;5194;vanilla;0,19232959033686334;16;28,0;18,0;;;0,012593649840728305;True;3;sgd;minmax
55;2024-01-26 00:43:58.753659;0,578320324420929;;leaky_relu;;;128;;0,7927287021093798;0,07735603035063812;0,7280988352196403;2607;17222;5194;vanilla;0,08770287037640463;20;24,0;30,0;;;0,039077807365456615;True;3;sgd;minmax
56;2024-01-26 00:46:05.199901;0,6224923133850098;;leaky_relu;;;32;;0,8259239784547798;0,06273455004119273;0,2954844033473624;2607;17222;5194;vanilla;0,05057714008743364;15;;;;;0,01869963998867733;True;1;sgd;minmax
57;2024-01-26 00:52:43.581698;0,6151620149612427;;leaky_relu;;;32;;0,8470124597973687;0,06345139490363563;0,2789773381178751;2607;17222;5194;vanilla;0,05008609530404427;11;;;;;0,013350704030826211;True;1;sgd;minmax
58;2024-01-26 00:56:37.548133;0,5810546875;;leaky_relu;;;512;;0,7594924769777384;0,07181665688656858;0,18231542258513608;2607;17222;5194;vanilla;0,1018754808912906;14;;;;;0,0024680178085890007;True;1;sgd;minmax
59;2024-01-26 00:58:33.695613;0,5912109613418579;;leaky_relu;0,6248191952210969;0,48890080250616763;256;;0,7968013891165501;0,06765640922859067;0,355173679183855;2607;17222;5194;vanilla;;15;;;;;0,04381275039300786;;1;adam;minmax
60;2024-01-26 01:01:01.232972;0,5798611044883728;;leaky_relu;;;64;;0,9622814289532691;0,059341220190987684;0,5362726564205865;2607;17222;5194;vanilla;0,1368446121982024;11;;;;;0,019409518094396644;True;1;sgd;minmax
61;2024-01-26 01:03:31.286786;0,6109182238578796;;leaky_relu;;;32;;0,9157757362861919;0,056398627880050976;0,4098789497518324;2607;17222;5194;vanilla;0,0547016093904828;18;;;;;0,03185002443789087;True;1;sgd;minmax
62;2024-01-26 01:08:20.584459;0,6116898059844971;;leaky_relu;;;32;;0,8594337316766261;0,0624463784725851;0,9792735392792349;2607;17222;5194;vanilla;0,07119604420500773;13;30,0;24,0;22,0;29,0;0,029764903546327617;True;5;sgd;minmax
63;2024-01-26 01:16:18.302959;0,6188271641731262;;leaky_relu;;;32;;0,8975337556275486;0,052124585097313485;0,4310626052446658;2607;17222;5194;vanilla;0,03595785900056348;23;16,0;;;;0,01889362625788856;True;2;sgd;minmax
64;2024-01-26 01:22:26.715411;0,6176697611808777;;leaky_relu;;;32;;0,8288604181174598;0,054261268355376244;0,26721909074969447;2607;17222;5194;vanilla;0,03313487249128504;12;16,0;;;;0,017388299131255107;True;2;sgd;minmax
65;2024-01-26 01:27:06.798726;0,6159336566925049;;leaky_relu;;;32;;0,7232776433578526;0,05323642748647922;0,24704685518100747;2607;17222;5194;vanilla;0,028880278348469405;27;12,0;;;;0,016533461821546927;True;2;sgd;minmax
66;2024-01-26 01:33:07.228442;0,6159336566925049;;leaky_relu;;;16;;0,825793524647562;0,0458978778699501;0,16853491457478847;2607;17222;5194;vanilla;0,013888200071564155;21;16,0;;;;0,020755952950111956;True;2;sgd;minmax
67;2024-01-26 01:39:34.441142;0,6141975522041321;;leaky_relu;;;32;;0,7809792923574778;0,054957307578607596;0,30380229325750646;2607;17222;5194;vanilla;0,033484880279252505;23;18,0;;;;0,009049644225959701;False;2;sgd;maxabs
68;2024-01-26 01:45:05.693051;0,6109182238578796;;leaky_relu;;;32;;0,6799329884515738;0,060282066020941036;0,2403716782215892;2607;17222;5194;vanilla;0,03953651485747208;23;9,0;;;;0,022283969281210365;True;2;sgd;minmax
69;2024-01-26 01:49:22.149228;0,5796682238578796;;leaky_relu;;;32;;0,9360865962821161;0,04911643820464531;0,44558899091061954;2607;17222;5194;vanilla;0,011524605539610348;18;12,0;;;;0,009634523387279374;True;2;sgd;normalizer
70;2024-01-26 01:56:29.943567;0,6141975522041321;;relu;;;32;;0,8339904602483023;0,06856409435595974;0,20035202082971793;2607;17222;5194;vanilla;0,021066757247385937;13;16,0;;;;;True;2;sgd;minmax
71;2024-01-26 02:01:11.880967;0,6111111044883728;;leaky_relu;;;32;;0,8797325424691524;0,06518428662163231;0,7335488134078846;2607;17222;5194;vanilla;0,03413560168272333;12;;;;;0,021481693844849277;True;1;sgd;minmax
72;2024-01-26 02:06:51.601127;0,571373462677002;;leaky_relu;;;32;;0,9114397618577188;0,06024336780339442;0,6198135606493287;2607;17222;5194;batchnorm;0,04819752173710269;9;;;;;0,013990644954341921;True;1;sgd;minmax
73;2024-01-26 02:10:29.976880;0,6122685074806213;;selu;;;32;;0,877213257051539;0,054772715395285346;0,33268303606455657;2607;17222;5194;vanilla;0,05684305293466646;15;;;;;;True;1;sgd;minmax
