datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;lr;n_a;n_d;n_independent;n_shared;n_steps
2023-12-22 19:23:24.111605;0,5165052816901409;;512;0,4603705088844635;1,2107888224376318;0,23279615043448948;57;33;3;3;4
2023-12-22 19:26:52.600319;0,5039612676056338;;2048;0,569918557313267;1,0330854543132875;0,09751497395968359;28;30;4;2;7
2023-12-22 19:29:29.930429;0,46192781690140844;;1024;0,5034840945684965;1,1054926026563754;0,5868156988777784;41;27;2;4;5
2023-12-22 19:31:59.224532;0,5202464788732394;;512;0,6286742177684308;1,1354949343128768;0,18351473492015025;34;21;2;1;3
2023-12-22 19:33:43.923921;0,5191461267605634;;512;0,6235195006576739;1,14596186055329;0,1604118821024954;31;23;2;1;3
2023-12-22 19:35:45.026003;0,5162852112676056;;512;0,7356002180761739;1,0776902910309536;0,26126482320786143;38;19;2;1;3
2023-12-22 19:37:55.140920;0,5118838028169014;;512;0,5867003386801006;1,035718675716501;0,12393918377031682;24;25;1;1;4
2023-12-22 19:41:09.430766;0,461487676056338;;8192;0,6802931166231446;1,1889499116009536;0,44054040903884534;32;22;3;2;4
2023-12-22 19:42:22.398978;0,5176056338028169;;512;0,5443894761610796;1,0179728454716224;0,20540704561783485;36;31;1;1;5
2023-12-22 19:45:03.806458;0,5189260563380281;;512;0,6482359667781497;1,1184301397410457;0,05768171532460031;28;28;2;1;3
2023-12-22 19:46:40.542401;0,5118838028169014;;512;0,7751234154502489;1,0684912885578095;0,08162521913607138;49;56;3;2;8
2023-12-22 19:52:36.420749;0,417693661971831;;512;0,716425889293358;1,0140156926046333;0,8441951036650398;43;40;4;1;4
2023-12-22 19:54:35.775863;0,5200264084507042;;512;0,42577465191913866;1,2372359744798;0,13745283422186036;30;25;2;2;3
2023-12-22 19:58:17.815871;0,5191461267605634;;512;0,40898689976266944;1,2193241566450228;0,14772803550536148;30;25;2;2;3
2023-12-22 20:02:44.051331;0,5162852112676056;;512;0,48661623089063544;1,1578085870625985;0,10611589156806636;33;23;2;2;3
2023-12-22 20:04:45.243046;0,5147447183098591;;512;0,5200570852343762;1,092265214774;0,1648913301624061;27;19;2;2;10
2023-12-22 20:25:40.426184;0,5200264084507042;;512;0,47672929366243044;1,1270442372503144;0,04497717966776109;36;20;4;3;3
2023-12-22 20:28:22.610174;0,5176056338028169;;1024;0,42747631408997755;1,1250520443539926;0,04673609270664525;41;17;4;3;4
2023-12-22 20:32:11.927553;0,5184859154929577;;512;0,48571533073885265;1,1631805575951273;0,06397177484583937;39;21;4;3;3
2023-12-22 20:35:57.093831;0,5160651408450704;;512;0,4408659564398998;1,0472575679550469;0,08334751151968704;36;20;4;4;4
2023-12-22 20:39:35.263785;0,5136443661971831;;2048;0,3486991479393948;1,1160117726827066;0,042745616486559175;30;15;5;3;7
2023-12-22 20:48:14.302018;0,44608274647887325;;8192;0,5482312576822754;1,2521860324871967;0,05666854225262282;25;17;4;2;5
2023-12-22 20:50:03.037402;0,512544014084507;;4096;0,46750595883044577;1,1904602146364203;0,034360759400537046;37;42;3;2;3
2023-12-22 20:54:41.050743;0,5178257042253521;;512;0,5792246453891673;1,0617450765989396;0,2085208753658934;33;22;2;1;3
2023-12-22 20:56:56.424361;0,5169454225352113;;512;0,510600302416169;1,0817360707947006;0,11572920646510197;34;26;3;1;3
2023-12-22 20:59:46.226588;0,5149647887323944;;512;0,6869435195140532;1,0217923306002787;0,0249749305163498;35;20;2;1;3
2023-12-22 21:01:30.435772;0,5160651408450704;;512;0,6240498911894861;1,1426116627890748;0,29085089538360315;31;29;4;1;4
2023-12-22 21:05:16.901909;0,5182658450704225;;512;0,5311508612010556;1,0507116803066308;0,08957647240077396;42;23;4;2;3
2023-12-22 21:08:19.463847;0,5176056338028169;;512;0,5649777926793689;1,09788966344295;0,1453351408755245;39;24;3;1;4
2023-12-22 21:14:30.871318;0,5193661971830986;;512;0,424853777234365;1,1183677253952642;0,06809471162163559;34;21;2;2;3
2023-12-22 21:17:00.307772;0,5182658450704225;;512;0,607066858643457;1,1736524056141628;0,10247568373423299;37;25;3;3;5
2023-12-22 21:27:45.663532;0,5215669014084507;;512;0,4691533347287953;1,0032385034813955;0,2555596942674657;29;19;5;4;6
2023-12-22 21:37:08.269077;0,5017605633802817;;512;0,4739234128433495;1,03633175026408;0,3493528123952224;28;19;5;5;6
2023-12-22 21:42:43.471769;0,5101232394366197;;512;0,43845466082813855;1,0041123379803079;0,1847494884649807;32;22;5;4;6
2023-12-22 21:52:08.070429;0,5068221830985915;;512;0,516978728998312;1,0801108913383837;0,23657168742262574;30;20;5;4;6
2023-12-22 21:57:31.283873;0,5165052816901409;;512;0,4820794873640702;1,0222814266973919;0,13805789802298057;44;18;5;5;5
2023-12-22 22:02:25.192358;0,5158450704225352;;512;0,38528412251192656;1,0598329410497638;0,18393556487008342;35;23;2;4;3
2023-12-22 22:05:17.376676;0,511443661971831;;512;0,45200695428051363;1,138448727740156;0,2587417216767045;29;27;1;3;4
2023-12-22 22:07:56.485849;0,5184859154929577;;2048;0,6421913630567678;1,0486444843412195;0,07786347812114564;39;17;4;1;3
2023-12-22 22:10:35.202008;0,5143045774647887;;1024;0,5005765331426446;1,1039489642580789;0,11417769636346088;26;33;3;1;6
2023-12-22 22:14:29.286664;0,5107834507042254;;4096;0,5492543912365865;1,0144889234200514;0,3111057117649553;37;21;3;2;4
2023-12-22 22:18:31.531788;0,5127640845070423;;8192;0,6029283132482628;1,0750859260368872;0,15714818519684584;33;16;2;1;5
2023-12-22 22:22:11.096772;0,5110035211267606;;512;0,6608634577642305;1,0322447458824884;0,2202118427359387;41;52;4;2;4
2023-12-22 22:27:04.481173;0,5220070422535211;0,492208285822881;512;0,42503765794638315;1,1183552098488228;0,06738346252355742;35;21;2;2;3
2023-12-22 22:29:39.773706;0,5151848591549296;;512;0,4727380266342498;1,0023356634273732;0,08285305080310057;31;20;2;2;3
2023-12-22 22:33:01.603953;0,515625;;512;0,4482306993511131;1,1548945938721529;0,051356436229300514;34;22;2;2;3
2023-12-22 22:36:03.085394;0,5129841549295775;;512;0,5273089459317016;1,0902926738412948;0,12606431239093635;40;24;2;2;3
2023-12-22 22:38:56.238024;0,5211267605633803;;512;0,417753420495595;1,1261567066344143;0,0723318182228697;36;19;2;1;3
2023-12-22 22:42:55.538713;0,5176056338028169;;512;0,41107728453500353;1,1327299939680988;0,061117721717175076;37;19;1;1;3
2023-12-22 22:44:25.642859;0,5180457746478874;;512;0,5015304232712098;1,2004175114726;0,06985442119049053;32;18;3;3;9
2023-12-22 22:59:29.913506;0,5149647887323944;;512;0,3843604013484595;1,173758765313391;0,09459486208852627;47;21;2;2;4
2023-12-22 23:02:23.967802;0,5195862676056338;;512;0,4575948599307585;1,1123965964287248;0,051070180983518995;44;19;4;1;3
2023-12-22 23:06:03.875830;0,514524647887324;;512;0,4084835096572366;1,0666750623196488;0,04413596996551676;29;15;5;2;7
2023-12-22 23:18:04.142486;0,5149647887323944;;512;0,4566548577774976;1,1106720336382125;0,05108805748021269;42;19;4;1;3
2023-12-22 23:24:22.984718;0,519806338028169;;512;0,42986781083397696;1,1314055091744173;0,05685712882111847;45;20;4;1;3
2023-12-22 23:28:31.784885;0,516725352112676;;512;0,48556637160455474;1,1337904465512585;0,036880485838187586;53;20;4;1;3
