datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
2023-12-20 20:25:21.449752;0,5262858227367622;;1024;0,673827240439034;1,1583253236164797;0,01162989419534349;entmax;23;17;3;1;6;0,2470481173308022
2023-12-20 20:35:33.467731;0,5226798253938129;;4096;0,5568355919044445;1,3208105816399844;0,030133331338921814;entmax;12;14;4;5;4;0,21257763982483563
2023-12-20 20:43:51.158259;0,5321692920857848;;512;0,9494128185261089;1,0187718941624264;0,07062128697478887;entmax;8;21;1;2;7;0,20223836421722144
2023-12-20 20:58:15.542290;0,5297020307458721;;512;0,9368337700538326;1,094984788119195;0,10462719012585768;entmax;10;21;1;2;7;0,20044580965090225
2023-12-20 21:05:12.511074;0,5247675080660467;;512;0,9935732782860623;1,030635272575752;0,05090130422449817;entmax;8;23;1;2;8;0,22859378582494946
2023-12-20 21:18:44.501647;0,5279939267413172;;512;0,8710830123435183;1,0321970475075417;0,08679090888128141;entmax;9;18;1;2;6;0,2121963520802162
2023-12-20 21:25:46.660163;0,5308407667489087;;512;0,8312559012175178;1,0250967511449511;0,036315388150781135;entmax;8;29;2;1;7;0,23515018650104058
2023-12-20 21:36:36.268904;0,5308407667489087;;1024;0,8233335015847948;1,0207116314824254;0,02394112921216928;entmax;8;28;2;1;7;0,23418068409949
2023-12-20 21:45:47.463003;0,5245777187322073;;1024;0,8407783937102417;1,0001831339593352;0,02811458740786981;sparsemax;8;29;2;1;7;0,2109394953732057
2023-12-20 21:54:56.425261;0,525336876067565;;1024;0,9509995762506832;1,0265460613860844;0,02135252137056242;entmax;8;28;2;1;9;0,26668019552007516
2023-12-20 22:07:31.029318;0,524008350730689;;1024;0,8142626183224221;1,0773027216546915;0,012525278425844603;entmax;9;33;3;1;8;0,24145809540512797
2023-12-20 22:21:22.913776;0,528373505408996;;1024;0,7269418806483144;1,0292488972665317;0,03172828530658625;entmax;8;37;2;1;7;0,20194282690923443
2023-12-20 22:29:45.581161;0,5285632947428355;;512;0,856933512565257;1,0550607062071817;0,06381792119202705;entmax;10;28;1;1;7;0,22718478330107295
2023-12-20 22:41:03.377227;0,5308407667489087;;2048;0,7992824606560653;1,1337263976057885;0,056884331917637455;entmax;9;25;4;1;8;0,2208616393185425
2023-12-20 22:54:31.152864;0,5185044600493453;;2048;0,7414498488378118;1,1325457291142198;0,11903509727261052;entmax;9;32;4;1;8;0,21974914434148554
2023-12-20 23:03:17.657538;0,5257164547352439;;2048;0,9234354212899742;1,0183638292097468;0,022494719226509793;entmax;8;25;4;1;8;0,2508768489051935
2023-12-20 23:12:00.424519;0,5293224520781932;;2048;0,9717258619752982;1,098787113335994;0,08761029318510151;entmax;11;27;5;1;9;0,20495250054416467
2023-12-20 23:27:52.177468;0,5259062440690834;;8192;0,8815862909268225;1,0653327846227891;0,034486429307732415;entmax;9;24;3;1;7;0,23812047859439953
2023-12-20 23:38:47.089106;0,5268551907382805;;2048;0,8180855317480076;1,0127687372858298;0,06467458846739205;entmax;8;26;2;1;10;0,2844837770476786
2023-12-20 23:52:07.283372;0,5226798253938129;;1024;0,8442398790526339;1,1253646258224987;0,04090366965338983;sparsemax;10;21;4;3;8;0,2206663557989864
2023-12-21 00:05:04.457242;0,5167963560447902;;4096;0,6848878147167674;1,0506344877433842;0,17966109362544616;entmax;11;29;3;1;9;0,20106426798188237
2023-12-21 00:18:18.892051;0,5293224520781932;;2048;0,7514027702330626;1,0906106407658267;0,1323646305473327;entmax;32;31;5;4;7;0,26163539372550165
2023-12-21 00:32:51.442246;0,5278041374074777;;512;0,7784657068396039;1,067154926015388;0,056458405596695634;entmax;10;23;1;2;7;0,23278791986712402
