datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;lr;n_a;n_d;n_independent;n_shared;n_steps
2023-12-25 05:32:45.295744;0,5056119722073757;;8192;0,7496916461323148;1,1008710206292416;0,043559299332797126;11;28;1;3;5
2023-12-25 05:35:20.715926;0,5164796009264208;;512;0,805740849509452;1,0343059058369806;0,21596938556340578;14;23;4;2;9
2023-12-25 05:41:49.481036;0,5218243363620167;;512;0,7015617868244168;1,1069136699979367;0,009996833384300996;23;33;3;3;10
2023-12-25 06:01:04.309948;0,5152324959914484;;4096;0,9276923095303234;1,1409737998055332;0,028419081049491934;20;18;5;1;9
2023-12-25 06:07:52.442503;0,5227151256012827;;512;0,8176958705963554;1,003757570711533;0,056139453550669294;17;21;2;2;10
2023-12-25 06:17:54.370463;0,5262782825583467;;512;0,8583134378969761;1,0033087773785014;0,01576102178538412;16;15;2;2;10
2023-12-25 06:27:18.605167;0,5221806520577231;;512;0,8491943865946332;1,074995607114425;0,008299316780019095;15;15;2;2;10
2023-12-25 06:39:52.212116;0,5261001247104935;;2048;0,7639590287599944;1,0369488561964646;0,016394352843142203;17;15;1;2;9
2023-12-25 06:47:23.206944;0,5200427578834848;;2048;0,6713341922414215;1,0828917972824432;0,014495645136689777;19;13;1;3;9
2023-12-25 06:54:15.779040;0,5209335471227508;;2048;0,7383228007752978;1,031110686813002;0,0051773453116240025;22;11;4;1;8
2023-12-25 07:01:15.097216;0,5227151256012827;;2048;0,8701172763299414;1,2051871770712572;0,01699280786706939;17;15;4;3;9
2023-12-25 07:10:23.511863;0,518439337252806;;2048;0,7003258356697732;1,1141650296580028;0,009056727025176176;21;27;1;5;4
2023-12-25 07:13:15.395034;0,5221806520577231;;2048;0,8382673412171928;1,063984623212523;0,012502963184538956;25;24;1;2;9
2023-12-25 07:19:04.629432;0,5223588099055764;;8192;0,7584064801867854;1,1527523098834977;0,02324005752399682;14;16;4;5;8
2023-12-25 07:29:07.099063;0,5266345982540531;0,49638920562523753;512;0,7811265180864292;1,0215935056053134;0,01682003859316405;17;20;2;2;10
2023-12-25 07:43:16.804168;0,5237840726884019;;512;0,80242207451706;1,0299667818339144;0,017411017725013075;18;18;2;2;10
2023-12-25 07:49:35.475538;0,5228932834491359;;1024;0,7020707306631139;1,0134443809450993;0,011971202263825944;17;20;1;2;10
2023-12-25 07:57:38.835369;0,5237840726884019;;1024;0,7587501999580635;1,0927486807299907;0,020189786562872052;20;25;3;1;9
2023-12-25 08:07:47.358361;0,5236059148405487;;512;0,6785801204384678;1,1146378674588973;0,013959583397819832;15;27;4;3;10
