val_loss,val_accuracy,rps,epoch,step,train_loss_epoch,train_accuracy_epoch,train_loss_step,train_accuracy_step
1.1274904012680054,0.296875,0.24175000190734863,0,7,,,,
,,,0,7,1.2204737663269043,0.21875,,
1.1354451179504395,0.265625,0.25958749651908875,1,15,,,,
,,,1,15,1.1905114650726318,0.234375,,
1.1367100477218628,0.265625,0.27537500858306885,2,23,,,,
,,,2,23,1.1604079008102417,0.265625,,
1.1365234851837158,0.25,0.28251248598098755,3,31,,,,
,,,3,31,1.1351854801177979,0.3125,,
1.1363179683685303,0.234375,0.2851499915122986,4,39,,,,
,,,4,39,1.1152949333190918,0.3125,,
1.1363381147384644,0.203125,0.28591251373291016,5,47,,,,
,,,5,47,1.096645474433899,0.375,,
,,,6,49,,,1.1707408428192139,0.375
1.1368465423583984,0.203125,0.2855374813079834,6,55,,,,
,,,6,55,1.0760573148727417,0.4375,,
1.1368829011917114,0.203125,0.287324994802475,7,63,,,,
,,,7,63,1.055870771408081,0.4375,,
1.1370888948440552,0.1875,0.2879374921321869,8,71,,,,
,,,8,71,1.0392910242080688,0.515625,,
1.1370999813079834,0.203125,0.28954997658729553,9,79,,,,
,,,9,79,1.0264453887939453,0.515625,,
1.1371562480926514,0.1875,0.2922000288963318,10,87,,,,
,,,10,87,1.0141024589538574,0.53125,,
1.1374473571777344,0.1875,0.29458749294281006,11,95,,,,
,,,11,95,1.0017194747924805,0.546875,,
,,,12,99,,,1.0182840824127197,0.5
1.1376439332962036,0.15625,0.2971625030040741,12,103,,,,
,,,12,103,0.9899734258651733,0.578125,,
1.1377010345458984,0.15625,0.29836249351501465,13,111,,,,
,,,13,111,0.9789599776268005,0.578125,,
1.1379055976867676,0.15625,0.29864999651908875,14,119,,,,
,,,14,119,0.9677455425262451,0.59375,,
1.1381458044052124,0.15625,0.29839998483657837,15,127,,,,
,,,15,127,0.9567407965660095,0.59375,,
