val_loss,val_accuracy,rps,epoch,step,train_loss_epoch,train_accuracy_epoch,train_loss_step,train_accuracy_step
2.1172354221343994,0.296875,0.45080000162124634,0,7,,,,
,,,0,7,2.8680758476257324,0.453125,,
1.153399109840393,0.296875,0.7312500476837158,1,15,,,,
,,,1,15,3.1936521530151367,0.4375,,
1.0883129835128784,0.296875,0.6949750781059265,2,23,,,,
,,,2,23,3.527602434158325,0.4375,,
1.2097444534301758,0.296875,0.6016125082969666,3,31,,,,
,,,3,31,1.24163818359375,0.375,,
1.1787278652191162,0.234375,1.86908757686615,4,39,,,,
,,,4,39,1.085823655128479,0.40625,,
1.2050403356552124,0.234375,3.5228750705718994,5,47,,,,
,,,5,47,1.084399938583374,0.46875,,
,,,6,49,,,1.1027122735977173,0.5
1.2013036012649536,0.234375,6.123537540435791,6,55,,,,
,,,6,55,1.079998254776001,0.46875,,
1.1999053955078125,0.234375,9.45002555847168,7,63,,,,
,,,7,63,1.080963134765625,0.46875,,
1.2018990516662598,0.234375,13.440463066101074,8,71,,,,
,,,8,71,1.0809651613235474,0.46875,,
1.162622094154358,0.296875,16.404537200927734,9,79,,,,
,,,9,79,1.0586637258529663,0.484375,,
