match;Date;season;Div;HomeTeam;AwayTeam;FTHG;FTAG;label;prediction_sota;draw_sota;home_sota;away_sota;prediction_own;draw_own;home_own;away_own;accurate_flag_sota;rps_sota;accurate_flag_own;rps_own;dif_res
35445;15/01/2021;T20-21;I1;Lazio;Roma;3;0;1;2;0,2568;0,3454;0,3978;1;0,2734;0,4086;0,318;0;0,11209554;1;0,08793578;-0,02415976
26996;17/04/2021;T20-21;F1;Angers;Rennes;0;3;2;1;0,2955;0,3546;0,3498;2;0,2965;0,3153;0,3882;0;0,25497513;1;0,231105745;-0,023869385
6273;22/01/2021;T20-21;D1;M'gladbach;Dortmund;4;2;1;2;0,2794;0,3569;0,3637;1;0,2706;0,4283;0,3011;0;0,105171025;1;0,081942785;-0,02322824
26966;20/03/2021;T20-21;F1;Metz;Rennes;1;3;2;1;0,3001;0,3672;0,3326;2;0,3059;0,3267;0,3674;0;0,26767465;1;0,246878785;-0,020795865
16450;09/04/2021;T20-21;E0;Fulham;Wolves;0;1;2;1;0,2708;0,3821;0,3471;2;0,2974;0,3135;0,3891;0;0,249805525;1;0,230822785;-0,01898274
35599;25/04/2021;T20-21;I1;Benevento;Udinese;2;4;2;1;0,271;0,4088;0,3202;2;0,3064;0,3293;0,3643;0;0,26778452;1;0,248997725;-0,018786795
5995;08/02/2020;T19-20;D1;Freiburg;Hoffenheim;1;0;1;2;0,2992;0,3263;0,3745;1;0,2851;0,3695;0,3455;0;0,114885445;1;0,100291585;-0,01459386
16416;06/03/2021;T20-21;E0;Sheffield United;Southampton;0;2;2;1;0,2768;0,4031;0,3201;2;0,3058;0,3395;0,3547;0;0,269441125;1;0,254962865;-0,01447826
6295;06/02/2021;T20-21;D1;Mainz;Union Berlin;1;0;1;2;0,2797;0,3573;0,363;1;0,2972;0,3778;0,3251;0;0,105000545;1;0,09697642;-0,008024125
26967;20/03/2021;T20-21;F1;Nice;Marseille;3;0;1;2;0,2726;0,3442;0,3832;1;0,3104;0,3553;0,3343;0;0,1105765;1;0,104052325;-0,006524175
45505;19/12/2020;T20-21;SP1;Levante;Sociedad;2;1;1;2;0,2908;0,3524;0,3568;1;0,3004;0,3672;0,3324;0;0,10593544;1;0,10036496;-0,00557048
35510;28/02/2021;T20-21;I1;Crotone;Cagliari;0;2;2;1;0,2628;0,4023;0,3349;2;0,3082;0,3416;0,3503;0;0,255710925;1;0,25861364;0,002902715
35546;20/03/2021;T20-21;I1;Crotone;Bologna;2;3;2;1;0,2541;0,3785;0,3674;2;0,3008;0,3197;0,3795;0;0,232374785;1;0,237750445;0,00537566
45752;22/05/2021;T20-21;SP1;Osasuna;Sociedad;0;1;2;1;0,2845;0,3596;0,3559;2;0,3029;0,3464;0,3508;0;0,24790253;1;0,25666945;0,00876692
