0;features;tabnet_owntop1_adv_comp_ss_sup_202406072117;tabnet_owntop1_comp_ss_sup_202406150937;tabnet_own_comp_rs_unsup_202405310904;tabnet_own_comp_ss_sup_202405232005;tabnet_own_simp_ss_sup_202405260830;tabnet_own_simp_ss_unsup_202406122130;tabnet_paper_ss_unsup_202406172147;COUNT;MEAN;
163;down3_A;0;0;;;;;;2;0;
164;top2_A;0;0;;;;;;2;0;
165;top3_A;0;0;;;;;;2;0;
166;F_30D_H;0;0;0;0;;;;4;0;
167;C_365D_A;0;0;0;0;;;;4;0;
168;down2_H;0;0;;;;;;2;0;
169;C_15D_A;0;0;0;0;;;;4;0;
170;R_60D_H;0;0;0;0;;;;4;0;
171;S_730D_H;0;0;0;0;;;;4;0;
172;R_730D_A;0;0;0;0;;;;4;0;
173;top7_A;0;;;;;;;1;0;
174;pagerank_5_H;0;;;;;;;1;0;
175;Weekday;0;;;;;;;1;0;
176;top6_H;0;;;;;;;1;0;
177;pagerank_2_A;0;;;;;;;1;0;
178;pagerank_2_H;0;;;;;;;1;0;
18;pagerank_A;;0,022808462;;;;;;1;0,022808462;PAGERANK
62;pagerank_H;;0,00500395;;;;;;1;0,00500395;
64;down5_A;;0,00472499;;;;;;1;0,00472499;
142;down5_H;;1,32E-05;;;;;;1;1,32E-05;
;;0,1230;0,0278;;;;;;;;
