version;datetime;validation;test;batch_size;gamma_scheduler;gamma_tabnet;len_test;len_train;len_val;lr;mask_type;n_a;n_d;n_independent;n_shared;n_steps;pretraining_ratio
34;2024-01-16 13:43:49.711665;0,5291326627443538;;512;0,7715664797060637;1,330131626430309;2631;17667;5269;0,014639485929793531;entmax;10;22;2;4;4;0,27734267412012403
35;2024-01-16 13:54:36.403780;0,5304611880812299;;512;0,6783883016216715;1,246779741655296;2631;17667;5269;0,011807580853094394;entmax;12;16;3;3;3;0,24579331398047213
36;2024-01-16 14:03:54.904505;0,5323590814196242;;512;0,6495404091934339;1,3822860652372724;2631;17667;5269;0,010789404197514531;entmax;9;16;2;3;3;0,20093363087225474
37;2024-01-16 14:10:53.549604;0,5285632947428355;;512;0,8068241568048271;1,4762664635432592;2631;17667;5269;0,01261624754233157;entmax;19;12;1;3;4;0,20620592021318343
38;2024-01-16 14:21:04.848236;0,5279939267413172;;512;0,6745691719664634;1,382223006966714;2631;17667;5269;0,009679113351108616;sparsemax;15;11;2;4;3;0,24910964580673411
39;2024-01-16 14:29:10.050861;0,5278041374074777;;512;0,8545006660560406;1,4351086369064963;2631;17667;5269;0,007488060166331061;entmax;13;18;1;3;4;0,2001923887029173
40;2024-01-16 14:40:43.010552;0,5281837160751566;;512;0,7603959224932365;1,2914664591221967;2631;17667;5269;0,0037424129878359234;sparsemax;16;16;2;3;3;0,2971747244746502
41;2024-01-16 14:46:57.385920;0,5298918200797115;;512;0,6427060118822097;1,3847653702432374;2631;17667;5269;0,014736116328150434;entmax;9;16;3;3;3;0,22229330014951154
42;2024-01-16 14:54:02.553513;0,5243879293983678;;512;0,6643838812295016;1,4054747448790608;2631;17667;5269;0,013311969900908317;entmax;9;13;2;3;3;0,22066449795681675
43;2024-01-16 15:00:50.853798;0,5285632947428355;;512;0,6894392161203512;1,533207519736153;2631;17667;5269;0,009708539851073285;entmax;9;15;2;3;4;0,2487564488408308
44;2024-01-16 15:11:36.365791;0,5291326627443538;;512;0,5165650820073711;1,2593132371507862;2631;17667;5269;0,016370691137459634;entmax;10;19;3;4;3;0,22211513439178351
45;2024-01-16 15:16:33.166777;0,5156576200417536;;8192;0,5817873480859306;1,3131936442786245;2631;17667;5269;0,005148496596168311;entmax;26;17;3;5;5;0,20003165559248937
46;2024-01-16 15:28:37.858688;0,5264756120706017;;512;0,6387072999485224;1,3795659756722938;2631;17667;5269;0,023484208585348134;entmax;11;13;2;4;4;0,24149117497497363
47;2024-01-16 15:37:10.835907;0,5257164547352439;;512;0,7387898105077472;1,2513144082661711;2631;17667;5269;0,013332692521777718;entmax;13;10;3;3;9;0,22121531832264513
48;2024-01-16 15:59:22.987233;0,5228696147276523;;1024;0,8136563806170336;1,4662760794728622;2631;17667;5269;0,00837934976140599;sparsemax;9;21;1;3;3;0,2587669840686676
49;2024-01-16 16:06:48.699344;0,5148984627063959;;8192;0,5391417694343038;1,2928823307141981;2631;17667;5269;0,006388134018811002;entmax;11;15;4;3;4;0,28899506563779226
50;2024-01-16 16:16:27.789317;0,5243879293983678;;4096;0,6947895036357361;1,424362439397281;2631;17667;5269;0,02788586142913727;entmax;12;8;3;4;5;0,2547122329984533
51;2024-01-16 16:22:40.938189;0,5315999240842665;;512;0,6180292045935177;1,3601461108625037;2631;17667;5269;0,04830660226332057;entmax;8;16;3;2;3;0,21755208479313715
52;2024-01-16 16:27:38.978417;0,5298918200797115;;512;0,5888566773522224;1,3781869813328946;2631;17667;5269;0,017694687737934704;entmax;8;16;3;3;3;0,21431434918323647
53;2024-01-16 16:35:11.992666;0,528373505408996;;512;0,6503598876685893;1,280740042725665;2631;17667;5269;0,0536765542643678;entmax;9;11;4;2;3;0,2360855589754718
54;2024-01-16 16:41:43.892406;0,5293224520781932;;512;0,6289369100573938;1,1977430326654488;2631;17667;5269;0,02769354035755385;entmax;10;13;2;3;3;0,2163247656760798
55;2024-01-16 16:46:45.537158;0,5279939267413172;;512;0,6028890582511313;1,3127387967148727;2631;17667;5269;0,01089250620085141;entmax;8;19;3;3;4;0,23880032534408513
56;2024-01-16 16:59:00.108001;0,5243879293983678;;4096;0,5573026096972404;1,517871425352959;2631;17667;5269;0,0371666489541633;entmax;10;18;4;2;3;0,2147343831615124
57;2024-01-16 17:04:12.078600;0,5232491933953312;;512;0,6856348132096792;1,256520244265003;2631;17667;5269;0,012067131419115713;entmax;11;14;3;3;4;0,4052412272099144
