datetime;validation;test;activation;b1;b2;batch_size;factor_flag;learning_rate;method;mode;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;num_hidden_layers;optim;scaler
2023-12-20 07:29:34.877804;0,5265804529190063;;relu;0,08098865451921589;0,21894988323413206;64;False;0,0054531795396315684;anova;vanilla;11;10,0;10,0;24,0;25,0;5;adam;normalizer
2023-12-20 07:31:33.831729;0,5210714340209961;;selu;0,027487988837623753;0,09025497734964304;32;False;0,014201536515924502;pca;dropout;18;19,0;3,0;19,0;;4;adam;normalizer
2023-12-20 07:35:28.219965;0,5242857336997986;;selu;;;16;True;0,009727786536119536;;batchnorm;3;17,0;5,0;9,0;15,0;5;sgd;minmax
2023-12-20 07:43:57.365459;0,5210129022598267;;selu;0,18007835521395682;0,32134009967737076;64;False;0,00657688177460119;anova;vanilla;9;13,0;6,0;30,0;;4;adam;normalizer
2023-12-20 07:45:52.199384;0,524821400642395;;relu;0,27411198639862666;0,23636382853618898;32;False;0,004145596643427586;;vanilla;16;;;;;1;adam;maxabs
2023-12-20 07:49:17.478024;0,4594109058380127;;selu;;;64;False;0,01811930196719168;anova;dropout;14;7,0;11,0;25,0;24,0;5;sgd;normalizer
2023-12-20 07:51:07.809094;0,3510044515132904;;relu;0,4301506968754151;0,15830142536911712;256;True;0,010111854108573955;pca;batchnorm;6;30,0;;;;2;adam;maxabs
2023-12-20 07:51:50.491067;0,5283764600753784;;selu;0,1944992571456958;0,16596108481363409;64;False;0,004443830049843889;anova;vanilla;12;12,0;13,0;28,0;20,0;5;adam;normalizer
2023-12-20 07:53:50.313434;0,5265804529190063;;selu;0,14483425905225308;0,06719821296216429;64;False;0,0028570520765017976;anova;vanilla;8;12,0;14,0;29,0;22,0;5;adam;normalizer
2023-12-20 07:55:50.009615;0,5256824493408203;;selu;0,34791921548066546;0,13841461767999205;64;False;0,005512620774308704;anova;vanilla;12;9,0;17,0;23,0;16,0;5;adam;normalizer
2023-12-20 07:57:47.748195;0,5274784564971924;;selu;0,20011317629343786;0,23589968233907385;64;False;0,00729783582174244;anova;vanilla;15;14,0;11,0;28,0;;4;adam;normalizer
2023-12-20 07:59:43.414340;0,5292744040489197;;selu;0,26928486428308684;0,06481025715634064;64;False;0,0020896651462013827;;vanilla;10;16,0;13,0;30,0;23,0;5;adam;minmax
2023-12-20 08:01:43.688429;0,5269643068313599;;selu;0,293618658524638;0,05877883923291978;16;False;0,0017067645025561312;;vanilla;10;16,0;8,0;;;3;adam;minmax
2023-12-20 08:08:52.380089;0,5215517282485962;;leaky_relu;;;64;False;0,013662471328443474;;vanilla;7;23,0;18,0;26,0;26,0;5;sgd;minmax
2023-12-20 08:12:07.613711;0,4594494104385376;;leaky_relu;0,25038442261334887;0,06690323668312585;256;False;0,0380237383241714;;batchnorm;9;15,0;27,0;9,0;;4;adam;minmax
2023-12-20 08:12:52.404931;0,5267600417137146;;selu;0,3861835295433587;0,016937800293041434;64;False;0,0019683274137494303;;vanilla;13;27,0;15,0;21,0;24,0;5;adam;minmax
2023-12-20 08:14:52.263713;0,25472384691238403;;leaky_relu;0,3150107162240286;0,6082361076789952;128;True;0,0031658534352648434;;vanilla;19;18,0;19,0;25,0;20,0;5;adam;maxabs
2023-12-20 08:15:54.715290;0,530351996421814;;selu;0,09055978752633308;0,1433965922782322;64;False;0,0038944568335734986;anova;vanilla;11;10,0;13,0;29,0;22,0;5;adam;normalizer
2023-12-20 08:18:02.321313;0,5204741358757019;;selu;0,0731464138249905;0,13047664638995377;64;False;0,0012474959287854701;anova;vanilla;11;11,0;11,0;30,0;23,0;5;adam;minmax
2023-12-20 08:20:00.217173;0,5283764600753784;;selu;0,015892297279783363;0,018367062200475015;64;False;0,005139979282428538;anova;vanilla;8;10,0;14,0;27,0;20,0;5;adam;normalizer
2023-12-20 08:22:59.589603;0,5276580452919006;;selu;0,11131560010288083;0,2044387455241882;64;False;0,00871107342471112;anova;vanilla;14;8,0;16,0;29,0;27,0;5;adam;normalizer
2023-12-20 08:24:59.893902;0,5281968116760254;;selu;0,24138154672670337;0,10258217280503446;64;False;0,0036807323004184973;;vanilla;11;13,0;12,0;28,0;18,0;5;adam;normalizer
2023-12-20 08:26:59.595622;0,5202945470809937;;leaky_relu;0,07260223459569974;0,26110321059540337;64;False;0,0020102598019834414;anova;vanilla;10;8,0;14,0;26,0;;4;adam;normalizer
2023-12-20 08:28:54.749728;0,5281968116760254;;selu;0,29764224057044497;0,18877689143880635;64;False;0,0066211602855474816;anova;vanilla;7;5,0;10,0;12,0;24,0;5;adam;minmax
2023-12-20 08:30:54.500639;0,5187872052192688;;selu;0,20551317327216226;0,06344051801310999;256;False;0,010008352744622903;anova;dropout;14;10,0;23,0;30,0;29,0;5;adam;maxabs
