val_loss,val_accuracy,val_rps,epoch,step,train_loss_epoch,train_accuracy_epoch
1.122431755065918,0.25,0.3695441782474518,0,1,,
,,,0,1,1.1051867008209229,0.21875
1.1220800876617432,0.25,0.36917853355407715,1,3,,
,,,1,3,1.1046812534332275,0.21875
