matchId;Div;season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;pagerank_1_H;pagerank_1_A;pagerank_2_H;pagerank_2_A;pagerank_5_H;pagerank_5_A;pagerank_10_H;pagerank_10_A
90;D1;T00-01;2000-11-03;Leverkusen;Ein Frankfurt;1;0;H;0,3794897929212381;0,3975731324766917;0,5467387518650114;0,4060671117111622;0,5913404673758983;0,451878302354763;0,7139189409128562;0,5058949241472773
110;D1;T00-01;2000-11-18;Bayern Munich;Ein Frankfurt;1;2;A;0,4373411105759178;0,3975731324766917;0,4946270957582163;0,4060671117111622;0,8103036226489226;0,451878302354763;0,8206826714341326;0,5058949241472773
85;D1;T00-01;2000-10-28;Schalke 04;Leverkusen;0;0;D;0,3116672654508803;0,3794897929212381;0,4115627353772371;0,5467387518650114;0,5349765913433271;0,5913404673758983;0,6015649347523522;0,7139189409128562
111;D1;T00-01;2000-11-18;Hamburg;Leverkusen;1;3;A;0,4618803857041226;0,3794897929212381;0,5697957575426238;0,5467387518650114;0,6052834573620849;0,5913404673758983;0,5569893322361321;0,7139189409128562
69;D1;T00-01;2000-10-14;Werder Bremen;Leverkusen;3;3;D;0,2843708306070195;0,5006087597609119;0,384166861839057;0,5088070017750241;0,5559663748558366;0,5913404673758983;0,5441608013777595;0,7139189409128562
102;D1;T00-01;2000-11-11;Freiburg;Leverkusen;0;1;A;0,29816366180977;0,3794897929212381;0,454708942078481;0,5467387518650114;0,452032462910005;0,5913404673758983;0,5949142134567215;0,7139189409128562
104;D1;T00-01;2000-11-11;Schalke 04;Bayern Munich;3;2;H;0,3116672654508803;0,4373411105759178;0,4115627353772371;0,4946270957582163;0,5349765913433271;0,8103036226489226;0,6015649347523522;0,8206826714341326
87;D1;T00-01;2000-10-28;Werder Bremen;Bayern Munich;1;1;D;0,2559014038346484;0,4373411105759178;0,4850935672985526;0,4946270957582163;0,5559663748558366;0,8103036226489226;0,5441608013777595;0,8206826714341326
31;D1;T00-01;2000-09-09;Stuttgart;Bayern Munich;2;1;H;0,7524084295886793;0,9509220623637415;0,4134770927660306;0,602619746306156;0,7621936261013744;0,6508752336189604;0,5981453363474847;0,8206826714341326
121;D1;T00-01;2000-11-25;Freiburg;Bayern Munich;1;1;D;0,29816366180977;0,4373411105759178;0,454708942078481;0,4946270957582163;0,452032462910005;0,8103036226489226;0,5949142134567215;0,8206826714341326
41;D1;T00-01;2000-09-16;Hamburg;Dortmund;2;3;A;0,1830765209764331;0,4885038819629616;0,3536239341526373;0,5763954718406875;0,8205518600539112;0,3236237380736786;0,5569893322361321;0,6321208943263357
32;D1;T00-01;2000-09-09;Werder Bremen;Dortmund;1;2;A;0,0812438707776569;0,4885038819629616;0,0757748893119932;0,5763954718406875;0,2426336633863029;0,3236237380736786;0,5441608013777595;0,6321208943263357
76;D1;T00-01;2000-10-21;Leverkusen;Dortmund;2;0;H;0,5006087597609119;0,4212025554300176;0,5088070017750241;0,5333912237562248;0,5913404673758983;0,5686229511746509;0,7139189409128562;0,6321208943263357
91;D1;T00-01;2000-11-04;Bayern Munich;Dortmund;6;2;H;0,4373411105759178;0,2910325304654699;0,4946270957582163;0,4584005006757744;0,8103036226489226;0,5686229511746509;0,8206826714341326;0,6321208943263357
54;D1;T00-01;2000-09-29;Ein Frankfurt;Dortmund;1;1;D;0,5094594324832784;0,4212025554300176;0,4343336278170158;0,5333912237562248;0,451878302354763;0,5686229511746509;0,5058949241472773;0,6321208943263357
108;D1;T00-01;2000-11-17;Stuttgart;Munich 1860;2;2;D;0,4657584139857803;0,3165120163222853;0,5088603919011659;0,5061588139629047;0,7573241687129916;0,6128148444563862;0,5981453363474847;0,6305628758701137
60;D1;T00-01;2000-09-30;Leverkusen;Munich 1860;0;0;D;0,5006087597609119;0,5024047082536127;0,5088070017750241;0,5334816827890388;0,5913404673758983;0,6128148444563862;0,7139189409128562;0,6305628758701137
73;D1;T00-01;2000-10-21;Bayern Munich;Munich 1860;3;1;H;0,5220356904962216;0,5024047082536127;0,4964325930571835;0,5334816827890388;0,8103036226489226;0,6128148444563862;0,8206826714341326;0,6305628758701137
39;D1;T00-01;2000-09-16;Ein Frankfurt;Munich 1860;1;0;H;0,1275354174540628;0,1483041332302508;0,1794333038354136;0,1927713588275513;0,4476455023055544;0,2287200938428843;0,5058949241472773;0,6305628758701137
