matchId;Div;season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;pagerank_750D_H;pagerank_750D_A
70;D1;T00-01;2000-10-15;Hansa Rostock;Hertha;0;2;A;0,6015709715007562;0,7573990073241691
55;D1;T00-01;2000-09-30;Bayern Munich;Hansa Rostock;0;1;A;0,752842679261148;0,6015709715007562
79;D1;T00-01;2000-10-22;Bochum;Hansa Rostock;1;2;A;0,5166294008553242;0,6015709715007562
109;D1;T00-01;2000-11-18;FC Koln;Hansa Rostock;5;2;H;0,3118332719486417;0,6015709715007562
96;D1;T00-01;2000-11-04;Stuttgart;Hansa Rostock;1;0;H;0,8151372310693626;0,6015709715007562
73;D1;T00-01;2000-10-21;Bayern Munich;Munich 1860;3;1;H;0,752842679261148;0,6115160425545755
92;D1;T00-01;2000-11-04;Bochum;Munich 1860;1;1;D;0,5166294008553242;0,6115160425545755
60;D1;T00-01;2000-09-30;Leverkusen;Munich 1860;0;0;D;0,5323484053776025;0,6115160425545755
108;D1;T00-01;2000-11-17;Stuttgart;Munich 1860;2;2;D;0,8151372310693626;0,6115160425545755
110;D1;T00-01;2000-11-18;Bayern Munich;Ein Frankfurt;1;2;A;0,752842679261148;0,4051614123611596
74;D1;T00-01;2000-10-21;Hamburg;Ein Frankfurt;2;0;H;0,5525733233981319;0,4051614123611596
90;D1;T00-01;2000-11-03;Leverkusen;Ein Frankfurt;1;0;H;0,5323484053776025;0,4051614123611596
67;D1;T00-01;2000-10-14;Schalke 04;Ein Frankfurt;4;0;H;0,5568435980084753;0,4051614123611596
56;D1;T00-01;2000-09-30;Bochum;Unterhaching;3;0;H;0,5166294008553242;0,4084525033953419
77;D1;T00-01;2000-10-21;Stuttgart;Unterhaching;2;2;D;0,8151372310693626;0,4084525033953419
103;D1;T00-01;2000-11-11;Hansa Rostock;Unterhaching;2;2;D;0,6015709715007562;0,4084525033953419
57;D1;T00-01;2000-09-30;Hamburg;Schalke 04;2;0;H;0,5525733233981319;0,5568435980084753
112;D1;T00-01;2000-11-18;Hertha;Schalke 04;0;4;A;0,7573990073241691;0,5568435980084753
95;D1;T00-01;2000-11-04;Kaiserslautern;Schalke 04;3;2;H;0,4580207060979761;0,5568435980084753
80;D1;T00-01;2000-10-22;Freiburg;Schalke 04;3;1;H;0,4538459798332677;0,5568435980084753
111;D1;T00-01;2000-11-18;Hamburg;Leverkusen;1;3;A;0,5525733233981319;0,5323484053776025
102;D1;T00-01;2000-11-11;Freiburg;Leverkusen;0;1;A;0,4538459798332677;0,5323484053776025
85;D1;T00-01;2000-10-28;Schalke 04;Leverkusen;0;0;D;0,5568435980084753;0,5323484053776025
69;D1;T00-01;2000-10-14;Werder Bremen;Leverkusen;3;3;D;0,5583442734381153;0,5323484053776025
58;D1;T00-01;2000-09-30;Hertha;FC Koln;4;2;H;0,7573990073241691;0,3118332719486417
78;D1;T00-01;2000-10-21;Wolfsburg;FC Koln;6;0;H;0,6247523349434143;0,3118332719486417
118;D1;T00-01;2000-11-25;Cottbus;FC Koln;0;2;A;0,173983178850249;0,3118332719486417
97;D1;T00-01;2000-11-05;Unterhaching;FC Koln;0;0;D;0,4084525033953419;0,3118332719486417
75;D1;T00-01;2000-10-21;Hertha;Cottbus;3;1;H;0,7573990073241691;0,173983178850249
59;D1;T00-01;2000-09-30;Kaiserslautern;Cottbus;1;1;D;0,4580207060979761;0,173983178850249
98;D1;T00-01;2000-11-05;Wolfsburg;Cottbus;1;1;D;0,6247523349434143;0,173983178850249
116;D1;T00-01;2000-11-19;Unterhaching;Cottbus;2;1;H;0,4084525033953419;0,173983178850249
94;D1;T00-01;2000-11-04;Hertha;Werder Bremen;4;1;H;0,7573990073241691;0,5583442734381153
72;D1;T00-01;2000-10-20;Kaiserslautern;Werder Bremen;2;0;H;0,4580207060979761;0,5583442734381153
