matchId;Div;season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;pagerank_1_H;pagerank_1_A;pagerank_2_H;pagerank_2_A;pagerank_5_H;pagerank_5_A;pagerank_10_H;pagerank_10_A
69;D1;T00-01;2000-10-14;Werder Bremen;Leverkusen;3;3;D;0,2805349387454006;0,4944087545806275;0,3809551206729968;0,5047240409176369;0,5926594851197202;0,6320344479616347;0,5912314633461664;0,775673916749904
102;D1;T00-01;2000-11-11;Freiburg;Leverkusen;0;1;A;0,3012092136305806;0,3834906325416348;0,4496093072671355;0,5405919302423985;0,4826037411289186;0,6320344479616347;0,646375115768908;0,775673916749904
104;D1;T00-01;2000-11-11;Schalke 04;Bayern Munich;3;2;H;0,3147261956642189;0,4423474088115512;0,4069531007263709;0,4891476319781849;0,570212502188254;0,8670161057555879;0,653601133655473;0,8916728576301942
87;D1;T00-01;2000-10-28;Werder Bremen;Bayern Munich;1;1;D;0,2583109116101347;0,4423474088115512;0,479782921432641;0,4891476319781849;0,5926594851197202;0,8670161057555879;0,5912314633461664;0,8916728576301942
31;D1;T00-01;2000-09-09;Stuttgart;Bayern Munich;2;1;H;0,7531594794050082;0,9522146035351116;0,4685403297998972;0,6841838467169763;0,7635946757494616;0,6523610339694217;0,6498857352588098;0,8916728576301942
121;D1;T00-01;2000-11-25;Freiburg;Bayern Munich;1;1;D;0,3012092136305806;0,4423474088115512;0,4496093072671355;0,4891476319781849;0,4826037411289186;0,8670161057555879;0,646375115768908;0,8916728576301942
41;D1;T00-01;2000-09-16;Hamburg;Dortmund;2;3;A;0,1832856737161615;0,4892998427689762;0,4011382254616107;0,6520875629979779;0,8162798744589675;0,3225950697309318;0,6051696798674108;0,6868002259957009
32;D1;T00-01;2000-09-09;Werder Bremen;Dortmund;1;2;A;0,0813402587382505;0,4892998427689762;0,0858628270459558;0,6520875629979779;0,2416748583755333;0,3225950697309318;0,5912314633461664;0,6868002259957009
76;D1;T00-01;2000-10-21;Leverkusen;Dortmund;2;0;H;0,4944087545806275;0,4157619447394636;0,5047240409176369;0,5290628608110374;0,6320344479616347;0,6061037476334592;0,775673916749904;0,6868002259957009
91;D1;T00-01;2000-11-04;Bayern Munich;Dortmund;6;2;H;0,4423474088115512;0,2938271182812668;0,4891476319781849;0,4533352692033585;0,8670161057555879;0,6061037476334592;0,8916728576301942;0,6868002259957009
54;D1;T00-01;2000-09-29;Ein Frankfurt;Dortmund;1;1;D;0,5031097651129149;0,4157619447394636;0,4308503009105393;0,5290628608110374;0,4818465305698844;0,6061037476334592;0,5496555348082763;0,6868002259957009
108;D1;T00-01;2000-11-17;Stuttgart;Munich 1860;2;2;D;0,4707221254938347;0,319570407754274;0,5034489117436195;0,500681889760761;0,8115380568427195;0,6536909143060369;0,6498857352588098;0,6851074367880617
60;D1;T00-01;2000-09-30;Leverkusen;Munich 1860;0;0;D;0,4944087545806275;0,4955213832178877;0,5047240409176369;0,5290139270506541;0,6320344479616347;0,6536909143060369;0,775673916749904;0,6851074367880617
73;D1;T00-01;2000-10-21;Bayern Munich;Munich 1860;3;1;H;0,5153850594366353;0,4955213832178877;0,4923792725414136;0,5290139270506541;0,8670161057555879;0,6536909143060369;0,8916728576301942;0,6851074367880617
39;D1;T00-01;2000-09-16;Ein Frankfurt;Munich 1860;1;0;H;0,1276777403819993;0,1484762222188765;0,2033027108907459;0,2185478508726518;0,4444336074765798;0,2276970325393128;0,5496555348082763;0,6851074367880617
23;D1;T00-01;2000-09-06;Dortmund;Munich 1860;2;3;A;0,4892998427689762;0,1484762222188765;0,6520875629979779;0,2185478508726518;0,3225950697309318;0,2276970325393128;0,6868002259957009;0,6851074367880617
96;D1;T00-01;2000-11-04;Stuttgart;Hansa Rostock;1;0;H;0,4707221254938347;0,4815339305854267;0,5034489117436195;0,5570786106922173;0,8115380568427195;0,6618083243497879;0,6498857352588098;0,6007260547024289
42;D1;T00-01;2000-09-16;Leverkusen;Hansa Rostock;1;2;A;0,4645044433445434;0,9612157625088616;0,6443229972705402;1,0;0,9814127160213676;0,5457703837282977;0,775673916749904;0,6007260547024289
