;matchId;draw_pred;home_pred;away_pred;prediction;label
25670;12824;0,2;0,8;0,07692307692307693;1;1
25671;12825;0,3225806451612903;0,4444444444444444;0,3125;1;2
25672;12826;0,3125;0,3484320557491289;0,4166666666666667;2;1
25673;12827;0,3076923076923077;0,37037037037037035;0,4;2;2
25674;12828;0,3125;0,4166666666666667;0,3484320557491289;1;1
25675;12829;0,3125;0,36363636363636365;0,4;2;1
25676;12830;0,3125;0,47619047619047616;0,2857142857142857;1;2
25677;12831;0,2631578947368421;0,6535947712418301;0,16666666666666666;1;0
25678;12832;0,3076923076923077;0,5263157894736842;0,25;1;1
25679;12833;0,3125;0,4166666666666667;0,3484320557491289;1;1
25680;12834;0,3125;0,5;0,26666666666666666;1;1
25681;12835;0,3125;0,5555555555555556;0,21052631578947367;1;0
25682;12836;0,3076923076923077;0,5263157894736842;0,25;1;2
25683;12837;0,3076923076923077;0,5263157894736842;0,25;1;1
25684;12838;0,29411764705882354;0,6024096385542169;0,18181818181818182;1;1
25685;12839;0,3125;0,5263157894736842;0,25;1;1
25686;12840;0,3125;0,36363636363636365;0,4;2;1
25687;12841;0,30303030303030304;0,3846153846153846;0,42194092827004215;2;0
25688;12842;0,3333333333333333;0,4;0,38167938931297707;1;2
25689;12843;0,23094688221709006;0,78125;0,1111111111111111;1;1
25690;12844;0,3125;0,47619047619047616;0,3225806451612903;1;0
25691;12845;0,3484320557491289;0,4347826086956522;0,3333333333333333;1;0
25692;12846;0,3125;0,36363636363636365;0,4347826086956522;2;0
25693;12847;0,26666666666666666;0,21052631578947367;0,6369426751592356;2;0
25694;12848;0,3125;0,36363636363636365;0,4347826086956522;2;0
25695;12849;0,3333333333333333;0,4444444444444444;0,3333333333333333;1;2
25696;12850;0,30303030303030304;0,5464480874316939;0,26666666666666666;1;1
25697;12851;0,3225806451612903;0,3846153846153846;0,37037037037037035;1;1
25698;12852;0,25;0,6944444444444444;0,13333333333333333;1;1
25699;12853;0,29411764705882354;0,6024096385542169;0,18181818181818182;1;2
25700;12854;0,3125;0,47619047619047616;0,2857142857142857;1;0
25701;12855;0,3125;0,47619047619047616;0,2857142857142857;1;2
25702;12856;0,3125;0,47619047619047616;0,2857142857142857;1;1
25703;12857;0,29411764705882354;0,6024096385542169;0,18181818181818182;1;0
25704;12858;0,3125;0,38167938931297707;0,3846153846153846;2;1
25705;12859;0,3125;0,45454545454545453;0,3076923076923077;1;1
25706;12860;0,2777777777777778;0,6535947712418301;0,15384615384615385;1;1
25707;12861;0,2857142857142857;0,5813953488372093;0,21052631578947367;1;0
25708;12862;0,3125;0,4166666666666667;0,3484320557491289;1;2
25709;12863;0,3076923076923077;0,5263157894736842;0,25;1;1
25710;12864;0,3125;0,4166666666666667;0,3484320557491289;1;0
25711;12865;0,3125;0,46511627906976744;0,30303030303030304;1;0
25712;12866;0,3125;0,5;0,26666666666666666;1;0
25713;12867;0,2631578947368421;0,16666666666666666;0,6535947712418301;2;1
25714;12868;0,3225806451612903;0,3125;0,4444444444444444;2;0
25715;12869;0,3125;0,45454545454545453;0,3076923076923077;1;0
25716;12870;0,3125;0,4347826086956522;0,3333333333333333;1;1
