matchId;pagerank_1_H;pagerank_1_A;pagerank_2_H;pagerank_2_A;pagerank_5_H;pagerank_5_A;pagerank_10_H;pagerank_10_A
1891;0,4267812816067115;0,4724097901220264;0,5475297891632517;0,6193723265861155;0,457262330367703;0,4160462849945321;0,9093818516798052;0,7218189072810415
1874;0,3163954558878074;0,6137731231175354;0,3541884528306657;0,6263358072235198;0,2410692744259031;0,6466321658886265;0,7206396392824066;0,8986124339258409
1893;0,2860592291660681;0,5867265309731724;0,4248326477633405;0,650005055337729;0,2410692744259031;0,5121077714289314;0,7206396392824066;0,8558122103837645
1871;0,2440551486430584;0,8029771727850405;0,3936378968735975;0,7240608200866605;0,4160462849945321;0,5121077714289314;0,7218189072810415;0,8558122103837645
1889;0,3446672036013258;0,5867265309731724;0,3509576919411379;0,650005055337729;0,2893247014381327;0,5121077714289314;0,7657294345129457;0,8558122103837645
1862;0,2685428956042333;0,543236606410355;0,2634304220661093;0,4595190530617387;0,2907053621308871;0,3771593571766279;0,5581347131921505;0,5351127441361758
1878;0,5743973590480639;0,543236606410355;0,560321381705176;0,4595190530617387;0,4031078319930256;0,3771593571766279;0,7482731650400752;0,5351127441361758
1894;0,2146334898342039;0,3868401304154693;0,2753544713776512;0,3533171345686969;0,3206276009273853;0,3771593571766279;0,581108343668663;0,5351127441361758
1888;0,4724097901220264;0,3736374247291433;0,6193723265861155;0,3925055048682145;0,4160462849945321;0,4031078319930256;0,7218189072810415;0,7482731650400752
1905;0,3366913713319409;0,3736374247291433;0,4585374720750855;0,3925055048682145;0,3738753112027316;0,4031078319930256;0,6343015691767464;0,7482731650400752
1869;0,6137731231175354;0,5743973590480639;0,6263358072235198;0,560321381705176;0,6466321658886265;0,4031078319930256;0,8986124339258409;0,7482731650400752
1902;0,4724097901220264;0,4649405584219891;0,6193723265861155;0,4416542885056865;0,4160462849945321;0,4777744323289575;0,7218189072810415;0,5545036385066172
1886;0,3849113743655038;0,4649405584219891;0,4349708317258015;0,4416542885056865;0,6466321658886265;0,4777744323289575;0,8986124339258409;0,5545036385066172
1907;0,3446672036013258;0,2860592291660681;0,3509576919411379;0,4248326477633405;0,2893247014381327;0,2410692744259031;0,7657294345129457;0,7206396392824066
1884;0,3868401304154693;0,2860592291660681;0,3533171345686969;0,4248326477633405;0,3771593571766279;0,2410692744259031;0,5351127441361758;0,7206396392824066
1867;0,6732349747002639;0,3163954558878074;0,7109223729920516;0,3541884528306657;0,5461177477564891;0,2410692744259031;0,7290198418685555;0,7206396392824066
1896;0,3736374247291433;0,3446672036013258;0,3925055048682145;0,3509576919411379;0,4031078319930256;0,2893247014381327;0,7482731650400752;0,7657294345129457
1875;0,1237426917423152;0,1821372737057391;0,2840942860264178;0,1413014385017368;0,3206276009273853;0,2893247014381327;0,581108343668663;0,7657294345129457
1870;0,543236606410355;0,1821372737057391;0,4595190530617387;0,1413014385017368;0,3771593571766279;0,2893247014381327;0,5351127441361758;0,7657294345129457
1906;0,3868401304154693;0,4412511010954267;0,3533171345686969;0,4386077702862941;0,3771593571766279;0,5994506379969945;0,5351127441361758;0,5424350329498929
1863;0,346802668708275;0,1237426917423152;0,3876842237187939;0,2840942860264178;0,3738753112027316;0,3206276009273853;0,6343015691767464;0,581108343668663
1881;0,3361128884301618;0,2146334898342039;0,4613899987735749;0,2753544713776512;0,5461177477564891;0,3206276009273853;0,7290198418685555;0,581108343668663
1903;0,5867265309731724;0,2146334898342039;0,650005055337729;0,2753544713776512;0,5121077714289314;0,3206276009273853;0,8558122103837645;0,581108343668663
1887;0,3366913713319409;0,4267812816067115;0,4585374720750855;0,5475297891632517;0,3738753112027316;0,457262330367703;0,6343015691767464;0,9093818516798052
1865;0,3883499281041317;0,4592870078664512;0,4050633274731634;0,5051399621006954;0,2170440803852414;0,457262330367703;0,5930560475793951;0,9093818516798052
1904;0,3849113743655038;0,4267812816067115;0,4349708317258015;0,5475297891632517;0,6466321658886265;0,457262330367703;0,8986124339258409;0,9093818516798052
1877;0,8029771727850405;0,346802668708275;0,7240608200866605;0,3876842237187939;0,5121077714289314;0,3738753112027316;0,8558122103837645;0,6343015691767464
1895;0,4649405584219891;0,3366913713319409;0,4416542885056865;0,4585374720750855;0,4777744323289575;0,3738753112027316;0,5545036385066172;0,6343015691767464
1901;0,3550437842482764;0,2746066072815136;0,4388074163457707;0,3118132444904335;0,2170440803852414;0,2907053621308871;0,5930560475793951;0,5581347131921505
1885;0,4412511010954267;0,2746066072815136;0,4386077702862941;0,3118132444904335;0,5994506379969945;0,2907053621308871;0,5424350329498929;0,5581347131921505
1898;0,4412511010954267;0,3550437842482764;0,4386077702862941;0,4388074163457707;0,5994506379969945;0,2170440803852414;0,5424350329498929;0,5930560475793951
1872;0,2009520402701557;0,6732349747002639;0,2383457417143651;0,7109223729920516;0,4777744323289575;0,5461177477564891;0,5545036385066172;0,7290198418685555
1908;0,2670931110268528;0,5791268595103644;0,2157085224452012;0,6986422070297286;0,3185677407867862;0,7507243915296364;0,2975722471535913;0,7948801737393842
1928;0,2800370800544436;0,5791268595103644;0,232120356303141;0,6986422070297286;0,4030531700216267;0,7507243915296364;0,4042722961780678;0,7948801737393842
1945;0,3129619311770107;0,5791268595103644;0,3555143135166752;0,6986422070297286;0,3679214339404404;0,7507243915296364;0,3569721581828899;0,7948801737393842
1973;0,3090003685106865;0,581263234696528;0,334190141754332;0,6952864089667168;0,4462951736506854;0,7507243915296364;0,3930735260304018;0,7948801737393842
2022;0,7255157941105562;0,5243513394513822;0,608679525790487;0,7655406341393917;0,7306348915126837;0,7953141192427449;0,6855329331597647;0,7948801737393842
2004;0,6348315338469531;0,5243513394513822;0,6437320396581174;0,7655406341393917;0,6669213071577977;0,7953141192427449;0,6430604516954911;0,7948801737393842
1927;0,2670931110268528;0,4079893347157361;0,2157085224452012;0,5052333717361466;0,3185677407867862;0,5154940138244087;0,2975722471535913;0,5251145032444221
1910;0,2605891817282564;0,4079893347157361;0,2953177593088931;0,5052333717361466;0,366368445392632;0,5154940138244087;0,3539168824027516;0,5251145032444221
1951;0,4058605980721185;0,4079893347157361;0,3937549327073683;0,5052333717361466;0,4725012429833238;0,5154940138244087;0,4202814278150118;0,5251145032444221
1988;0,581263234696528;0,5173024932036053;0,6952864089667168;0,5875317080841373;0,7507243915296364;0,5154940138244087;0,7948801737393842;0,5251145032444221
1967;0,5063233953488476;0,5173024932036053;0,5376977235850923;0,5875317080841373;0,6189029213998484;0,5154940138244087;0,5996314992870028;0,5251145032444221
2016;0,3355852523898688;0,2491482551638237;0,2784490992855889;0,333139262919342;0,5781598890961881;0,5715604854112117;0,408718848120405;0,5251145032444221
1994;0,5362358648935246;0,2491482551638237;0,904737371720789;0,333139262919342;0,661653350258005;0,5715604854112117;0,6011159136689918;0,5251145032444221
1949;0,2670931110268528;0,5760702566502818;0,2157085224452012;0,6914688793842543;0,3185677407867862;0,7057870330799483;0,2975722471535913;0,6160950568379546
1981;0,3498642518908024;0,3582268844795435;0,3682840041055527;0,5168771976525149;0,3679214339404404;0,7057870330799483;0,3569721581828899;0,6160950568379546
