matchId;rounds;top1_H;top2_H;top3_H;top4_H;top5_H;top6_H;top7_H;down1_H;down2_H;down3_H;down4_H;down5_H;top1_A;top2_A;top3_A;top4_A;top5_A;top6_A;top7_A;down1_A;down2_A;down3_A;down4_A;down5_A
9768;8,0;5,0;5,0;4,0;0,0;0,0;-3,0;-3,0;-10,0;-10,0;-8,0;-7,0;-7,0;0,0;0,0;-1,0;-5,0;-5,0;-8,0;-8,0;-15,0;-15,0;-13,0;-12,0;-12,0
9769;9,0;0,0;-1,0;-3,0;-7,0;-8,0;-8,0;-9,0;-18,0;-17,0;-16,0;-15,0;-15,0;3,0;2,0;0,0;-4,0;-5,0;-5,0;-6,0;-15,0;-14,0;-13,0;-12,0;-12,0
9770;8,5;5,0;5,0;4,0;0,0;0,0;-3,0;-3,0;-10,0;-10,0;-8,0;-7,0;-7,0;17,0;16,0;14,0;10,0;9,0;9,0;8,0;-1,0;0,0;1,0;2,0;2,0
9771;9,0;15,0;14,0;12,0;8,0;7,0;7,0;6,0;-3,0;-2,0;-1,0;0,0;0,0;1,0;0,0;-2,0;-6,0;-7,0;-7,0;-8,0;-17,0;-16,0;-15,0;-14,0;-14,0
9772;9,0;8,0;7,0;5,0;1,0;0,0;0,0;-1,0;-10,0;-9,0;-8,0;-7,0;-7,0;15,0;14,0;12,0;8,0;7,0;7,0;6,0;-3,0;-2,0;-1,0;0,0;0,0
9773;8,5;16,0;15,0;13,0;9,0;8,0;8,0;7,0;-2,0;-1,0;0,0;1,0;1,0;11,0;11,0;10,0;6,0;6,0;3,0;3,0;-4,0;-4,0;-2,0;-1,0;-1,0
9774;9,0;11,0;10,0;8,0;4,0;3,0;3,0;2,0;-7,0;-6,0;-5,0;-4,0;-4,0;12,0;11,0;9,0;5,0;4,0;4,0;3,0;-6,0;-5,0;-4,0;-3,0;-3,0
9775;9,0;7,0;6,0;4,0;0,0;-1,0;-1,0;-2,0;-11,0;-10,0;-9,0;-8,0;-8,0;14,0;13,0;11,0;7,0;6,0;6,0;5,0;-4,0;-3,0;-2,0;-1,0;-1,0
9776;9,0;14,0;13,0;11,0;7,0;6,0;6,0;5,0;-4,0;-3,0;-2,0;-1,0;-1,0;10,0;9,0;7,0;3,0;2,0;2,0;1,0;-8,0;-7,0;-6,0;-5,0;-5,0
9777;9,0;18,0;17,0;15,0;11,0;10,0;10,0;9,0;0,0;1,0;2,0;3,0;3,0;12,0;11,0;9,0;5,0;4,0;4,0;3,0;-6,0;-5,0;-4,0;-3,0;-3,0
9778;9,0;15,0;14,0;12,0;8,0;7,0;7,0;6,0;-3,0;-2,0;-1,0;0,0;0,0;9,0;8,0;6,0;2,0;1,0;1,0;0,0;-9,0;-8,0;-7,0;-6,0;-6,0
9779;9,0;8,0;7,0;5,0;1,0;0,0;0,0;-1,0;-10,0;-9,0;-8,0;-7,0;-7,0;11,0;10,0;8,0;4,0;3,0;3,0;2,0;-7,0;-6,0;-5,0;-4,0;-4,0
9780;10,0;14,0;13,0;12,0;9,0;8,0;6,0;5,0;-5,0;-2,0;-2,0;-2,0;-2,0;14,0;13,0;12,0;9,0;8,0;6,0;5,0;-5,0;-2,0;-2,0;-2,0;-2,0
9781;10,0;16,0;15,0;14,0;11,0;10,0;8,0;7,0;-3,0;0,0;0,0;0,0;0,0;5,0;4,0;3,0;0,0;-1,0;-3,0;-4,0;-14,0;-11,0;-11,0;-11,0;-11,0
9782;10,0;1,0;0,0;-1,0;-4,0;-5,0;-7,0;-8,0;-18,0;-15,0;-15,0;-15,0;-15,0;9,0;8,0;7,0;4,0;3,0;1,0;0,0;-10,0;-7,0;-7,0;-7,0;-7,0
9783;10,0;10,0;9,0;8,0;5,0;4,0;2,0;1,0;-9,0;-6,0;-6,0;-6,0;-6,0;16,0;15,0;14,0;11,0;10,0;8,0;7,0;-3,0;0,0;0,0;0,0;0,0
9784;10,0;2,0;1,0;0,0;-3,0;-4,0;-6,0;-7,0;-17,0;-14,0;-14,0;-14,0;-14,0;6,0;5,0;4,0;1,0;0,0;-2,0;-3,0;-13,0;-10,0;-10,0;-10,0;-10,0
9785;10,0;9,0;8,0;7,0;4,0;3,0;1,0;0,0;-10,0;-7,0;-7,0;-7,0;-7,0;12,0;11,0;10,0;7,0;6,0;4,0;3,0;-7,0;-4,0;-4,0;-4,0;-4,0
9786;10,0;8,0;7,0;6,0;3,0;2,0;0,0;-1,0;-11,0;-8,0;-8,0;-8,0;-8,0;16,0;15,0;14,0;11,0;10,0;8,0;7,0;-3,0;0,0;0,0;0,0;0,0
9787;10,0;15,0;14,0;13,0;10,0;9,0;7,0;6,0;-4,0;-1,0;-1,0;-1,0;-1,0;19,0;18,0;17,0;14,0;13,0;11,0;10,0;0,0;3,0;3,0;3,0;3,0
9788;10,0;9,0;8,0;7,0;4,0;3,0;1,0;0,0;-10,0;-7,0;-7,0;-7,0;-7,0;0,0;-1,0;-2,0;-5,0;-6,0;-8,0;-9,0;-19,0;-16,0;-16,0;-16,0;-16,0
9789;10,0;12,0;11,0;10,0;7,0;6,0;4,0;3,0;-7,0;-4,0;-4,0;-4,0;-4,0;16,0;15,0;14,0;11,0;10,0;8,0;7,0;-3,0;0,0;0,0;0,0;0,0
9790;11,0;17,0;16,0;15,0;9,0;8,0;8,0;8,0;-2,0;-2,0;-2,0;-1,0;0,0;1,0;0,0;-1,0;-7,0;-8,0;-8,0;-8,0;-18,0;-18,0;-18,0;-17,0;-16,0
9791;11,0;19,0;18,0;17,0;11,0;10,0;10,0;10,0;0,0;0,0;0,0;1,0;2,0;0,0;-1,0;-2,0;-8,0;-9,0;-9,0;-9,0;-19,0;-19,0;-19,0;-18,0;-17,0
