val_loss,val_accuracy,rps,epoch,step,train_loss_epoch,train_accuracy_epoch
16.93914222717285,0.46875,135.5589599609375,0,3,,
,,,0,3,17.529396057128906,0.390625
16.929000854492188,0.46875,135.50343322753906,1,7,,
,,,1,7,18.013593673706055,0.390625
16.92963981628418,0.46875,135.50872802734375,2,11,,
,,,2,11,17.991579055786133,0.390625
16.928865432739258,0.46875,135.50613403320312,3,15,,
,,,3,15,17.99204444885254,0.390625
16.92816925048828,0.46875,135.5039520263672,4,19,,
,,,4,19,17.991825103759766,0.390625
16.927528381347656,0.46875,135.50192260742188,5,23,,
,,,5,23,17.991640090942383,0.390625
16.926937103271484,0.46875,135.5000762939453,6,27,,
,,,6,27,17.991470336914062,0.390625
16.926387786865234,0.46875,135.49839782714844,7,31,,
,,,7,31,17.991310119628906,0.390625
16.92588233947754,0.46875,135.4968719482422,8,35,,
,,,8,35,17.99116325378418,0.390625
16.9254150390625,0.46875,135.49551391601562,9,39,,
,,,9,39,17.99102783203125,0.390625
