trainloss;acc_train;testloss;acc_test
0,4194827377796173;0,45588235294117646;0,4036951884627342;0,44921875
0,3900966714410221;0,45588235294117646;0,4194777086377144;0,44921875
0,38560155209373026;0,45588235294117646;0,4123023748397827;0,44921875
0,38301533635924845;0,45588235294117646;0,4115448445081711;0,44921875
0,3844868347925298;0,45588235294117646;0,4041430577635765;0,44921875
0,38035015323582816;0,45588235294117646;0,4072393849492073;0,44921875
0,3832964616663316;0,45588235294117646;0,4071197360754013;0,44921875
0,38132745904081006;0,45588235294117646;0,4042528420686722;0,44921875
0,38280092618044687;0,45588235294117646;0,40251297503709793;0,44921875
0,3815117268001332;0,45588235294117646;0,4046262502670288;0,45703125
0,38415340115042296;0,46047794117647056;0,3996310159564018;0,47265625
0,3785148087669821;0,484375;0,39887167513370514;0,46875
0,3738338316188139;0,4724264705882353;0,4076990783214569;0,46484375
0,38172462582588196;0,47518382352941174;0,39701368659734726;0,46484375
0,3781718226040111;0,47702205882352944;0,40898068994283676;0,47265625
0,38145166284897747;0,46875;0,40122244507074356;0,46484375
0,37947067968985615;0,4696691176470588;0,3993159979581833;0,46484375
0,37788408644059124;0,4733455882352941;0,40007199347019196;0,46875
0,3779568549464731;0,47518382352941174;0,39869292825460434;0,46484375
0,3790973126888275;0,4788602941176471;0,4002273604273796;0,46875
0,3771640412947711;0,484375;0,4004691168665886;0,47265625
0,3751916675006642;0,47702205882352944;0,40094760060310364;0,4765625
0,3835477828979492;0,47702205882352944;0,3951571360230446;0,46484375
0,3773944272714503;0,48161764705882354;0,39330853521823883;0,47265625
0,3789982339915107;0,47518382352941174;0,4035825580358505;0,47265625
0,38184914343497334;0,47058823529411764;0,39493437856435776;0,4609375
0,3738557889181025;0,47150735294117646;0,4009227678179741;0,4609375
0,3775477304178126;0,4724264705882353;0,4068087264895439;0,46875
0,3776516370913562;0,46875;0,4079626351594925;0,46484375
0,37634749798213735;0,47794117647058826;0,40046053379774094;0,4609375
0,37433448959799376;0,47702205882352944;0,40206335484981537;0,46484375
0,37488796079860015;0,46875;0,40306828171014786;0,46875
0,37362901954089894;0,4696691176470588;0,4032287001609802;0,46484375
0,3703957533135134;0,4806985294117647;0,40073154121637344;0,46875
0,37332971131100373;0,47702205882352944;0,40709584951400757;0,4765625
0,3712934062761419;0,48161764705882354;0,4131450429558754;0,4765625
0,3771700455861933;0,47702205882352944;0,4007733687758446;0,48046875
0,3773595445296344;0,47702205882352944;0,39468929916620255;0,4609375
0,37595706301576953;0,47058823529411764;0,4054548069834709;0,4765625
0,37666798514478345;0,4797794117647059;0,3976868838071823;0,4609375
0,3740581116255592;0,4806985294117647;0,4102935940027237;0,4765625
0,3745204911512487;0,48161764705882354;0,40837282687425613;0,46484375
0,36959247554049773;0,49172794117647056;0,39908529072999954;0,4765625
0,3805624474497402;0,47702205882352944;0,39451419562101364;0,46875
0,3721082806587219;0,48253676470588236;0,3949510529637337;0,47265625
0,3693664056413314;0,49356617647058826;0,4020216763019562;0,484375
0,37908513581051545;0,47702205882352944;0,39737578481435776;0,46484375
0,3770985533209408;0,4724264705882353;0,3965265601873398;0,46484375
0,379064563442679;0,46691176470588236;0,39413580298423767;0,46484375
0,37286576979300556;0,48253676470588236;0,3966769576072693;0,4609375
0,3694702509571524;0,47794117647058826;0,39813006669282913;0,48046875
0,37174786364330964;0,49264705882352944;0,399399496614933;0,46875
0,37304165082819324;0,48253676470588236;0,3964010924100876;0,46484375
0,37078529771636515;0,48621323529411764;0,4006654992699623;0,48046875
0,37465694196083965;0,4724264705882353;0,3972816541790962;0,4765625
0,3744146157713497;0,47702205882352944;0,39486493170261383;0,46484375
0,3765906481181874;0,46875;0,3990924209356308;0,46875
0,3761697604375727;0,46875;0,4036034196615219;0,46484375
0,3762452409547918;0,4733455882352941;0,3931066691875458;0,46484375
0,3769786165041082;0,47794117647058826;0,3960018455982208;0,48046875
0,3741643849541159;0,4742647058823529;0,3949909806251526;0,47265625
0,37588322337935953;0,4806985294117647;0,40070267021656036;0,48046875
0,3761720376856187;0,46599264705882354;0,3932173475623131;0,48046875
0,37456262637587157;0,47702205882352944;0,3962627798318863;0,484375
0,3701217717984143;0,48161764705882354;0,3974449187517166;0,46875
0,371610865873449;0,47702205882352944;0,39914950728416443;0,484375
0,3722735064871171;0,4797794117647059;0,3998602032661438;0,47265625
0,38032689865897684;0,46875;0,39361681789159775;0,46484375
0,37185422637883353;0,48253676470588236;0,3943779468536377;0,48046875
0,37170424882103414;0,47610294117647056;0,4025386720895767;0,4765625
0,3760904634700102;0,4788602941176471;0,4014011472463608;0,48046875
0,37254273540833416;0,47702205882352944;0,39794111996889114;0,46875
0,37233564432929545;0,47058823529411764;0,39685046672821045;0,47265625
0,3767787498586318;0,4797794117647059;0,39527463912963867;0,46484375
0,37176332053016214;0,484375;0,39877113699913025;0,46875
0,3730248370591332;0,48253676470588236;0,3975518271327019;0,46484375
0,37044625773149376;0,47518382352941174;0,40344877541065216;0,47265625
0,37607356555321636;0,484375;0,39647743850946426;0,46875
0,3764745838501874;0,47610294117647056;0,4002726897597313;0,4765625
0,37523282100172606;0,47610294117647056;0,39110783487558365;0,47265625
0,37671219075427337;0,4724264705882353;0,39678820967674255;0,4765625
0,3659077970420613;0,49080882352941174;0,4028227850794792;0,47265625
0,3714202309356016;0,48621323529411764;0,3950725719332695;0,46875
0,3724864440805772;0,4788602941176471;0,3998624086380005;0,48046875
0,37169717164600596;0,4742647058823529;0,3954770341515541;0,46875
0,37489819526672363;0,47794117647058826;0,3998338431119919;0,46875
0,3726847610052894;0,47150735294117646;0,3958606496453285;0,47265625
0,3751181539367227;0,4742647058823529;0,3982722908258438;0,4765625
0,3720366236041574;0,47610294117647056;0,3916580379009247;0,47265625
0,37489743969019723;0,48161764705882354;0,3946012780070305;0,46484375
0,3711232735830195;0,48253676470588236;0,39628803730010986;0,484375
0,37290531922789183;0,47794117647058826;0,3945750668644905;0,4765625
0,3663291720783009;0,4889705882352941;0,39739638566970825;0,484375
0,3714381403782788;0,4852941176470588;0,40560930222272873;0,4765625
0,3748520016670227;0,4806985294117647;0,3975107818841934;0,4765625
0,36955370973138246;0,4954044117647059;0,3932976871728897;0,4765625
0,3722268009887022;0,48253676470588236;0,3912065029144287;0,48046875
0,3713295792832094;0,4742647058823529;0,4000375345349312;0,46875
0,36965658384210925;0,4834558823529412;0,3987581804394722;0,48046875
0,3732947058537427;0,48161764705882354;0,39519795775413513;0,48046875
0,36589207368738513;0,4889705882352941;0,398076131939888;0,47265625
0,37357058244593006;0,4696691176470588;0,3930036127567291;0,46484375
0,3702253190910115;0,47702205882352944;0,399518683552742;0,484375
0,3751162448350121;0,4733455882352941;0,3949788138270378;0,46875
0,3724352331722484;0,47702205882352944;0,3912176936864853;0,4609375
0,36933836516212015;0,4834558823529412;0,4023774266242981;0,4765625
0,3722311573870042;0,4788602941176471;0,402357317507267;0,48046875
0,37156448995365815;0,48253676470588236;0,39885734021663666;0,4765625
0,36907857130555544;0,48713235294117646;0,39872609823942184;0,47265625
0,375313203124439;0,47702205882352944;0,39471933990716934;0,46875
0,37477486449129443;0,47518382352941174;0,39623232185840607;0,46484375
0,37099824407521415;0,47794117647058826;0,40434176474809647;0,47265625
0,3682019096963546;0,4797794117647059;0,40190915018320084;0,47265625
0,36762943337945375;0,4852941176470588;0,40312279015779495;0,48046875
0,37183138026910667;0,4806985294117647;0,40269193053245544;0,48046875
0,3687983663643108;0,4852941176470588;0,41033264994621277;0,4921875
0,37177154246498556;0,48621323529411764;0,3956424444913864;0,47265625
0,3693864836412318;0,4852941176470588;0,39782991260290146;0,4765625
0,37146665418849273;0,4733455882352941;0,3972819522023201;0,46484375
0,369191239861881;0,4724264705882353;0,39681344479322433;0,4765625
0,371006767539417;0,4788602941176471;0,3981264904141426;0,48046875
0,36462560120750875;0,48253676470588236;0,4059152230620384;0,48046875
0,376110702753067;0,47702205882352944;0,39191529899835587;0,46484375
0,3708023534101598;0,484375;0,4021340385079384;0,4765625
0,36455103404381695;0,4963235294117647;0,4002685621380806;0,484375
0,3726670601788689;0,47702205882352944;0,40137772262096405;0,4765625
0,36865699817152586;0,48621323529411764;0,41066813468933105;0,48046875
0,3712655165616204;0,48161764705882354;0,3971676453948021;0,46875
0,3716783541090348;0,47794117647058826;0,40405207872390747;0,48046875
0,3691887837999007;0,47518382352941174;0,3962462246417999;0,46484375
0,37027701209573183;0,484375;0,4038953185081482;0,484375
0,3735191243536332;0,4724264705882353;0,3969492241740227;0,46484375
0,3667503823252285;0,47794117647058826;0,40714428573846817;0,48046875
0,37134483281303854;0,484375;0,4090018942952156;0,48046875
0,3717256311108084;0,4788602941176471;0,3940008133649826;0,47265625
0,370097560041091;0,4733455882352941;0,41237355023622513;0,47265625
0,37541281826355877;0,4797794117647059;0,395036056637764;0,46484375
0,37139541261336384;0,47702205882352944;0,39828334748744965;0,48046875
0,3680833823540631;0,47794117647058826;0,40378088504076004;0,4765625
0,3689093239167157;0,48161764705882354;0,4025223031640053;0,48046875
0,36572227057288675;0,48161764705882354;0,3986437991261482;0,46484375
0,3741380432072808;0,48253676470588236;0,3949920982122421;0,4765625
0,3700033338630901;0,48161764705882354;0,39839839935302734;0,48046875
0,3730065156431759;0,48253676470588236;0,39425890892744064;0,46484375
