2024-02-09 18:42:58,026 - root - WARNING - leagues: ['esp', 'ing', 'ger', 'fra']
2024-02-09 18:42:58,028 - root - WARNING - seasons: ['1718']
2024-02-09 18:43:00,979 - root - INFO - Scrapping...
2024-02-09 18:43:00,981 - root - INFO - Saving cached data to F:\TFG\code\scrapping\cache
2024-02-09 18:43:06,814 - root - INFO - reading schedule...
2024-02-09 18:43:06,816 - root - DEBUG - Retrieving https://www.whoscored.com from cache
2024-02-09 18:43:06,824 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/252/Tournaments/2/England-Premier-League from cache
2024-02-09 18:43:06,844 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/206/Tournaments/4/Spain-LaLiga from cache
2024-02-09 18:43:06,862 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/74/Tournaments/22/France-Ligue-1 from cache
2024-02-09 18:43:06,882 - root - DEBUG - Retrieving https://www.whoscored.com/Regions/81/Tournaments/3/Germany-Bundesliga from cache
2024-02-09 18:43:11,451 - root - INFO - Scraping game schedule from https://www.whoscored.com/Regions/206/Tournaments/4/Seasons/6960/Spain-LaLiga
2024-02-09 18:43:54,261 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:43:54,558 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:43:59,933 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:43:59,993 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:44:00,177 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:44:00,368 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:44:00,426 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:44:00,533 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:44:00,881 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:44:00,987 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:44:01,348 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:44:06,737 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:44:06,796 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:44:06,994 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:44:07,215 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:44:07,275 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:44:07,405 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:44:07,836 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:44:07,966 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:44:08,249 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:44:13,566 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:44:13,625 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:44:13,815 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:44:13,998 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:44:14,058 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:44:14,159 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:44:14,530 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:44:14,662 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:44:15,006 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:44:20,371 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:44:20,458 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:44:20,713 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:44:20,900 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:44:20,959 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:44:21,060 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:44:21,474 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:44:21,602 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:44:21,955 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:44:27,322 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:44:27,381 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:44:27,572 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:44:27,754 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:44:27,813 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:44:27,915 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:44:28,293 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:44:28,407 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:44:28,677 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:44:33,972 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:44:34,031 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:44:34,224 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:44:34,408 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:44:34,466 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:44:34,578 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:44:34,925 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:44:35,025 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:44:35,292 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:44:40,601 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:44:40,666 - root - INFO - Scraping game schedule for Saturday, May 5 2018
2024-02-09 18:44:40,876 - root - INFO - Scraping game schedule for Sunday, May 6 2018
2024-02-09 18:44:41,080 - root - INFO - Scraping game schedule for Monday, May 7 2018
2024-02-09 18:44:41,140 - root - INFO - Scraping game schedule for Wednesday, May 9 2018
2024-02-09 18:44:41,250 - root - INFO - Scraping game schedule for Saturday, May 12 2018
2024-02-09 18:44:41,603 - root - INFO - Scraping game schedule for Sunday, May 13 2018
2024-02-09 18:44:41,705 - root - INFO - Scraping game schedule for Saturday, May 19 2018
2024-02-09 18:44:41,976 - root - INFO - Scraping game schedule for Sunday, May 20 2018
2024-02-09 18:44:47,269 - root - INFO - Scraping game schedule for Friday, May 4 2018
2024-02-09 18:44:47,331 - root - INFO - Scraping game schedule for Saturday, May 5 2018
