matchId;match;draw;home;away;prediction;label
6982;6982;0,14599873332749447;0,7736632411629868;0,08033802550951875;1;1
6983;6983;0,29531116152988307;0,38155324584315403;0,32313559262696284;1;2
6988;6988;0,2481152105724228;0,34538557037998413;0,4064992190475931;2;0
6990;6990;0,25602087018272207;0,3446793141816767;0,39929981563560124;2;2
7002;7002;0,2600340594826093;0,3514987536059642;0,3884671869114265;2;2
7003;7003;0,23511827181040346;0,34756898994137625;0,41731273824822035;2;2
7004;7004;0,2297816098915045;0,19059664576731772;0,5796217443411777;2;1
7038;7038;0,1705061395416774;0,7483466734146988;0,08114718704362368;1;1
7045;7045;0,2610848530473381;0,24954746645035417;0,48936768050230767;2;1
7048;7048;0,17665237210049953;0,7200921249207639;0,1032555029787366;1;1
7054;7054;0,15558289410737752;0,7625012776559117;0,08191582823671077;1;2
7057;7057;0,3130605196907277;0,46444062013472404;0,2224988601745483;1;0
7062;7062;0,3132992437542918;0,312382318077133;0,3743184381685753;2;0
7063;7063;0,20408271589087834;0,43644336006895845;0,3594739240401631;1;2
7079;7079;0,25541867785995154;0,2546274180132626;0,4899539041267858;2;0
7085;7085;0,24999159937195686;0,21525600452323587;0,5347523961048073;2;2
7092;7092;0,31265741629516214;0,36800825236600354;0,3193343313388344;1;0
7099;7099;0,20300452353860537;0,6990114436075333;0,09798403285386137;1;1
7102;7102;0,2143432062614598;0,19080253457540233;0,5948542591631379;2;0
7106;7106;0,25657180205171093;0,2987631978310624;0,4446650001172267;2;0
7114;7114;0,22120628518631738;0,6149769235684985;0,16381679124518406;1;1
7124;7124;0,239135512663494;0,29302197258026913;0,46784251475623695;2;1
7153;7153;0,30077388869310234;0,5080000694416124;0,1912260418652853;1;1
7163;7163;0,23569029765369612;0,33178279449445774;0,43252690785184605;2;2
7173;7173;0,28979040773152875;0,5374861788111425;0,17272341345732878;1;2
7174;7174;0,2655342014200962;0,34262786163967757;0,3918379369402263;2;2
7189;7189;0,3065419571663306;0,46789207414835166;0,22556596868531775;1;1
8333;8333;0,31918068218992074;0,46515915561662047;0,2156601621934588;1;0
8340;8340;0,32908931251241347;0,2922301059198804;0,37868058156770606;2;1
8461;8461;0,28339623651803214;0,5674829272818197;0,14912083620014813;1;1
8469;8469;0,32956392606652396;0,33116399001890806;0,339272083914568;2;1
8475;8475;0,3083214483330502;0,5528636964441342;0,13881485522281556;1;1
8485;8485;0,1947802143873331;0,6935845330255761;0,11163525258709076;1;1
8492;8492;0,32604336324584315;0,49504192427691346;0,17891471247724333;1;2
8493;8493;0,21037185429041946;0,6606857566935668;0,12894238901601368;1;1
8495;8495;0,3533960526380238;0,29087885272403086;0,35572509463794527;2;0
8496;8496;0,3157140130944962;0,3281525723178426;0,3561334145876613;2;1
8497;8497;0,1804450498400853;0,7347800538617063;0,08477489629820828;1;1
8500;8500;0,29930201735577444;0,43374475085654285;0,26695323178768265;1;0
8506;8506;0,33117788517788777;0,41793936265818993;0,2508827521639225;1;2
8534;8534;0,3212070794261534;0,38279417282122613;0,29599874775262053;1;1
8554;8554;0,3111227915988169;0,46290190667897974;0,2259753017222033;1;2
8578;8578;0,3126677763888199;0,5359874212958257;0,1513448023153545;1;1
8581;8581;0,3301894715779646;0,5211840317617064;0,1486264966603291;1;0
8584;8584;0,2821993756917191;0,5105651814297762;0,20723544287850473;1;1
8593;8593;0,31309008040821584;0,38038471647609234;0,30652520311569187;1;2
8612;8612;0,27744680630236235;0,5443165281917358;0,17823666550590178;1;1
8631;8631;0,1711398951316225;0,742975708858418;0,08588439600995948;1;1
8635;8635;0,2875077377105404;0,496998623944871;0,2154936383445887;1;1
8636;8636;0,30212948898538544;0,41496675324151916;0,28290375777309545;1;1
8644;8644;0,3205366385254133;0,493937235983144;0,1855261254914426;1;0
8648;8648;0,22605727809452553;0,6615567195086218;0,11238600239685273;1;1
8671;8671;0,23056204261962918;0,6397150604877541;0,12972289689261682;1;0
9010;9010;0,30162048772645633;0,42169099706640445;0,2766885152071393;1;0
9019;9019;0,26063558606748594;0,6090027791804165;0,1303616347520975;1;0
9026;9026;0,2677716004737557;0,4283853390277051;0,3038430604985392;1;0
9036;9036;0,36650066266039744;0,4440134277476197;0,18948590959198292;1;0
9040;9040;0,27120022587296;0,5505697728344104;0,17823000129262961;1;2
9043;9043;0,2747628578651474;0,5634597809497008;0,16177736118515185;1;1
9051;9051;0,22882963800671274;0,6527359260715889;0,11843443592169829;1;1
9058;9058;0,32118263505726774;0,36209222666706425;0,31672513827566795;1;1
