;Var.1;Var.2;Pearson Corr.;Spearman Corr.
0;mins4_H;mins4_A;0.8994883684112022;0.8994883684112022
1;mins4_H;shots_11H;0.11003562811114034;0.11003562811114034
2;mins4_H;shots_11A;0.1202748129816257;0.1202748129816257
3;mins4_H;shots_acc_11H;-0.06632601658122812;-0.06632601658122812
4;mins4_H;shots_acc_11A;-0.0652514888277088;-0.0652514888277088
5;mins4_H;goals_H;0.006622268620862442;0.006622268620862442
6;mins4_H;goals_A;0.03561688960012007;0.03561688960012007
7;mins4_H;goals_ratio_H;0.03601028106692012;0.03601028106692012
8;mins4_H;goals_ratio_A;-0.035786844922783806;-0.035786844922783806
9;mins4_H;passes_11H;0.15091442530109359;0.15091442530109359
10;mins4_H;passes_11A;0.09371576912233186;0.09371576912233186
11;mins4_H;passes_acc_11H;0.03437039920245723;0.03437039920245723
12;mins4_H;passes_acc_11A;0.033662090863463175;0.033662090863463175
13;mins4_H;keyPasses_H;0.007067711223716463;0.007067711223716463
14;mins4_H;keyPasses_A;0.026326509492594588;0.026326509492594588
15;mins4_H;ataque_h;-0.00950381803716516;-0.00950381803716516
16;mins4_H;defensa_h;0.029694190881381255;0.029694190881381255
17;mins4_H;ataque_a;0.04721773607823209;0.04721773607823209
18;mins4_H;defensa_a;-0.02393785277836189;-0.02393785277836189
19;mins4_A;shots_11H;0.08270888574379107;0.08270888574379107
20;mins4_A;shots_11A;0.168073719758329;0.168073719758329
21;mins4_A;shots_acc_11H;-0.0706602538965927;-0.0706602538965927
22;mins4_A;shots_acc_11A;-0.06213258506695669;-0.06213258506695669
23;mins4_A;goals_H;-0.01005023166046285;-0.01005023166046285
24;mins4_A;goals_A;0.04775159956649483;0.04775159956649483
25;mins4_A;goals_ratio_H;0.008768626142489687;0.008768626142489687
26;mins4_A;goals_ratio_A;-0.026583394752962848;-0.026583394752962848
27;mins4_A;passes_11H;0.09920831095663246;0.09920831095663246
28;mins4_A;passes_11A;0.1758825630980262;0.1758825630980262
29;mins4_A;passes_acc_11H;0.041383587650362944;0.041383587650362944
30;mins4_A;passes_acc_11A;0.055475697666498125;0.055475697666498125
31;mins4_A;keyPasses_H;-0.02798839187628051;-0.02798839187628051
32;mins4_A;keyPasses_A;0.0734726040485259;0.0734726040485259
33;mins4_A;ataque_h;-0.006119135031150566;-0.006119135031150566
34;mins4_A;defensa_h;0.04466218114110134;0.04466218114110134
35;mins4_A;ataque_a;0.05229070241616728;0.05229070241616728
36;mins4_A;defensa_a;-0.03354968712136229;-0.03354968712136229
37;shots_11H;shots_11A;0.030595809362599344;0.030595809362599344
38;shots_11H;shots_acc_11H;0.06256527401808824;0.06256527401808824
39;shots_11H;shots_acc_11A;0.011216885489379474;0.011216885489379474
40;shots_11H;goals_H;0.5330910548895228;0.5330910548895228
41;shots_11H;goals_A;-0.01031440014598678;-0.01031440014598678
42;shots_11H;goals_ratio_H;0.35399964635588643;0.35399964635588643
43;shots_11H;goals_ratio_A;-0.02116490317228547;-0.02116490317228547
44;shots_11H;passes_11H;0.6427041877097353;0.6427041877097353
45;shots_11H;passes_11A;0.057285436309664775;0.057285436309664775
46;shots_11H;passes_acc_11H;0.34548359100518333;0.34548359100518333
47;shots_11H;passes_acc_11A;0.024734267088665208;0.024734267088665208
48;shots_11H;keyPasses_H;0.5989407195837481;0.5989407195837481
49;shots_11H;keyPasses_A;-0.00518131841241273;-0.00518131841241273
50;shots_11H;ataque_h;0.3274092007619602;0.3274092007619602
51;shots_11H;defensa_h;-0.19557682457296488;-0.19557682457296488
52;shots_11H;ataque_a;-0.01018942213427972;-0.01018942213427972
53;shots_11H;defensa_a;0.008903521309093363;0.008903521309093363
54;shots_11A;shots_acc_11H;-0.053653453809544685;-0.053653453809544685
55;shots_11A;shots_acc_11A;0.020975395310949503;0.020975395310949503
56;shots_11A;goals_H;-0.018322516412312008;-0.018322516412312008
57;shots_11A;goals_A;0.540788544958364;0.540788544958364
58;shots_11A;goals_ratio_H;-0.009496487043590043;-0.009496487043590043
59;shots_11A;goals_ratio_A;0.2993691320013099;0.2993691320013099
60;shots_11A;passes_11H;0.06364608919876227;0.06364608919876227
61;shots_11A;passes_11A;0.6374393367831244;0.6374393367831244
62;shots_11A;passes_acc_11H;0.01165851738918781;0.01165851738918781
63;shots_11A;passes_acc_11A;0.3806837814111869;0.3806837814111869
64;shots_11A;keyPasses_H;0.042577426742465674;0.042577426742465674
65;shots_11A;keyPasses_A;0.5753696463249137;0.5753696463249137
66;shots_11A;ataque_h;-0.006796700364991274;-0.006796700364991274
67;shots_11A;defensa_h;0.01040582118854356;0.01040582118854356
68;shots_11A;ataque_a;0.43837124052810617;0.43837124052810617
69;shots_11A;defensa_a;-0.26745493881562166;-0.26745493881562166
70;shots_acc_11H;shots_acc_11A;0.04453173091625606;0.04453173091625606
71;shots_acc_11H;goals_H;0.4653209172027429;0.4653209172027429
72;shots_acc_11H;goals_A;-0.0019546191983528544;-0.0019546191983528544
73;shots_acc_11H;goals_ratio_H;0.2283720406014995;0.2283720406014995
74;shots_acc_11H;goals_ratio_A;0.035471139298112665;0.035471139298112665
75;shots_acc_11H;passes_11H;0.14452319852199103;0.14452319852199103
76;shots_acc_11H;passes_11A;-0.033728986970403385;-0.033728986970403385
77;shots_acc_11H;passes_acc_11H;0.1635285987359217;0.1635285987359217
78;shots_acc_11H;passes_acc_11A;-0.03605832789063066;-0.03605832789063066
79;shots_acc_11H;keyPasses_H;0.059079349590114974;0.059079349590114974
80;shots_acc_11H;keyPasses_A;-0.04978640256640336;-0.04978640256640336
81;shots_acc_11H;ataque_h;0.4176140073540672;0.4176140073540672
82;shots_acc_11H;defensa_h;-0.10640951452650796;-0.10640951452650796
83;shots_acc_11H;ataque_a;0.004544854177957622;0.004544854177957622
84;shots_acc_11H;defensa_a;-0.008969481807649664;-0.008969481807649664
85;shots_acc_11A;goals_H;0.013645382430886567;0.013645382430886567
86;shots_acc_11A;goals_A;0.4419175631411786;0.4419175631411786
87;shots_acc_11A;goals_ratio_H;0.0011012741330255447;0.0011012741330255447
88;shots_acc_11A;goals_ratio_A;0.3073038516492339;0.3073038516492339
89;shots_acc_11A;passes_11H;0.0033168143552447594;0.0033168143552447594
90;shots_acc_11A;passes_11A;0.025356036276204454;0.025356036276204454
91;shots_acc_11A;passes_acc_11H;-0.046444982541804715;-0.046444982541804715
92;shots_acc_11A;passes_acc_11A;0.08003329400350237;0.08003329400350237
93;shots_acc_11A;keyPasses_H;-0.019497634090404503;-0.019497634090404503
94;shots_acc_11A;keyPasses_A;0.03903549887323572;0.03903549887323572
95;shots_acc_11A;ataque_h;0.007595431472614007;0.007595431472614007
96;shots_acc_11A;defensa_h;-0.04260681745379957;-0.04260681745379957
97;shots_acc_11A;ataque_a;0.36623537037792975;0.36623537037792975
98;shots_acc_11A;defensa_a;-0.07803962426842341;-0.07803962426842341
99;goals_H;goals_A;-0.01069889391367265;-0.01069889391367265
100;goals_H;goals_ratio_H;0.5245614560339573;0.5245614560339573
101;goals_H;goals_ratio_A;0.017487835404635735;0.017487835404635735
102;goals_H;passes_11H;0.44557343932172305;0.44557343932172305
103;goals_H;passes_11A;1.0439876141632443e-05;1.0439876141632443e-05
104;goals_H;passes_acc_11H;0.33042821695443514;0.33042821695443514
105;goals_H;passes_acc_11A;-0.049214141946376716;-0.049214141946376716
106;goals_H;keyPasses_H;0.32808280370977744;0.32808280370977744
107;goals_H;keyPasses_A;-0.039305143076044664;-0.039305143076044664
108;goals_H;ataque_h;0.7527544914505611;0.7527544914505611
109;goals_H;defensa_h;-0.196325395799604;-0.196325395799604
110;goals_H;ataque_a;-0.012230049228405853;-0.012230049228405853
111;goals_H;defensa_a;-0.01500254187355302;-0.01500254187355302
112;goals_A;goals_ratio_H;-0.01223445101152159;-0.01223445101152159
113;goals_A;goals_ratio_A;0.5653637663556954;0.5653637663556954
114;goals_A;passes_11H;0.01150886148778704;0.01150886148778704
115;goals_A;passes_11A;0.4034707926684522;0.4034707926684522
