version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
24;2024-05-15 13:55:18.784674;0,6163194179534912;;leaky_relu;0,3552117848124812;0,8551210330202347;64;;0,26295028759852335;0,020006945591987554;0,009572656301574459;2607;17222;5194;vanilla;;26;18,0;3,0;;;0,031000027699364274;;3;adam;maxabs
25;2024-05-15 13:58:41.035671;0,6043595671653748;;leaky_relu;0,3490739148520528;0,8499972602697868;64;;0,27918882319151095;0,018272460263409382;0,010233447290921746;2607;17222;5194;vanilla;;26;26,0;3,0;;;0,028378202725857005;;3;adam;normalizer
26;2024-05-15 14:03:33.058891;0,6105324029922485;;leaky_relu;0,5402128171363574;0,8290040211623142;64;;0,18502073349338066;0,014376752075469674;0,005664593018471955;2607;17222;5194;vanilla;;27;17,0;;;;0,0306177936124412;;2;adam;maxabs
27;2024-05-15 14:06:23.412957;0,6172839403152466;;leaky_relu;0,2341621609323764;0,9891076968975988;64;;0,43105003609248516;0,023827111636461253;0,001607599247332805;2607;17222;5194;vanilla;;18;19,0;22,0;9,0;;0,02074159127635373;;4;adam;maxabs
28;2024-05-15 14:09:43.925313;0,5827546119689941;;leaky_relu;0,17804193013937553;0,9519008142749716;64;0,1690771692060557;0,49025492357032074;0,03169251976983398;0,001766400568496842;2607;17222;5194;dropout;;18;22,0;22,0;;;0,01208722313013062;;3;adam;minmax
29;2024-05-15 14:12:49.114584;0,5841049551963806;;leaky_relu;0,03273954098933998;0,984216466252022;64;;0,10400535737613717;0,010100102350491105;0,001707318640106574;2607;17222;5194;batchnorm;;15;15,0;26,0;20,0;25,0;0,01498482838284972;;5;adam;normalizer
30;2024-05-15 14:16:07.376913;0,6188271641731262;;leaky_relu;0,2797691394640352;0,8924294520536901;16;;0,4158018926390439;0,010854842143182872;0,004569743861357403;2607;17222;5194;vanilla;;13;3,0;15,0;11,0;;0,02251764540407411;;4;adam;maxabs
31;2024-05-15 14:24:03.938988;0,6168981194496155;;leaky_relu;0,2666474648998069;0,9148165972292444;16;;0,3989653632248726;0,010350330936813413;0,004178127787004723;2607;17222;5194;vanilla;;13;11,0;21,0;11,0;;0,022710265517686005;;4;adam;maxabs
32;2024-05-15 14:31:37.077387;0,6163194179534912;;leaky_relu;0,25470408397645294;0,9202897182053228;16;;0,4105858310914132;0,011105080140650793;0,0011368107270834599;2607;17222;5194;vanilla;;13;3,0;15,0;11,0;;0,0027440677208606865;;4;adam;maxabs
33;2024-05-15 14:38:59.755099;0,6091821193695068;;leaky_relu;0,139416455080919;0,7933901234907155;16;;0,5376946679281167;0,01059875646581754;0,0010870237426527693;2607;17222;5194;vanilla;;15;3,0;20,0;12,0;18,0;0,02083857654876932;;5;adam;maxabs
34;2024-05-15 14:45:31.416671;0,6097608208656311;;leaky_relu;0,2487476558715266;0,9094490954098966;16;;0,39334962182426136;0,0062985909724694415;0,004106776793009043;2607;17222;5194;vanilla;;7;6,0;16,0;8,0;;0,010115054368315429;;4;adam;maxabs
