version;datetime;validation;test;activation;b1;b2;batch_size;dropout;gamma_pi;lamda;learning_rate;len_test;len_train;len_val;mode;momentum;n_units_l1;n_units_l2;n_units_l3;n_units_l4;n_units_l5;neg_slope;nesterov;num_hidden_layers;optim;scaler
25;2024-05-17 18:07:19.491865;0,6166015863418579;;selu;0,2502849372140611;0,3033128720410507;64;;0,9934965442638661;0,050352353425081126;0,004487441247729043;2282;17639;5161;batchnorm;;9;30,0;13,0;;;;;3;adam;normalizer
26;2024-05-17 18:11:26.596476;0,663867175579071;;selu;;;64;;0,8574105554924614;0,05736166277004914;0,0018606680748172308;2282;17639;5161;batchnorm;0,1797299392709258;15;21,0;26,0;;;;True;3;sgd;normalizer
27;2024-05-17 18:22:00.059272;0,659960925579071;;selu;0,10202062313184845;0,8100782257723247;64;;0,9156236089807757;0,07266921992971889;0,003953758087774225;2282;17639;5161;batchnorm;;26;25,0;21,0;23,0;;;;4;adam;normalizer
28;2024-05-17 18:26:43.413404;0,6182065010070801;;relu;0,20273927540315592;0,6009958069273407;32;;0,7879137562676525;0,05378826443916279;0,0015737534116315188;2282;17639;5161;batchnorm;;23;18,0;;;;;;2;adam;maxabs
29;2024-05-17 18:32:52.986730;0,46015626192092896;;leaky_relu;;;512;;0,9372431636218589;0,04035252819791702;0,016612836358315904;2282;17639;5161;vanilla;0,0501505332069057;17;23,0;24,0;10,0;30,0;0,018843139548487958;False;5;sgd;normalizer
30;2024-05-17 18:34:50.492540;0,6314452886581421;;relu;0,08463084431509588;0,4547544120845791;256;;0,8616419195804367;0,06111369705236339;0,003544419892485848;2282;17639;5161;vanilla;;15;27,0;20,0;;;;;3;adam;minmax
31;2024-05-17 18:38:02.831641;0,6742187738418579;;selu;0,17299247521913289;0,5031688037566174;64;;0,9431961087567461;0,05482491790204972;0,001508213193157791;2282;17639;5161;batchnorm;;21;30,0;27,0;;;;;3;adam;normalizer
32;2024-05-17 18:44:37.883984;0,65234375;;selu;0,1657830197133786;0,521335846379374;64;;0,8891164206276823;0,048983197147683566;0,0024434769186347446;2282;17639;5161;batchnorm;;21;24,0;24,0;;;;;3;adam;normalizer
33;2024-05-17 18:49:42.427187;0,6650390625;;selu;0,011144554660886038;0,6295371207586986;64;;0,9948852699441244;0,07456667287512;0,0017288083006819555;2282;17639;5161;batchnorm;;26;28,0;27,0;;;;;3;adam;normalizer
34;2024-05-17 18:54:16.354147;0,6685546636581421;;selu;0,08622298300267751;0,5336554851182241;64;;0,8578784687616192;0,06186207366974946;0,002756607809509214;2282;17639;5161;batchnorm;;19;26,0;3,0;23,0;;;;4;adam;normalizer
35;2024-05-17 18:59:15.541573;0,5693359375;;selu;0,25717360530665867;0,722373855156772;64;0,6335098281767317;0,9426970384140071;0,05559004492227986;0,0014182156262480337;2282;17639;5161;dropout;;22;29,0;;;;;;2;adam;normalizer
36;2024-05-17 19:04:45.497870;0,46015626192092896;;leaky_relu;;;64;;0,672726817563484;0,0949172131085075;0,004674990046325902;2282;17639;5161;vanilla;0,05048360133002134;13;12,0;22,0;;;0,09665195837685431;True;3;sgd;maxabs
37;2024-05-17 19:08:13.465817;0,6504270434379578;;selu;0,1526069812264769;0,31384033569997016;32;;0,8830721333143711;0,08466213647324347;0,002742533806996193;2282;17639;5161;batchnorm;;20;23,0;19,0;30,0;;;;4;adam;minmax
38;2024-05-17 19:16:51.205002;0,624218761920929;;leaky_relu;0,40501933282704616;0,6165452825802726;256;;0,7957290042418041;0,04540759073600634;0,0011194239688831413;2282;17639;5161;batchnorm;;24;18,0;;;;0,03342742167892526;;2;adam;normalizer
39;2024-05-17 19:19:22.450276;0,5765625238418579;;relu;0,33539818764256824;0,769984631065952;64;0,4412681448482436;0,9550764290105649;0,0381062599611469;0,002090778028051876;2282;17639;5161;dropout;;5;;;;;;;1;adam;maxabs
40;2024-05-17 19:22:53.912711;0,46015626192092896;;selu;;;512;;0,15489121914204423;0,051041679765099504;0,0014705073712635703;2282;17639;5161;vanilla;0,01223320036386721;13;27,0;15,0;9,0;25,0;;False;5;sgd;normalizer
41;2024-05-17 19:24:49.266370;0,679882824420929;;selu;0,20327526558073328;0,46006944348873957;64;;0,9338966140125958;0,05631328389496448;0,001382490183740708;2282;17639;5161;batchnorm;;21;30,0;28,0;;;;;3;adam;normalizer
42;2024-05-17 19:30:29.803118;0,6527343988418579;;selu;0,08184734770226665;0,48358074919373906;64;;0,9515238905569485;0,06598783847989076;0,0029920705085842497;2282;17639;5161;batchnorm;;22;28,0;25,0;;;;;3;adam;normalizer
43;2024-05-17 19:34:59.134960;0,6591615080833435;;selu;0,20673852596025694;0,6693942501796691;16;;0,8260126478139376;0,03152814501776931;0,0023155729199966515;2282;17639;5161;batchnorm;;25;29,0;28,0;;;;;3;adam;normalizer
44;2024-05-17 19:49:16.948861;0,594921886920929;;selu;0,22736930956250956;0,550813173336181;64;;0,8947288769386761;0,05875518495412752;0,0013241313065283024;2282;17639;5161;batchnorm;;28;28,0;25,0;;;;;3;adam;minmax
45;2024-05-17 19:54:27.935222;0,5775390863418579;;selu;0,1343464325714348;0,44899788798578455;64;0,3775131679615616;0,969510392179819;0,04837041018100961;0,001967277443137846;2282;17639;5161;dropout;;17;26,0;28,0;;;;;3;adam;normalizer
46;2024-05-17 19:59:11.388401;0,61328125;;leaky_relu;0,07253518426123481;0,6773390356575417;128;;0,9997394887390338;0,04210816794552143;0,005361071521179754;2282;17639;5161;batchnorm;;19;21,0;;;;0,03995428788328809;;2;adam;normalizer
47;2024-05-17 20:02:47.668765;0,6572204828262329;;relu;0,27796994524165997;0,5830237726491143;32;;0,9076765188883451;0,05203245906533109;0,0010043403200049941;2282;17639;5161;batchnorm;;11;15,0;23,0;20,0;;;;4;adam;maxabs
48;2024-05-17 20:13:12.430016;0,6634765863418579;;selu;0,19886734916978227;0,885983505164347;256;;0,829188715543022;0,05720656284935738;0,0032808054623825215;2282;17639;5161;batchnorm;;28;6,0;26,0;;;;;3;adam;normalizer
49;2024-05-17 20:16:01.119701;0,6822593212127686;;selu;0,3185929416269907;0,7420472652216408;16;;0,9625784205676107;0,02745862767484366;0,0013170579718882027;2282;17639;5161;batchnorm;;21;30,0;;;;;;2;adam;normalizer
50;2024-05-17 20:30:13.447708;0,5304735898971558;;selu;0,30738981396240467;0,7594356289007531;16;0,6919359757132268;0,9636894846542627;0,011613100831582323;0,0013004458341003833;2282;17639;5161;dropout;;23;;;;;;;1;adam;minmax
51;2024-05-17 20:38:41.730589;0,6708074808120728;;selu;0,22323219503325764;0,6505636967723291;16;;0,9236645053890643;0,03003347773984545;0,0018932612558519087;2282;17639;5161;batchnorm;;21;30,0;;;;;;2;adam;normalizer
52;2024-05-17 20:56:16.648581;0,5015528202056885;;selu;0,1335958640594299;0,7076354426993894;16;;0,869823878020593;0,0190288569668524;0,0011975059022065835;2282;17639;5161;batchnorm;;16;;;;;;;1;adam;normalizer
53;2024-05-17 21:08:24.914152;0,6683593988418579;;selu;0,2591031201728559;0,47968627789641094;128;;0,9607247963897766;0,026282728349699216;0,0024353091939041016;2282;17639;5161;batchnorm;;25;29,0;;;;;;2;adam;normalizer
54;2024-05-17 21:11:41.176632;0,6647903919219971;;selu;0,07150218567874851;0,6423635332234138;16;;0,9094328821744203;0,014894530302762932;0,0014461501223622083;2282;17639;5161;batchnorm;;18;28,0;30,0;;;;;3;adam;normalizer
55;2024-05-17 21:24:17.484697;0,6705077886581421;;selu;0,036948004051527976;0,8917755732684258;128;;0,9633230408569284;0,03616864340367958;0,0019178612074429995;2282;17639;5161;batchnorm;;20;26,0;24,0;;;;;3;adam;normalizer
56;2024-05-17 21:29:13.490342;0,650585949420929;;selu;;;64;;0,8834106141836892;0,04638508622402969;0,0010180230580317106;2282;17639;5161;batchnorm;0,0010510576401548551;27;12,0;26,0;19,0;;;True;4;sgd;normalizer
57;2024-05-17 21:39:54.006606;0,662890613079071;;selu;0,16584222671899437;0,5640266243079334;512;;0,9910486606970846;0,00792803867175185;0,0031643567218520292;2282;17639;5161;batchnorm;;23;30,0;29,0;;;;;3;adam;normalizer
58;2024-05-17 21:42:14.104445;0,6683593988418579;;selu;0,1259834672733821;0,7017861102855653;64;;0,9265475434584367;0,023420228493409537;0,005335999018643161;2282;17639;5161;batchnorm;;14;29,0;;;;;;2;adam;normalizer
59;2024-05-17 21:46:32.145319;0,635869562625885;;relu;0,3354770329435307;0,6072370502494073;16;;0,8637491565408019;0,027986380255341746;0,0016442859073306703;2282;17639;5161;vanilla;;25;25,0;22,0;;;;;3;adam;normalizer
60;2024-05-17 22:02:31.324665;0,5386718511581421;;selu;0,0457591231700612;0,4156512336901499;128;;0,8335880287321235;0,05326984335061731;0,0012561166356861967;2282;17639;5161;batchnorm;;18;23,0;27,0;27,0;;;;4;adam;maxabs
61;2024-05-17 22:06:36.754598;0,669726550579071;;selu;0,19373665428555592;0,5020691253638615;64;;0,9371523989530897;0,05460331530466819;0,0016219273485634463;2282;17639;5161;batchnorm;;21;30,0;27,0;;;;;3;adam;normalizer
62;2024-05-17 22:11:43.936116;0,669140636920929;;selu;0,16382560726272188;0,5127532332468833;64;;0,9720049129163603;0,06388163619448173;0,002166519537035;2282;17639;5161;batchnorm;;20;30,0;29,0;;;;;3;adam;normalizer
63;2024-05-17 22:16:32.027005;0,671679675579071;;selu;0,23609767136602922;0,5830579559172809;64;;0,9175736750463265;0,05880619426785498;0,0013616452870386046;2282;17639;5161;batchnorm;;16;27,0;25,0;;;;;3;adam;normalizer
64;2024-05-17 22:22:23.322827;0,671679675579071;;selu;0,10817914039213525;0,5364664533861091;64;;0,9507561232601044;0,005391308722219798;0,003679150149248172;2282;17639;5161;batchnorm;;22;29,0;21,0;;;;;3;adam;normalizer
65;2024-05-17 22:27:30.764076;0,651562511920929;;selu;0,16715999927477265;0,9984101470682577;64;;0,9973026485713329;0,05430402851248881;0,0025672812722785606;2282;17639;5161;batchnorm;;29;5,0;23,0;;;;;3;adam;normalizer
66;2024-05-17 22:33:28.608030;0,5810546875;;leaky_relu;;;64;;0,8907448388382591;0,04889746366325608;0,0016377089568544168;2282;17639;5161;batchnorm;0,7098337051449314;19;28,0;;;;0,0038483134226165033;False;2;sgd;normalizer
67;2024-05-17 22:40:43.852505;0,6595497131347656;;selu;0,2801124738590134;0,4656474960755764;32;;0,9297270269824693;0,06004865104270113;0,001217388898916109;2282;17639;5161;batchnorm;;23;30,0;28,0;;;;;3;adam;normalizer
68;2024-05-17 22:48:03.420997;0,5960937738418579;;selu;0,05316672631539332;0,5049174963188657;64;;0,9714852165763016;0,05667672840328834;0,001938901931908966;2282;17639;5161;batchnorm;;11;27,0;26,0;;;;;3;adam;minmax
69;2024-05-17 22:52:22.095497;0,5771484375;;selu;0,2066729913421198;0,4323484597995856;128;0,4827558886711298;0,8125334948179412;0,06341906561739744;0,0010027413702927903;2282;17639;5161;dropout;;21;24,0;16,0;7,0;;;;4;adam;normalizer
70;2024-05-17 22:56:32.134382;0,5863281488418579;;selu;0,1097058679051881;0,37105712631204746;256;;0,7450921553220371;0,04300718639734313;0,002984682323807722;2282;17639;5161;vanilla;;27;8,0;;;;;;2;adam;normalizer
71;2024-05-17 22:59:37.960778;0,6488281488418579;;selu;0,1732537238718871;0,5594449737675283;64;;0,9828003070434111;0,06006665218687911;0,0015960463460238043;2282;17639;5161;batchnorm;;15;29,0;23,0;;;;;3;adam;normalizer
